Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
88781,62328,GridRulesOnly_0,0,failure,unknown-correct,correct,,,
62328,62328,GridRulesOnly_0,1,failure,unknown-correct,correct,,,
62328,46015,GridRulesOnly_0,2,failure,unknown-incorrect,incorrect,,,
46015,88243,GridRulesOnly_0,3,failure,insight,incorrect,CROSS_OUT,,
88243,88243,GridRulesOnly_0,4,failure,insight,incorrect,CROSS_OUT,,
88243,46015,GridRulesOnly_0,5,failure,unknown-correct,correct,,,
46015,72548,GridRulesOnly_0,6,failure,insight,correct,APPLY_IS,,
72548,77199,GridRulesOnly_0,7,failure,insight,correct,CROSS_OUT,,
77199,69788,GridRulesOnly_0,8,failure,unknown-correct,correct,,,
69788,43122,GridRulesOnly_0,9,failure,insight,incorrect,OPENING,,
43122,77199,GridRulesOnly_0,10,failure,insight,incorrect,CROSS_OUT,,
77199,77199,GridRulesOnly_0,11,failure,insight,incorrect,CROSS_OUT,,
77199,81734,GridRulesOnly_0,12,failure,,,,,
88162,29568,GridRulesOnly_0,0,failure,unknown-incorrect,incorrect,,,
29568,29568,GridRulesOnly_0,1,failure,unknown-incorrect,incorrect,,,
29568,29568,GridRulesOnly_0,2,failure,unknown-correct,correct,,,
29568,29568,GridRulesOnly_0,3,failure,unknown-correct,correct,,,
29568,19675,GridRulesOnly_0,4,failure,insight,incorrect,OPENING,,
19675,75312,GridRulesOnly_0,5,failure,insight,correct,CROSS_OUT,,
75312,33446,GridRulesOnly_0,6,failure,insight,correct,APPLY_IS,,
33446,41985,GridRulesOnly_0,7,failure,insight,correct,CROSS_OUT,,
41985,41985,GridRulesOnly_0,8,failure,insight,correct,CROSS_OUT,,
41985,63683,GridRulesOnly_0,9,failure,insight,correct,APPLY_NOT,,
63683,25702,GridRulesOnly_0,10,failure,insight,correct,OPENING,,
25702,83520,GridRulesOnly_0,11,failure,insight,correct,CROSS_OUT,,
83520,25702,GridRulesOnly_0,12,failure,insight,incorrect,OPENING,,
25702,72286,GridRulesOnly_0,13,failure,,,,,
19874,92298,GridRulesOnly_0,0,failure,unknown-incorrect,incorrect,,,
92298,77770,GridRulesOnly_0,1,failure,insight,incorrect,CROSS_OUT,,
77770,77770,GridRulesOnly_0,2,failure,insight,incorrect,CROSS_OUT,,
77770,92298,GridRulesOnly_0,3,failure,unknown-correct,correct,,,
92298,92298,GridRulesOnly_0,4,failure,unknown-incorrect,incorrect,,,
92298,49097,GridRulesOnly_0,5,failure,insight,incorrect,OPENING,,
49097,77770,GridRulesOnly_0,6,failure,insight,incorrect,CROSS_OUT,,
77770,92298,GridRulesOnly_0,7,failure,unknown-correct,correct,,,
92298,49097,GridRulesOnly_0,8,failure,insight,incorrect,OPENING,,
49097,77770,GridRulesOnly_0,9,failure,insight,correct,CROSS_OUT,,
77770,49097,GridRulesOnly_0,10,failure,insight,incorrect,OPENING,,
49097,66475,GridRulesOnly_0,11,failure,,,,,
63086,50508,GridRulesOnly_0,0,failure,unknown-incorrect,incorrect,,,
50508,50508,GridRulesOnly_0,1,failure,unknown-correct,correct,,,
50508,50508,GridRulesOnly_0,2,failure,unknown-correct,correct,,,
50508,85805,GridRulesOnly_0,3,failure,insight,correct,CROSS_OUT,,
85805,85805,GridRulesOnly_0,4,failure,insight,correct,CROSS_OUT,,
85805,50508,GridRulesOnly_0,5,failure,unknown-correct,correct,,,
50508,50508,GridRulesOnly_0,6,failure,unknown-correct,correct,,,
50508,59646,GridRulesOnly_0,7,failure,insight,incorrect,OPENING,,
59646,85805,GridRulesOnly_0,8,failure,insight,correct,CROSS_OUT,,
85805,85805,GridRulesOnly_0,9,failure,insight,incorrect,CROSS_OUT,,
85805,85805,GridRulesOnly_0,10,failure,insight,incorrect,CROSS_OUT,,
85805,85805,GridRulesOnly_0,11,failure,insight,correct,CROSS_OUT,,
85805,87746,GridRulesOnly_0,12,failure,,,,,
26702,12987,GridRulesOnly_0,0,failure,unknown-correct,correct,,,
12987,12987,GridRulesOnly_0,1,failure,unknown-correct,correct,,,
12987,66998,GridRulesOnly_0,2,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
66998,19238,GridRulesOnly_0,3,failure,unknown-correct,correct,,,
19238,70897,GridRulesOnly_0,4,failure,insight,correct,OPENING,,
70897,90961,GridRulesOnly_0,5,failure,insight,correct,CROSS_OUT,,
90961,39639,GridRulesOnly_0,6,failure,unknown-incorrect,incorrect,,,
39639,24465,GridRulesOnly_0,7,failure,insight,incorrect,CROSS_OUT,,
24465,24465,GridRulesOnly_0,8,failure,insight,incorrect,CROSS_OUT,,
24465,39639,GridRulesOnly_0,9,failure,unknown-incorrect,incorrect,,,
39639,26814,GridRulesOnly_0,10,failure,insight,incorrect,OPENING,,
26814,24465,GridRulesOnly_0,11,failure,insight,correct,CROSS_OUT,,
24465,26814,GridRulesOnly_0,12,failure,insight,incorrect,OPENING,,
26814,17079,GridRulesOnly_0,13,failure,,,,,
18019,45727,GridRulesOnly_0,0,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
45727,53294,GridRulesOnly_0,1,failure,unknown-incorrect,incorrect,,,
53294,24751,GridRulesOnly_0,2,failure,insight,incorrect,CROSS_OUT,,
24751,24751,GridRulesOnly_0,3,failure,insight,incorrect,CROSS_OUT,,
24751,26046,GridRulesOnly_0,4,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
26046,12939,GridRulesOnly_0,5,failure,unknown-incorrect,incorrect,,,
12939,84335,GridRulesOnly_0,6,failure,insight,incorrect,OPENING,,
84335,64969,GridRulesOnly_0,7,failure,insight,correct,CROSS_OUT,,
64969,84335,GridRulesOnly_0,8,failure,insight,incorrect,OPENING,,
84335,64969,GridRulesOnly_0,9,failure,insight,incorrect,CROSS_OUT,,
64969,84335,GridRulesOnly_0,10,failure,insight,incorrect,OPENING,,
84335,42825,GridRulesOnly_0,11,failure,,,,,
94504,19810,GridRulesOnly_0,0,failure,unknown-correct,correct,,,
19810,19810,GridRulesOnly_0,1,failure,unknown-correct,correct,,,
19810,19810,GridRulesOnly_0,2,failure,unknown-correct,correct,,,
19810,73750,GridRulesOnly_0,3,failure,unknown-incorrect,incorrect,,,
73750,69122,GridRulesOnly_0,4,failure,insight,incorrect,CROSS_OUT,,
69122,69122,GridRulesOnly_0,5,failure,insight,incorrect,CROSS_OUT,,
69122,24773,GridRulesOnly_0,6,failure,insight,correct,OPENING,,
24773,69122,GridRulesOnly_0,7,failure,insight,correct,CROSS_OUT,,
69122,73750,GridRulesOnly_0,8,failure,unknown-correct,correct,,,
73750,73750,GridRulesOnly_0,9,failure,unknown-incorrect,incorrect,,,
73750,90786,GridRulesOnly_0,10,failure,insight,correct,BEFORE_N_SPOTS_CROSSCHECK,,
90786,68581,GridRulesOnly_0,11,failure,unknown-correct,correct,,,
68581,68581,GridRulesOnly_0,12,failure,unknown-incorrect,incorrect,,,
68581,27098,GridRulesOnly_0,13,failure,insight,incorrect,CROSS_OUT,,
27098,37618,GridRulesOnly_0,14,failure,insight,incorrect,TRANS_ABC_TRUE,,
37618,36944,GridRulesOnly_0,15,failure,insight,incorrect,CROSS_OUT,,
36944,36944,GridRulesOnly_0,16,failure,insight,incorrect,CROSS_OUT,,
36944,36944,GridRulesOnly_0,17,failure,insight,incorrect,CROSS_OUT,,
36944,66752,GridRulesOnly_0,18,failure,insight,correct,OPENING,,
66752,36944,GridRulesOnly_0,19,failure,insight,correct,CROSS_OUT,,
36944,80290,GridRulesOnly_0,20,failure,unknown-incorrect,incorrect,,,
80290,36944,GridRulesOnly_0,21,failure,insight,correct,CROSS_OUT,,
36944,36944,GridRulesOnly_0,22,failure,insight,correct,CROSS_OUT,,
36944,66752,GridRulesOnly_0,23,failure,insight,correct,OPENING,,
66752,37618,GridRulesOnly_0,24,failure,insight,correct,TRANS_ABC_TRUE,,
37618,36944,GridRulesOnly_0,25,failure,insight,correct,CROSS_OUT,,
36944,36944,GridRulesOnly_0,26,failure,insight,correct,CROSS_OUT,,
36944,66752,GridRulesOnly_0,27,failure,insight,incorrect,OPENING,,
66752,36944,GridRulesOnly_0,28,failure,insight,correct,CROSS_OUT,,
36944,37618,GridRulesOnly_0,29,failure,insight,correct,TRANS_ABC_TRUE,,
37618,36944,GridRulesOnly_0,30,failure,insight,correct,CROSS_OUT,,
36944,36944,GridRulesOnly_0,31,failure,insight,correct,CROSS_OUT,,
36944,66752,GridRulesOnly_0,32,failure,insight,incorrect,OPENING,,
66752,66752,GridRulesOnly_0,33,failure,insight,incorrect,OPENING,,
66752,70432,GridRulesOnly_0,34,failure,,,,,
28480,18971,GridRulesOnly_0,0,failure,unknown-correct,correct,,,
18971,12406,GridRulesOnly_0,1,failure,insight,correct,CROSS_OUT,,
12406,12406,GridRulesOnly_0,2,failure,insight,correct,CROSS_OUT,,
12406,78788,GridRulesOnly_0,3,failure,unknown-incorrect,incorrect,,,
78788,27627,GridRulesOnly_0,4,failure,insight,incorrect,CROSS_OUT,,
27627,27627,GridRulesOnly_0,5,failure,insight,incorrect,CROSS_OUT,,
27627,78788,GridRulesOnly_0,6,failure,unknown-incorrect,incorrect,,,
78788,54293,GridRulesOnly_0,7,failure,insight,correct,APPLY_IS,,
54293,62356,GridRulesOnly_0,8,failure,insight,correct,CROSS_OUT,,
62356,62356,GridRulesOnly_0,9,failure,insight,correct,CROSS_OUT,,
62356,53826,GridRulesOnly_0,10,failure,insight,correct,APPLY_IS,,
53826,11691,GridRulesOnly_0,11,failure,insight,correct,CROSS_OUT,,
11691,11691,GridRulesOnly_0,12,failure,insight,correct,CROSS_OUT,,
11691,49298,GridRulesOnly_0,13,failure,unknown-incorrect,incorrect,,,
49298,21625,GridRulesOnly_0,14,failure,insight,correct,BEFORE_N_SPOTS_SHIFT,,
21625,88427,GridRulesOnly_0,15,failure,insight,incorrect,TRANS_SETS,,
