Id,PuzzleId,State,GridValue,MoveIds
86218,spoke_sunlight,spoke_sunlight:start:['start'],start,['start']
61127,spoke_sunlight,spoke_sunlight:success:['success'],success,['success']
32434,spoke_sunlight,spoke_sunlight:failure:['failure'],failure,['failure']
16143,spoke_sunlight,spoke_sunlight:partial:['partial'],partial,['partial']
27721,spoke_sunlight,spoke_sunlight:incorrect:['unknown::None'],incorrect,['unknown::None']
62135,spoke_sunlight,spoke_sunlight:incorrect:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_SHIFT'],incorrect,['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_SHIFT']
76959,spoke_sunlight,"spoke_sunlight:incorrect:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_SHIFT', 'unknown::None']",incorrect,"['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_SHIFT', 'unknown::None']"
40105,spoke_sunlight,"spoke_sunlight:incorrect:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_SHIFT']",incorrect,"['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_SHIFT']"
11584,spoke_sunlight,"spoke_sunlight:incorrect:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_SHIFT', 'transitives::OPENING']",incorrect,"['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_SHIFT', 'transitives::OPENING']"
25944,spoke_sunlight,"spoke_sunlight:incorrect:['cross outs::CROSS_OUT', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_SHIFT']",incorrect,"['cross outs::CROSS_OUT', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_SHIFT']"
88161,spoke_sunlight_alt,spoke_sunlight_alt:start:['start'],start,['start']
11281,spoke_sunlight_alt,spoke_sunlight_alt:success:['success'],success,['success']
79208,spoke_sunlight_alt,spoke_sunlight_alt:failure:['failure'],failure,['failure']
94395,spoke_sunlight_alt,spoke_sunlight_alt:partial:['partial'],partial,['partial']
40354,spoke_sunlight_alt,spoke_sunlight_alt:correct:['unknown::None'],correct,['unknown::None']
19808,spoke_sunlight_alt,spoke_sunlight_alt:correct:['hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_SHIFT'],correct,['hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_SHIFT']
40141,spoke_sunlight_alt,"spoke_sunlight_alt:incorrect:['hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_SHIFT', 'unknown::None']",incorrect,"['hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_SHIFT', 'unknown::None']"
99816,spoke_sunlight_alt,"spoke_sunlight_alt:incorrect:['cross outs::OPENING', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_SHIFT']",incorrect,"['cross outs::OPENING', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_SHIFT']"
65418,spoke_sunlight_alt,"spoke_sunlight_alt:incorrect:['cross outs::CROSS_OUT', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_SHIFT']",incorrect,"['cross outs::CROSS_OUT', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_SHIFT']"
49977,spoke_sunlight_alt,spoke_sunlight_alt:incorrect:['hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_SHIFT'],incorrect,['hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_SHIFT']
