Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
87952,62347,CrossOpenBasicOnly_0,0,success,insight,correct,APPLY_NOT,,
62347,34125,CrossOpenBasicOnly_0,1,success,insight,correct,APPLY_IS,,
34125,93213,CrossOpenBasicOnly_0,2,success,insight,correct,CROSS_OUT,,
93213,93213,CrossOpenBasicOnly_0,3,success,insight,correct,CROSS_OUT,,
93213,99463,CrossOpenBasicOnly_0,4,success,insight,correct,APPLY_OR,,
99463,91176,CrossOpenBasicOnly_0,5,success,insight,correct,CROSS_OUT,,
91176,91176,CrossOpenBasicOnly_0,6,success,insight,correct,CROSS_OUT,,
91176,91176,CrossOpenBasicOnly_0,7,success,insight,correct,CROSS_OUT,,
91176,91176,CrossOpenBasicOnly_0,8,success,insight,correct,CROSS_OUT,,
91176,91176,CrossOpenBasicOnly_0,9,success,insight,correct,CROSS_OUT,,
91176,30074,CrossOpenBasicOnly_0,10,success,,,,,
94713,16012,CrossOpenBasicOnly_0,0,success,insight,correct,APPLY_IS,,
16012,10211,CrossOpenBasicOnly_0,1,success,insight,correct,CROSS_OUT,,
10211,60213,CrossOpenBasicOnly_0,2,success,insight,correct,APPLY_OR,,
60213,84718,CrossOpenBasicOnly_0,3,success,insight,correct,CROSS_OUT,,
84718,84718,CrossOpenBasicOnly_0,4,success,insight,correct,CROSS_OUT,,
84718,84718,CrossOpenBasicOnly_0,5,success,insight,correct,CROSS_OUT,,
84718,59923,CrossOpenBasicOnly_0,6,success,insight,correct,APPLY_NOT,,
59923,18775,CrossOpenBasicOnly_0,7,success,insight,correct,OPENING,,
18775,42791,CrossOpenBasicOnly_0,8,success,insight,correct,CROSS_OUT,,
42791,42791,CrossOpenBasicOnly_0,9,success,insight,correct,CROSS_OUT,,
42791,63124,CrossOpenBasicOnly_0,10,success,,,,,
28861,15098,CrossOpenBasicOnly_0,0,success,insight,correct,APPLY_IS,,
15098,60052,CrossOpenBasicOnly_0,1,success,insight,correct,CROSS_OUT,,
60052,58137,CrossOpenBasicOnly_0,2,success,insight,correct,APPLY_NOT,,
58137,42984,CrossOpenBasicOnly_0,3,success,insight,correct,CROSS_OUT,,
42984,34622,CrossOpenBasicOnly_0,4,success,insight,correct,APPLY_OR,,
34622,16020,CrossOpenBasicOnly_0,5,success,insight,correct,CROSS_OUT,,
16020,16020,CrossOpenBasicOnly_0,6,success,insight,correct,CROSS_OUT,,
16020,64229,CrossOpenBasicOnly_0,7,success,insight,correct,OPENING,,
64229,16020,CrossOpenBasicOnly_0,8,success,insight,correct,CROSS_OUT,,
16020,16020,CrossOpenBasicOnly_0,9,success,insight,correct,CROSS_OUT,,
16020,49709,CrossOpenBasicOnly_0,10,success,,,,,
64450,16281,CrossOpenBasicOnly_0,0,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
16281,60968,CrossOpenBasicOnly_0,1,failure,unknown-incorrect,incorrect,,,
60968,60968,CrossOpenBasicOnly_0,2,failure,unknown-correct,correct,,,
60968,60968,CrossOpenBasicOnly_0,3,failure,unknown-incorrect,incorrect,,,
60968,52643,CrossOpenBasicOnly_0,4,failure,insight,incorrect,APPLY_OR,,
52643,50093,CrossOpenBasicOnly_0,5,failure,insight,correct,CROSS_OUT,,
50093,50093,CrossOpenBasicOnly_0,6,failure,insight,incorrect,CROSS_OUT,,
50093,88150,CrossOpenBasicOnly_0,7,failure,insight,correct,APPLY_OR,,
88150,74908,CrossOpenBasicOnly_0,8,failure,insight,correct,CROSS_OUT,,
74908,89922,CrossOpenBasicOnly_0,9,failure,insight,incorrect,OPENING,,
89922,74908,CrossOpenBasicOnly_0,10,failure,insight,incorrect,CROSS_OUT,,
74908,89922,CrossOpenBasicOnly_0,11,failure,insight,incorrect,OPENING,,
89922,89922,CrossOpenBasicOnly_0,12,failure,insight,incorrect,OPENING,,
89922,79746,CrossOpenBasicOnly_0,13,failure,,,,,
10742,23382,CrossOpenBasicOnly_0,0,success,insight,correct,APPLY_IS,,
23382,69576,CrossOpenBasicOnly_0,1,success,insight,correct,CROSS_OUT,,
69576,69576,CrossOpenBasicOnly_0,2,success,insight,correct,CROSS_OUT,,
69576,51185,CrossOpenBasicOnly_0,3,success,insight,correct,APPLY_OR,,
51185,62986,CrossOpenBasicOnly_0,4,success,insight,correct,CROSS_OUT,,
62986,62986,CrossOpenBasicOnly_0,5,success,insight,correct,CROSS_OUT,,
62986,46817,CrossOpenBasicOnly_0,6,success,insight,correct,APPLY_OR,,
46817,99688,CrossOpenBasicOnly_0,7,success,insight,correct,CROSS_OUT,,
99688,99688,CrossOpenBasicOnly_0,8,success,insight,correct,CROSS_OUT,,
99688,99688,CrossOpenBasicOnly_0,9,success,insight,correct,CROSS_OUT,,
99688,73857,CrossOpenBasicOnly_0,10,success,,,,,
40075,74156,CrossOpenBasicOnly_0,0,success,insight,correct,APPLY_IS,,
74156,96725,CrossOpenBasicOnly_0,1,success,insight,correct,CROSS_OUT,,
96725,13036,CrossOpenBasicOnly_0,2,success,insight,correct,APPLY_OR,,
13036,76998,CrossOpenBasicOnly_0,3,success,insight,correct,CROSS_OUT,,
76998,76998,CrossOpenBasicOnly_0,4,success,insight,correct,CROSS_OUT,,
76998,60677,CrossOpenBasicOnly_0,5,success,insight,correct,APPLY_OR,,
60677,73711,CrossOpenBasicOnly_0,6,success,insight,correct,CROSS_OUT,,
73711,73711,CrossOpenBasicOnly_0,7,success,insight,correct,CROSS_OUT,,
73711,73711,CrossOpenBasicOnly_0,8,success,insight,correct,CROSS_OUT,,
73711,73711,CrossOpenBasicOnly_0,9,success,insight,correct,CROSS_OUT,,
73711,32093,CrossOpenBasicOnly_0,10,success,,,,,
36789,32574,CrossOpenBasicOnly_0,0,failure,insight,correct,APPLY_IS,,
32574,84269,CrossOpenBasicOnly_0,1,failure,insight,correct,CROSS_OUT,,
84269,84269,CrossOpenBasicOnly_0,2,failure,insight,correct,CROSS_OUT,,
84269,64319,CrossOpenBasicOnly_0,3,failure,unknown-correct,correct,,,
64319,91669,CrossOpenBasicOnly_0,4,failure,insight,correct,BEFORE_NOINFO,,
91669,48356,CrossOpenBasicOnly_0,5,failure,unknown-correct,correct,,,
48356,86508,CrossOpenBasicOnly_0,6,failure,unknown-incorrect,incorrect,,,
86508,18762,CrossOpenBasicOnly_0,7,failure,insight,incorrect,APPLY_OR,,
18762,51871,CrossOpenBasicOnly_0,8,failure,insight,incorrect,CROSS_OUT,,
51871,51871,CrossOpenBasicOnly_0,9,failure,insight,incorrect,CROSS_OUT,,
51871,41547,CrossOpenBasicOnly_0,10,failure,insight,incorrect,TRANS_SETS,,
41547,89929,CrossOpenBasicOnly_0,11,failure,unknown-correct,correct,,,
89929,63455,CrossOpenBasicOnly_0,12,failure,insight,incorrect,OPENING,,
63455,35759,CrossOpenBasicOnly_0,13,failure,insight,correct,CROSS_OUT,,
35759,89929,CrossOpenBasicOnly_0,14,failure,unknown-incorrect,incorrect,,,
89929,35759,CrossOpenBasicOnly_0,15,failure,insight,correct,CROSS_OUT,,
35759,35759,CrossOpenBasicOnly_0,16,failure,insight,incorrect,CROSS_OUT,,
35759,35759,CrossOpenBasicOnly_0,17,failure,insight,incorrect,CROSS_OUT,,
