Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
31956,88167,RandomCorrect_0,0,success,unknown-correct,correct,,,
88167,88167,RandomCorrect_0,1,success,unknown-correct,correct,,,
88167,88167,RandomCorrect_0,2,success,unknown-correct,correct,,,
88167,88167,RandomCorrect_0,3,success,unknown-correct,correct,,,
88167,65123,RandomCorrect_0,4,success,insight,correct,CROSS_OUT,,
65123,65123,RandomCorrect_0,5,success,insight,correct,CROSS_OUT,,
65123,88167,RandomCorrect_0,6,success,unknown-correct,correct,,,
88167,65123,RandomCorrect_0,7,success,insight,correct,CROSS_OUT,,
65123,65123,RandomCorrect_0,8,success,insight,correct,CROSS_OUT,,
65123,91299,RandomCorrect_0,9,success,insight,correct,APPLY_NOT,,
91299,71438,RandomCorrect_0,10,success,unknown-correct,correct,,,
71438,40844,RandomCorrect_0,11,success,insight,correct,CROSS_OUT,,
40844,40844,RandomCorrect_0,12,success,insight,correct,CROSS_OUT,,
40844,86732,RandomCorrect_0,13,success,insight,correct,APPLY_IS,,
86732,88443,RandomCorrect_0,14,success,insight,correct,CROSS_OUT,,
88443,88443,RandomCorrect_0,15,success,insight,correct,CROSS_OUT,,
88443,86267,RandomCorrect_0,16,success,,,,,
29808,97342,RandomCorrect_0,0,success,unknown-correct,correct,,,
97342,97342,RandomCorrect_0,1,success,unknown-correct,correct,,,
97342,78076,RandomCorrect_0,2,success,insight,correct,APPLY_IS,,
78076,67308,RandomCorrect_0,3,success,unknown-correct,correct,,,
67308,67308,RandomCorrect_0,4,success,unknown-correct,correct,,,
67308,67308,RandomCorrect_0,5,success,unknown-correct,correct,,,
67308,67308,RandomCorrect_0,6,success,unknown-correct,correct,,,
67308,67308,RandomCorrect_0,7,success,unknown-correct,correct,,,
67308,53853,RandomCorrect_0,8,success,insight,correct,APPLY_NOT,,
53853,87665,RandomCorrect_0,9,success,unknown-correct,correct,,,
87665,50051,RandomCorrect_0,10,success,insight,correct,CROSS_OUT,,
50051,50051,RandomCorrect_0,11,success,insight,correct,CROSS_OUT,,
50051,50051,RandomCorrect_0,12,success,insight,correct,CROSS_OUT,,
50051,50051,RandomCorrect_0,13,success,insight,correct,CROSS_OUT,,
50051,50051,RandomCorrect_0,14,success,insight,correct,CROSS_OUT,,
50051,41009,RandomCorrect_0,15,success,insight,correct,OPENING,,
41009,82381,RandomCorrect_0,16,success,,,,,
56807,92690,RandomCorrect_0,0,success,insight,correct,APPLY_IS,,
92690,72834,RandomCorrect_0,1,success,insight,correct,SIMPLE_OR_SAME_CAT,,
72834,73643,RandomCorrect_0,2,success,insight,correct,APPLY_NOT,,
73643,19316,RandomCorrect_0,3,success,insight,correct,APPLY_OR,,
19316,98193,RandomCorrect_0,4,success,unknown-correct,correct,,,
98193,19316,RandomCorrect_0,5,success,insight,correct,APPLY_NOT,,
19316,19316,RandomCorrect_0,6,success,insight,correct,APPLY_OR,,
19316,98193,RandomCorrect_0,7,success,unknown-correct,correct,,,
98193,92342,RandomCorrect_0,8,success,insight,correct,CROSS_OUT,,
92342,92342,RandomCorrect_0,9,success,insight,correct,CROSS_OUT,,
92342,92342,RandomCorrect_0,10,success,insight,correct,CROSS_OUT,,
92342,92342,RandomCorrect_0,11,success,insight,correct,CROSS_OUT,,
92342,92342,RandomCorrect_0,12,success,insight,correct,CROSS_OUT,,
92342,92342,RandomCorrect_0,13,success,insight,correct,CROSS_OUT,,
92342,92342,RandomCorrect_0,14,success,insight,correct,CROSS_OUT,,
92342,92342,RandomCorrect_0,15,success,insight,correct,CROSS_OUT,,
92342,19388,RandomCorrect_0,16,success,,,,,
66509,78056,RandomCorrect_0,0,success,insight,correct,SIMPLE_OR_SAME_CAT,,
78056,44305,RandomCorrect_0,1,success,unknown-correct,correct,,,
44305,44305,RandomCorrect_0,2,success,unknown-correct,correct,,,
44305,44305,RandomCorrect_0,3,success,unknown-correct,correct,,,
44305,44305,RandomCorrect_0,4,success,unknown-correct,correct,,,
44305,44305,RandomCorrect_0,5,success,unknown-correct,correct,,,
44305,79829,RandomCorrect_0,6,success,insight,correct,CROSS_OUT,,
79829,79829,RandomCorrect_0,7,success,insight,correct,CROSS_OUT,,
79829,79829,RandomCorrect_0,8,success,insight,correct,CROSS_OUT,,
