isSolved,promptMode,What aspects (if any) of this puzzle were easy?,numClears,levelMode,numIncorrect,userId,This was an activity that I couldn't do very well,How confident are you in solving similar types of puzzles/problems?,Did solving this puzzle make you feel smart? Why or why not?,"After working at this activity for awhile, I felt pretty competent",_id,The mental challenges in this puzzle had an impact on how I played.,The puzzle stimulated my brain.,"I think I did pretty well at this activity, compared to other people",The puzzle made me draw on all of my mental resources.,I was pretty skilled at this activity,The puzzle required a lot of mental gymnastics.,The puzzle was cognitively demanding.,numAttempts,pid,I had to think very hard when playing the puzzle.,logicExp,I think I am pretty good at this activity,totalTime,I am satisfied with my performance at this task,What aspects (if any) of this puzzle were hard?,gridExp,clearMistakes,This puzzle doesn’t require a lot of mental effort.,numCorrect
True,none,Understanding the grid and it's layout,0,not_scaffolded,0,689b59c9a86babb31d8ead7f,2,Semi-confident,"No, because it was challenging. ",5,689b5a0a6bc6c32c3cb589a9,6,6,4,5,4,6,6,1,help1.3,6,2,4,184681,3,Breaking down the hints,2,False,1,14
False,none,The hint's were difficult to understand ,0,not_scaffolded,4,689b59c9a86babb31d8ead7f,5,semi-confident,"No, I am not confident I was right. ",2,689b5b0de277e93fe1ec8cbd,6,6,4,3,3,6,6,1,help2.1,6,2,3,163912,4,The hints,2,False,1,12
False,none,Lots of wording,1,not_scaffolded,14,689b59c9a86babb31d8ead7f,6,Not confiednt,"No, I didn't solve it",2,689b5bf2bf57147ba865e0f6,6,6,2,6,2,6,6,1,hub2.2,6,2,2,287694,2,The hints were hard to understand,2,False,1,34
True,none,It was simple and I only had to match couple of items. ,0,not_scaffolded,0,689b59cca86babb31d8ead80,2,Quite confident because I love doing puzzles. ,A little bit because I felt accomplished and good after solving the puzzle. ,5,689b59f5a0fabb1a65c09953,3,5,4,2,4,1,1,1,help1.2,2,2,4,137628,5,I had to convert my thinking from other things and get used to the task,2,False,5,5
True,none,It was simple,0,not_scaffolded,0,689b59cca86babb31d8ead80,2,Quite confident because I love doing it. ,Yes because I felt accomplished and competent after successfully finish the puzzle. ,5,689b5b21019f5c8e27d85246,3,5,4,2,5,2,2,1,help2.2,2,2,4,132783,5,Nothing. It was quite easy,2,False,5,4
True,none,It was simple and not a lot of ingredients to match.,0,not_scaffolded,0,689b59cca86babb31d8ead80,2,Quite confident because I love doing it and did it a couple of times before. ,Yes because this one was harder and I did it. ,5,689b5c249edb233177c6e9d2,4,5,4,4,5,4,5,1,hub2.3,5,2,4,217586,5,More items and requirements to deal with.,2,False,3,12
True,none,n/a,0,hub,0,689b59cca0fabb1a65c09952,2,Fairly confident. ,"Yes, it was a tricky puzzle and not everyone can solve it. ",6,689b59f1e277e93fe1ec8cb9,6,6,6,6,6,6,6,1,hub2.3,6,2,6,307158,6,Connecting numerous attributes with little hints and making inferences. ,1,False,2,48
True,none,There were few choices and the clues were very easy to follow.,0,scaffolded,0,689b59d0bf57147ba865e0f2,2,Somewhat confident.,"No, because it was a really easy logic puzzle so I suspect everyone could have figured it out.",6,689b59eba71d0d49580fc5ba,5,6,5,3,5,2,3,1,spoke1.1,2,2,5,23036,7,None.,2,False,5,4
True,none,Few choices and easy to follow clues.,0,scaffolded,0,689b59d0bf57147ba865e0f2,1,Somewhat confident.,No because it was super easy.,6,689b5a44019f5c8e27d85244,5,5,5,2,5,2,3,1,spoke1.3,2,2,5,16086,5,None.,2,False,5,4
True,none,Having the grey circle made it easy to make a guess.,0,scaffolded,0,689b59d0bf57147ba865e0f2,2,Confident.,Yes because it was hard and my first guess was correct.,6,689b5a7ea86babb31d8ead84,6,7,6,5,6,6,7,1,hub2.1,6,2,5,144258,6,"There were no certainties, at one point I had to make a guess.",2,False,2,12
False,generic,Understanding the puzzle and completing it.,0,not_scaffolded,4,689b59d06bc6c32c3cb589a5,1,I am confident in doing so.,Yes because I compherended the task.,7,689b59de9edb233177c6e9ca,2,6,6,2,7,2,6,1,help1.2,2,2,6,118487,6,Nothing was hard about the puzzle.,2,False,6,12
False,generic,Understanding the statements ,0,not_scaffolded,3,689b59d06bc6c32c3cb589a5,1,I am confident in doing so.,Yes because I compherended the puzzle.,7,689b5a9b6b15704ebfa4ae71,1,7,7,1,7,1,1,1,help2.3,1,2,7,56037,7,None were hard,2,False,7,13
False,generic,Compherending the statements,0,not_scaffolded,3,689b59d06bc6c32c3cb589a5,6,I am fairly confident in doing so,Yes because I understood the puzzle.,5,689b5b0f6b15704ebfa4ae75,6,3,6,6,7,5,5,1,hub2.2,5,2,5,68165,6,Placing the markers,2,False,7,17
False,generic,nothing,0,not_scaffolded,0,689b59d06bc6c32c3cb589a6,5,no very confident,no because I failed,2,689b5a0ee277e93fe1ec8cba,3,5,2,4,3,4,6,1,help1.2,5,2,3,52115,3,the clues were hard,1,False,5,2
False,generic,none,0,not_scaffolded,1,689b59d06bc6c32c3cb589a6,2,not very,no because i failed,2,689b5ab22b3db56c9ca8f96d,2,5,2,4,2,6,6,1,help2.3,6,2,2,16381,2,teh clues,1,False,2,1
False,generic,,0,not_scaffolded,3,689b59d06bc6c32c3cb589a6,,,,,689b5b0d7163696805b56fa7,,,,,,,,1,hub2.2,,2,,7404,,,1,False,,4
