Id,PuzzleId,State,GridValue,MoveIds
91231,spoke_sunlight,spoke_sunlight:start:['start'],start,['start']
44949,spoke_sunlight,spoke_sunlight:success:['success'],success,['success']
15116,spoke_sunlight,spoke_sunlight:failure:['failure'],failure,['failure']
84916,spoke_sunlight,spoke_sunlight:partial:['partial'],partial,['partial']
88484,spoke_sunlight,spoke_sunlight:incorrect:['unknown::None'],incorrect,['unknown::None']
72146,spoke_sunlight,spoke_sunlight:incorrect:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO'],incorrect,['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO']
68633,spoke_sunlight,"spoke_sunlight:incorrect:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'unknown::None']",incorrect,"['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'unknown::None']"
25716,spoke_sunlight,"spoke_sunlight:incorrect:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_SHIFT']",incorrect,"['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_SHIFT']"
70077,spoke_sunlight,"spoke_sunlight:incorrect:['cross outs::CROSS_OUT', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_SHIFT']",incorrect,"['cross outs::CROSS_OUT', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_SHIFT']"
98023,spoke_sunlight,"spoke_sunlight:incorrect:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_SHIFT', 'unknown::None']",incorrect,"['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_SHIFT', 'unknown::None']"
20045,spoke_sunlight,"spoke_sunlight:incorrect:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_SHIFT', 'transitives::OPENING']",incorrect,"['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_SHIFT', 'transitives::OPENING']"
57827,spoke_sunlight_alt,spoke_sunlight_alt:start:['start'],start,['start']
62572,spoke_sunlight_alt,spoke_sunlight_alt:success:['success'],success,['success']
96794,spoke_sunlight_alt,spoke_sunlight_alt:failure:['failure'],failure,['failure']
65996,spoke_sunlight_alt,spoke_sunlight_alt:partial:['partial'],partial,['partial']
23401,spoke_sunlight_alt,spoke_sunlight_alt:correct:['hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO'],correct,['hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO']
51479,spoke_sunlight_alt,"spoke_sunlight_alt:correct:['hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO', 'unknown::None']",correct,"['hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO', 'unknown::None']"
30505,spoke_sunlight_alt,"spoke_sunlight_alt:correct:['cross outs::CROSS_OUT', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO']",correct,"['cross outs::CROSS_OUT', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO']"
80056,spoke_sunlight_alt,"spoke_sunlight_alt:incorrect:['hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO', 'unknown::None']",incorrect,"['hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO', 'unknown::None']"
91892,spoke_sunlight_alt,"spoke_sunlight_alt:incorrect:['cross outs::OPENING', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO']",incorrect,"['cross outs::OPENING', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO']"
85693,spoke_sunlight_alt,"spoke_sunlight_alt:incorrect:['cross outs::CROSS_OUT', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO']",incorrect,"['cross outs::CROSS_OUT', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO']"
59591,spoke_sunlight_alt,"spoke_sunlight_alt:incorrect:['hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_SHIFT']",incorrect,"['hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_SHIFT']"
66151,spoke_sunlight_alt,"spoke_sunlight_alt:incorrect:['hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:OPENING', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_SHIFT']",incorrect,"['hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:OPENING', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_SHIFT']"
90869,spoke_sunlight_alt,"spoke_sunlight_alt:incorrect:['hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_SHIFT', 'unknown::None']",incorrect,"['hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_SHIFT', 'unknown::None']"
14344,spoke_harvest,spoke_harvest:start:['start'],start,['start']
93274,spoke_harvest,spoke_harvest:success:['success'],success,['success']
64795,spoke_harvest,spoke_harvest:failure:['failure'],failure,['failure']
18520,spoke_harvest,spoke_harvest:partial:['partial'],partial,['partial']
53831,spoke_harvest,spoke_harvest:correct:['unknown::None'],correct,['unknown::None']
28871,spoke_harvest,spoke_harvest:incorrect:['unknown::None'],incorrect,['unknown::None']
72665,spoke_harvest,spoke_harvest:incorrect:['cross outs::CROSS_OUT'],incorrect,['cross outs::CROSS_OUT']
36240,spoke_harvest,spoke_harvest:incorrect:['hint:The plant Green Onions is at least 1 days before the plant Eggplant:BEFORE_N_SPOTS_NOINFO'],incorrect,['hint:The plant Green Onions is at least 1 days before the plant Eggplant:BEFORE_N_SPOTS_NOINFO']
85287,spoke_harvest,"spoke_harvest:incorrect:['hint:The plant Green Onions is at least 1 days before the plant Eggplant:BEFORE_N_SPOTS_NOINFO', 'hint:The plant Green Onions is at least 1 days before the plant Eggplant:OPENING']",incorrect,"['hint:The plant Green Onions is at least 1 days before the plant Eggplant:BEFORE_N_SPOTS_NOINFO', 'hint:The plant Green Onions is at least 1 days before the plant Eggplant:OPENING']"
85191,spoke_harvest,"spoke_harvest:incorrect:['cross outs::CROSS_OUT', 'hint:The plant Green Onions is at least 1 days before the plant Eggplant:BEFORE_N_SPOTS_NOINFO']",incorrect,"['cross outs::CROSS_OUT', 'hint:The plant Green Onions is at least 1 days before the plant Eggplant:BEFORE_N_SPOTS_NOINFO']"
85658,spoke_harvest,"spoke_harvest:incorrect:['hint:The plant Green Onions is at least 1 days before the plant Eggplant:BEFORE_N_SPOTS_NOINFO', 'unknown::None']",incorrect,"['hint:The plant Green Onions is at least 1 days before the plant Eggplant:BEFORE_N_SPOTS_NOINFO', 'unknown::None']"
24629,spoke_harvest,"spoke_harvest:incorrect:['hint:Either the plant Green Onions or the plant Potatoes is the days 120:SIMPLE_OR_SAME_CAT', 'hint:The plant Green Onions is at least 1 days before the plant Eggplant:BEFORE_N_SPOTS_NOINFO']",incorrect,"['hint:Either the plant Green Onions or the plant Potatoes is the days 120:SIMPLE_OR_SAME_CAT', 'hint:The plant Green Onions is at least 1 days before the plant Eggplant:BEFORE_N_SPOTS_NOINFO']"
97697,spoke_water,spoke_water:start:['start'],start,['start']
77784,spoke_water,spoke_water:success:['success'],success,['success']
73637,spoke_water,spoke_water:failure:['failure'],failure,['failure']
47504,spoke_water,spoke_water:partial:['partial'],partial,['partial']
98684,spoke_water,spoke_water:incorrect:['unknown::None'],incorrect,['unknown::None']
33204,spoke_water,spoke_water:incorrect:['hint:The plants Green Onions is at least 1 amounts before the plants Carrots:BEFORE_NOINFO'],incorrect,['hint:The plants Green Onions is at least 1 amounts before the plants Carrots:BEFORE_NOINFO']
77468,spoke_water,"spoke_water:incorrect:['hint:The plants Green Onions is at least 1 amounts before the plants Carrots:BEFORE_NOINFO', 'unknown::None']",incorrect,"['hint:The plants Green Onions is at least 1 amounts before the plants Carrots:BEFORE_NOINFO', 'unknown::None']"
13718,spoke_water,"spoke_water:incorrect:['hint:Either the plants Green Onions or the plants Potatoes is the amounts 80oz:SIMPLE_OR_SAME_CAT', 'hint:The plants Green Onions is at least 1 amounts before the plants Carrots:BEFORE_NOINFO']",incorrect,"['hint:Either the plants Green Onions or the plants Potatoes is the amounts 80oz:SIMPLE_OR_SAME_CAT', 'hint:The plants Green Onions is at least 1 amounts before the plants Carrots:BEFORE_NOINFO']"
11252,spoke_water,"spoke_water:incorrect:['hint:Either the plants Green Onions or the plants Potatoes is the amounts 80oz:SIMPLE_OR_SAME_CAT', 'hint:The plants Green Onions is at least 1 amounts before the plants Carrots:BEFORE_NOINFO', 'hint:The plants Green Onions is at least 1 amounts before the plants Carrots:BEFORE_N_SPOTS_NOINFO']",incorrect,"['hint:Either the plants Green Onions or the plants Potatoes is the amounts 80oz:SIMPLE_OR_SAME_CAT', 'hint:The plants Green Onions is at least 1 amounts before the plants Carrots:BEFORE_NOINFO', 'hint:The plants Green Onions is at least 1 amounts before the plants Carrots:BEFORE_N_SPOTS_NOINFO']"
12121,spoke_water,"spoke_water:incorrect:['hint:Either the plants Green Onions or the plants Potatoes is the amounts 80oz:SIMPLE_OR_SAME_CAT', 'hint:The plants Green Onions is at least 1 amounts before the plants Carrots:BEFORE_NOINFO', 'hint:The plants Green Onions is at least 1 amounts before the plants Carrots:BEFORE_N_SPOTS_NOINFO', 'unknown::None']",incorrect,"['hint:Either the plants Green Onions or the plants Potatoes is the amounts 80oz:SIMPLE_OR_SAME_CAT', 'hint:The plants Green Onions is at least 1 amounts before the plants Carrots:BEFORE_NOINFO', 'hint:The plants Green Onions is at least 1 amounts before the plants Carrots:BEFORE_N_SPOTS_NOINFO', 'unknown::None']"
71463,spoke_water,"spoke_water:incorrect:['cross outs::CROSS_OUT', 'hint:Either the plants Green Onions or the plants Potatoes is the amounts 80oz:SIMPLE_OR_SAME_CAT', 'hint:The plants Green Onions is at least 1 amounts before the plants Carrots:BEFORE_NOINFO', 'hint:The plants Green Onions is at least 1 amounts before the plants Carrots:BEFORE_N_SPOTS_NOINFO']",incorrect,"['cross outs::CROSS_OUT', 'hint:Either the plants Green Onions or the plants Potatoes is the amounts 80oz:SIMPLE_OR_SAME_CAT', 'hint:The plants Green Onions is at least 1 amounts before the plants Carrots:BEFORE_NOINFO', 'hint:The plants Green Onions is at least 1 amounts before the plants Carrots:BEFORE_N_SPOTS_NOINFO']"
