Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
13338,17967,RandomCorrect,0,failure,unknown-correct,correct,,,
17967,17967,RandomCorrect,1,failure,unknown-correct,correct,,,
17967,17967,RandomCorrect,2,failure,unknown-correct,correct,,,
17967,61558,RandomCorrect,3,failure,insight,correct,APPLY_IS,,
61558,40558,RandomCorrect,4,failure,insight,correct,OPENING,,
40558,52311,RandomCorrect,5,failure,insight,correct,CROSS_OUT,,
52311,52311,RandomCorrect,6,failure,insight,correct,CROSS_OUT,,
52311,62011,RandomCorrect,7,failure,unknown-correct,correct,,,
62011,62011,RandomCorrect,8,failure,unknown-correct,correct,,,
62011,52311,RandomCorrect,9,failure,insight,correct,CROSS_OUT,,
52311,90095,RandomCorrect,10,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
90095,90095,RandomCorrect,11,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
90095,37340,RandomCorrect,12,failure,unknown-correct,correct,,,
37340,65641,RandomCorrect,13,failure,insight,correct,CROSS_OUT,,
65641,99672,RandomCorrect,14,failure,insight,correct,OPENING,,
99672,65641,RandomCorrect,15,failure,insight,correct,CROSS_OUT,,
65641,78634,RandomCorrect,16,failure,,,,,
42463,29541,RandomCorrect,0,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
29541,43523,RandomCorrect,1,failure,unknown-correct,correct,,,
43523,43523,RandomCorrect,2,failure,unknown-correct,correct,,,
43523,49078,RandomCorrect,3,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
49078,49078,RandomCorrect,4,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
49078,11261,RandomCorrect,5,failure,insight,correct,OPENING,,
11261,49078,RandomCorrect,6,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
49078,13765,RandomCorrect,7,failure,unknown-correct,correct,,,
13765,37355,RandomCorrect,8,failure,insight,correct,OPENING,,
37355,33106,RandomCorrect,9,failure,insight,correct,CROSS_OUT,,
33106,33106,RandomCorrect,10,failure,insight,correct,CROSS_OUT,,
33106,65036,RandomCorrect,11,failure,insight,correct,OPENING,,
65036,81232,RandomCorrect,12,failure,insight,correct,BEFORE_N_SPOTS_CROSSCHECK,,
81232,85383,RandomCorrect,13,failure,insight,correct,CROSS_OUT,,
85383,55135,RandomCorrect,14,failure,insight,correct,OPENING,,
55135,85383,RandomCorrect,15,failure,insight,correct,CROSS_OUT,,
85383,11770,RandomCorrect,16,failure,,,,,
45560,70967,RandomCorrect,0,failure,unknown-correct,correct,,,
70967,70967,RandomCorrect,1,failure,unknown-correct,correct,,,
70967,53854,RandomCorrect,2,failure,insight,correct,APPLY_IS,,
53854,67438,RandomCorrect,3,failure,unknown-correct,correct,,,
67438,54676,RandomCorrect,4,failure,insight,correct,OPENING,,
54676,67438,RandomCorrect,5,failure,unknown-correct,correct,,,
67438,72266,RandomCorrect,6,failure,insight,correct,OPENING,,
72266,68080,RandomCorrect,7,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
68080,65659,RandomCorrect,8,failure,insight,correct,CROSS_OUT,,
65659,65659,RandomCorrect,9,failure,insight,correct,CROSS_OUT,,
65659,74850,RandomCorrect,10,failure,unknown-correct,correct,,,
74850,65659,RandomCorrect,11,failure,insight,correct,CROSS_OUT,,
65659,65659,RandomCorrect,12,failure,insight,correct,CROSS_OUT,,
65659,65659,RandomCorrect,13,failure,insight,correct,CROSS_OUT,,
65659,77620,RandomCorrect,14,failure,insight,correct,OPENING,,
77620,65659,RandomCorrect,15,failure,insight,correct,CROSS_OUT,,
65659,11276,RandomCorrect,16,failure,,,,,
89902,83563,RandomCorrect,0,failure,unknown-correct,correct,,,
83563,44214,RandomCorrect,1,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
44214,56628,RandomCorrect,2,failure,unknown-correct,correct,,,
56628,56628,RandomCorrect,3,failure,unknown-correct,correct,,,
56628,56628,RandomCorrect,4,failure,unknown-correct,correct,,,
56628,48069,RandomCorrect,5,failure,insight,correct,OPENING,,
48069,56628,RandomCorrect,6,failure,unknown-correct,correct,,,
56628,33297,RandomCorrect,7,failure,insight,correct,CROSS_OUT,,
33297,97889,RandomCorrect,8,failure,insight,correct,APPLY_IS,,
97889,47281,RandomCorrect,9,failure,insight,correct,APPLY_BEFORE_UNDEFINED_SPOTS,,
47281,46791,RandomCorrect,10,failure,unknown-correct,correct,,,
46791,94219,RandomCorrect,11,failure,insight,correct,CROSS_OUT,,
94219,94219,RandomCorrect,12,failure,insight,correct,CROSS_OUT,,
94219,94219,RandomCorrect,13,failure,insight,correct,CROSS_OUT,,
94219,94219,RandomCorrect,14,failure,insight,correct,CROSS_OUT,,
94219,43851,RandomCorrect,15,failure,insight,correct,OPENING,,
43851,87265,RandomCorrect,16,failure,,,,,
42286,25644,RandomCorrect,0,failure,unknown-correct,correct,,,
25644,25644,RandomCorrect,1,failure,unknown-correct,correct,,,
25644,25644,RandomCorrect,2,failure,unknown-correct,correct,,,
25644,25644,RandomCorrect,3,failure,unknown-correct,correct,,,
25644,93536,RandomCorrect,4,failure,insight,correct,BEFORE_N_SPOTS_SHIFT,,
93536,72693,RandomCorrect,5,failure,unknown-correct,correct,,,
72693,50390,RandomCorrect,6,failure,insight,correct,CROSS_OUT,,
50390,50390,RandomCorrect,7,failure,insight,correct,CROSS_OUT,,
50390,72693,RandomCorrect,8,failure,unknown-correct,correct,,,
72693,95948,RandomCorrect,9,failure,insight,correct,BEFORE_N_SPOTS_CROSSCHECK,,
95948,11124,RandomCorrect,10,failure,insight,correct,OPENING,,
11124,30325,RandomCorrect,11,failure,insight,correct,CROSS_OUT,,
30325,30325,RandomCorrect,12,failure,insight,correct,CROSS_OUT,,
30325,30325,RandomCorrect,13,failure,insight,correct,CROSS_OUT,,
30325,11124,RandomCorrect,14,failure,insight,correct,OPENING,,
11124,95553,RandomCorrect,15,failure,insight,correct,APPLY_IS,,
95553,84993,RandomCorrect,16,failure,,,,,
83968,48819,RandomCorrect,0,failure,unknown-correct,correct,,,
48819,48819,RandomCorrect,1,failure,unknown-correct,correct,,,
48819,48819,RandomCorrect,2,failure,unknown-correct,correct,,,
48819,76434,RandomCorrect,3,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
76434,18049,RandomCorrect,4,failure,unknown-correct,correct,,,
18049,18049,RandomCorrect,5,failure,unknown-correct,correct,,,
18049,56254,RandomCorrect,6,failure,insight,correct,CROSS_OUT,,
56254,56254,RandomCorrect,7,failure,insight,correct,CROSS_OUT,,
56254,18049,RandomCorrect,8,failure,unknown-correct,correct,,,
18049,18049,RandomCorrect,9,failure,unknown-correct,correct,,,
18049,18049,RandomCorrect,10,failure,unknown-correct,correct,,,
18049,67090,RandomCorrect,11,failure,insight,correct,APPLY_IS,,
67090,56849,RandomCorrect,12,failure,unknown-correct,correct,,,
56849,75356,RandomCorrect,13,failure,insight,correct,OPENING,,
75356,82927,RandomCorrect,14,failure,insight,correct,CROSS_OUT,,
82927,75356,RandomCorrect,15,failure,insight,correct,OPENING,,
75356,66432,RandomCorrect,16,failure,,,,,
56499,43518,RandomCorrect,0,failure,unknown-correct,correct,,,
43518,43518,RandomCorrect,1,failure,unknown-correct,correct,,,
43518,43518,RandomCorrect,2,failure,unknown-correct,correct,,,
43518,43518,RandomCorrect,3,failure,unknown-correct,correct,,,
43518,43518,RandomCorrect,4,failure,unknown-correct,correct,,,
43518,43518,RandomCorrect,5,failure,unknown-correct,correct,,,
43518,13184,RandomCorrect,6,failure,insight,correct,APPLY_BEFORE_N_SPOTS,,
13184,26992,RandomCorrect,7,failure,insight,correct,OPENING,,
26992,74366,RandomCorrect,8,failure,unknown-correct,correct,,,
74366,74366,RandomCorrect,9,failure,unknown-correct,correct,,,
74366,27870,RandomCorrect,10,failure,insight,correct,TRANS_SETS,,
27870,52479,RandomCorrect,11,failure,unknown-correct,correct,,,
52479,27870,RandomCorrect,12,failure,insight,correct,TRANS_SETS,,
27870,52479,RandomCorrect,13,failure,unknown-correct,correct,,,
52479,52479,RandomCorrect,14,failure,unknown-correct,correct,,,
52479,52479,RandomCorrect,15,failure,unknown-correct,correct,,,
52479,70026,RandomCorrect,16,failure,insight,correct,OPENING,,
70026,27870,RandomCorrect,17,failure,insight,correct,TRANS_SETS,,
27870,52479,RandomCorrect,18,failure,unknown-correct,correct,,,
52479,27870,RandomCorrect,19,failure,insight,correct,TRANS_SETS,,
27870,27870,RandomCorrect,20,failure,insight,correct,TRANS_SETS,,
27870,52479,RandomCorrect,21,failure,unknown-correct,correct,,,
52479,24319,RandomCorrect,22,failure,insight,correct,OPENING,,
24319,52479,RandomCorrect,23,failure,unknown-correct,correct,,,
52479,69207,RandomCorrect,24,failure,insight,correct,TRANS_ABC_FALSE,,
69207,93060,RandomCorrect,25,failure,insight,correct,CROSS_OUT,,
93060,98126,RandomCorrect,26,failure,insight,correct,BEFORE_N_SPOTS_SHIFT,,
98126,98126,RandomCorrect,27,failure,insight,correct,TRANS_ABC_FALSE,,
98126,88488,RandomCorrect,28,failure,insight,correct,CROSS_OUT,,
88488,98126,RandomCorrect,29,failure,insight,correct,TRANS_ABC_FALSE,,
98126,27718,RandomCorrect,30,failure,insight,correct,OPENING,,
27718,88488,RandomCorrect,31,failure,insight,correct,CROSS_OUT,,
88488,88488,RandomCorrect,32,failure,insight,correct,CROSS_OUT,,
88488,88488,RandomCorrect,33,failure,insight,correct,CROSS_OUT,,
88488,88488,RandomCorrect,34,failure,insight,correct,CROSS_OUT,,
88488,88488,RandomCorrect,35,failure,insight,correct,CROSS_OUT,,
