_id,promptMode,logicPuzzleExp,gridPuzzleExp,levelMode,tutorialSlide,timeSpent,tutorialTime,totalGames
689b59c9a86babb31d8ead7f,none,2,2,not_scaffolded,10,636287,64780,3
689b59cca86babb31d8ead80,none,2,2,not_scaffolded,10,487997,40719,3
689b59cca0fabb1a65c09952,none,2,1,hub,10,307158,36209,1
689b59d0bf57147ba865e0f2,none,2,2,scaffolded,10,183380,27113,3
689b59d06bc6c32c3cb589a5,generic,2,2,not_scaffolded,10,242689,14396,3
689b59d06bc6c32c3cb589a6,generic,2,1,not_scaffolded,10,75900,62430,3
689b59d06bc6c32c3cb589a7,generic,1,2,scaffolded,10,39876,59791,2
689b59d16bc6c32c3cb589a8,relevant,2,2,not_scaffolded,10,1192185,39192,3
689b59d25b369118e14b6023,generic,1,1,scaffolded,10,26485,18325,2
689b59e09edb233177c6e9cb,none,1,1,scaffolded,10,483699,77187,3
689b59eba71d0d49580fc5bb,none,1,1,hub,10,424671,56914,1
689b59ebe43f28b7845d3cba,generic,2,1,not_scaffolded,10,39856,61979,2
689b59ef7163696805b56fa2,generic,1,1,not_scaffolded,10,373095,35710,3
689b59fcbf57147ba865e0f3,relevant,2,2,hub,10,434919,59874,1
689b5a04a86babb31d8ead81,relevant,2,1,scaffolded,10,0,43730,1
689b5a19a71d0d49580fc5bc,none,2,1,not_scaffolded,10,776428,327391,2
689b5a616b15704ebfa4ae6e,none,2,1,not_scaffolded,10,241700,54996,3
689b5a6aa86babb31d8ead82,none,2,1,scaffolded,10,0,27949,1
689b5ac05b369118e14b6024,relevant,1,1,scaffolded,-1,0,-1,0
689b5ae4e277e93fe1ec8cbc,relevant,2,2,hub,10,142285,42093,1
689b5b316b15704ebfa4ae76,generic,2,1,scaffolded,10,1728114,75000,3
689b5b875b369118e14b6025,none,2,2,not_scaffolded,10,307455,30169,3
689b5baf828dd5d2422e70d1,none,1,2,not_scaffolded,10,0,6947,1
689b5c0318c78be5400846ee,generic,2,1,not_scaffolded,10,1438367,440917,3
689b606ebf57147ba865e0fb,none,2,1,not_scaffolded,10,647507,65478,3
689b636b7163696805b56fab,relevant,1,1,hub,10,78288,1043325,1
689b69b62b3db56c9ca8f972,none,2,1,not_scaffolded,10,71149,130891,2
689b69bec87adf49dde11944,generic,2,1,not_scaffolded,10,528468,46440,3
689b69c29edb233177c6e9d6,none,1,1,not_scaffolded,10,182318,51729,3
689b69c29edb233177c6e9d7,none,1,1,not_scaffolded,10,663774,48800,3
689b69c7a0fabb1a65c09956,generic,2,1,hub,10,298896,49380,1
689b69cb7163696805b56fac,relevant,2,1,scaffolded,10,317394,50406,3
689b69d37163696805b56fad,generic,2,1,not_scaffolded,10,300083,25422,3
689b69f2a71d0d49580fc5be,none,1,1,scaffolded,10,232378,83421,3
689b69f7bf57147ba865e0fe,relevant,2,1,scaffolded,10,222263,158389,1
689b6a0ac87adf49dde11945,generic,2,1,hub,10,145772,36758,1
689b6a0f7163696805b56fae,none,1,1,scaffolded,10,11886,43896,1
689b6a167163696805b56faf,none,2,2,hub,10,206653,136517,1
689b6a25a86babb31d8ead8b,relevant,2,2,scaffolded,10,700692,88609,3
689b6a3da71d0d49580fc5bf,none,1,1,hub,10,733290,491691,1
689b6a61828dd5d2422e70d9,generic,1,1,hub,10,210385,75006,1
689b6a6dbf57147ba865e0ff,none,2,1,not_scaffolded,10,176210,16997,3
689b6aa8a0fabb1a65c09958,relevant,1,2,scaffolded,10,3814,32868,1
689b6acf18c78be5400846f2,relevant,2,1,not_scaffolded,10,20617,346463,1
689b6ad55b369118e14b602e,none,1,1,not_scaffolded,10,29653,390527,1
689b6ba018c78be5400846f4,relevant,2,2,not_scaffolded,10,1047416,70891,3
689b6c2ce43f28b7845d3cc1,relevant,1,2,not_scaffolded,10,345405,384037,3
689b6c74c87adf49dde1194a,generic,2,2,hub,10,153880,152204,1
689b6c8c18c78be5400846f5,none,1,1,not_scaffolded,10,31917,64334,1
689b6e102b3db56c9ca8f979,generic,2,2,not_scaffolded,10,326804,16237,3
689b6f212b3db56c9ca8f97a,relevant,2,1,not_scaffolded,10,618540,91700,3
689b8577a86babb31d8ead90,none,2,1,hub,10,211341,45937,1
689b8582e43f28b7845d3cc4,none,2,1,not_scaffolded,10,378540,95663,3
689b8589e43f28b7845d3cc5,generic,2,2,hub,10,170289,38168,1
689b858ee43f28b7845d3cc6,relevant,2,1,scaffolded,10,770251,93302,3
689b858ee43f28b7845d3cc7,generic,1,1,hub,10,254004,37015,1
689b8590a71d0d49580fc5c8,generic,1,1,scaffolded,10,46623,19967,2
689b8597a71d0d49580fc5c9,relevant,1,1,hub,10,200900,59639,1
689b8599a71d0d49580fc5ca,none,1,1,not_scaffolded,10,230645,63599,2
689b859aa71d0d49580fc5cb,relevant,2,1,scaffolded,10,330270,73926,3
689b859b828dd5d2422e70e0,relevant,2,2,not_scaffolded,10,360179,110847,3
689b85a2a0fabb1a65c0995c,none,1,1,not_scaffolded,10,52026,40458,1
689b85a79edb233177c6e9e2,none,1,1,hub,10,387687,104702,1
