Id,PuzzleId,State,GridValue,MoveIds
10438,spoke_sunlight,spoke_sunlight:start:['start'],start,['start']
43108,spoke_sunlight,spoke_sunlight:success:['success'],success,['success']
60816,spoke_sunlight,spoke_sunlight:failure:['failure'],failure,['failure']
47713,spoke_sunlight,spoke_sunlight:partial:['partial'],partial,['partial']
28796,spoke_sunlight,spoke_sunlight:correct:['unknown::None'],correct,['unknown::None']
18752,spoke_sunlight,spoke_sunlight:correct:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:OPENING'],correct,['hint:The plants Tomato is 2 hourss before the plants Cauliflower:OPENING']
24092,spoke_sunlight,spoke_sunlight:correct:['transitives::OPENING'],correct,['transitives::OPENING']
60833,spoke_sunlight,spoke_sunlight:correct:['cross outs::CROSS_OUT'],correct,['cross outs::CROSS_OUT']
20469,spoke_sunlight,spoke_sunlight:correct:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO'],correct,['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO']
92867,spoke_sunlight,"spoke_sunlight:correct:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'unknown::None']",correct,"['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'unknown::None']"
19499,spoke_sunlight,"spoke_sunlight:correct:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']",correct,"['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']"
42148,spoke_sunlight,"spoke_sunlight:correct:['cross outs::CROSS_OUT', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']",correct,"['cross outs::CROSS_OUT', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']"
38547,spoke_sunlight,"spoke_sunlight:correct:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is the hours 2hr:APPLY_IS', 'transitives::OPENING']",correct,"['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is the hours 2hr:APPLY_IS', 'transitives::OPENING']"
51108,spoke_sunlight_alt,spoke_sunlight_alt:start:['start'],start,['start']
10790,spoke_sunlight_alt,spoke_sunlight_alt:success:['success'],success,['success']
61119,spoke_sunlight_alt,spoke_sunlight_alt:failure:['failure'],failure,['failure']
82611,spoke_sunlight_alt,spoke_sunlight_alt:partial:['partial'],partial,['partial']
64016,spoke_sunlight_alt,spoke_sunlight_alt:correct:['unknown::None'],correct,['unknown::None']
46662,spoke_sunlight_alt,spoke_sunlight_alt:correct:['hint:The plants Tomato is 2 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO'],correct,['hint:The plants Tomato is 2 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO']
