Id,PuzzleId,State,GridValue,MoveIds
40707,help1.1,help1.1:start:['start'],start,['start']
73778,help1.1,help1.1:success:['success'],success,['success']
60694,help1.1,help1.1:failure:['failure'],failure,['failure']
48464,help1.1,help1.1:partial:['partial'],partial,['partial']
34826,help1.1,help1.1:correct:['unknown::None'],correct,['unknown::None']
58791,help1.1,help1.1:incorrect:['unknown::None'],incorrect,['unknown::None']
42871,help1.1,help1.1:incorrect:['cross outs::CROSS_OUT'],incorrect,['cross outs::CROSS_OUT']
45457,help1.1,help1.1:incorrect:['hint:The sauce Alfredo is the shape Bowtie:APPLY_IS'],incorrect,['hint:The sauce Alfredo is the shape Bowtie:APPLY_IS']
24997,help1.1,"help1.1:incorrect:['cross outs::CROSS_OUT', 'hint:The sauce Alfredo is the shape Bowtie:APPLY_IS']",incorrect,"['cross outs::CROSS_OUT', 'hint:The sauce Alfredo is the shape Bowtie:APPLY_IS']"
98535,help1.1,"help1.1:incorrect:['hint:The sauce Alfredo is the shape Bowtie:APPLY_IS', 'unknown::None']",incorrect,"['hint:The sauce Alfredo is the shape Bowtie:APPLY_IS', 'unknown::None']"
40080,help1.1,"help1.1:incorrect:['hint:The sauce Alfredo is the shape Bowtie:APPLY_IS', 'transitives::OPENING']",incorrect,"['hint:The sauce Alfredo is the shape Bowtie:APPLY_IS', 'transitives::OPENING']"
55605,help1.2,help1.2:start:['start'],start,['start']
95569,help1.2,help1.2:success:['success'],success,['success']
56073,help1.2,help1.2:failure:['failure'],failure,['failure']
54436,help1.2,help1.2:partial:['partial'],partial,['partial']
49059,help1.2,help1.2:incorrect:['unknown::None'],incorrect,['unknown::None']
96008,help1.2,help1.2:incorrect:['transitives::OPENING'],incorrect,['transitives::OPENING']
67394,help1.2,help1.2:incorrect:['cross outs::CROSS_OUT'],incorrect,['cross outs::CROSS_OUT']
93303,help1.2,help1.2:incorrect:['hint:The shape Bowtie is the sauce Alfredo:APPLY_IS'],incorrect,['hint:The shape Bowtie is the sauce Alfredo:APPLY_IS']
84866,help1.2,"help1.2:incorrect:['cross outs::CROSS_OUT', 'hint:The shape Bowtie is the sauce Alfredo:APPLY_IS']",incorrect,"['cross outs::CROSS_OUT', 'hint:The shape Bowtie is the sauce Alfredo:APPLY_IS']"
89271,help1.2,"help1.2:incorrect:['hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'hint:The shape Linguine was not the sauce Carbonara:APPLY_NOT']",incorrect,"['hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'hint:The shape Linguine was not the sauce Carbonara:APPLY_NOT']"
64453,help1.2,"help1.2:incorrect:['hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'hint:The shape Linguine was not the sauce Carbonara:APPLY_NOT', 'transitives::OPENING']",incorrect,"['hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'hint:The shape Linguine was not the sauce Carbonara:APPLY_NOT', 'transitives::OPENING']"
92428,help1.2,"help1.2:incorrect:['cross outs::CROSS_OUT', 'hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'hint:The shape Linguine was not the sauce Carbonara:APPLY_NOT']",incorrect,"['cross outs::CROSS_OUT', 'hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'hint:The shape Linguine was not the sauce Carbonara:APPLY_NOT']"
55869,help1.3,help1.3:start:['start'],start,['start']
54126,help1.3,help1.3:success:['success'],success,['success']
78050,help1.3,help1.3:failure:['failure'],failure,['failure']
46973,help1.3,help1.3:partial:['partial'],partial,['partial']
71222,help1.3,help1.3:incorrect:['unknown::None'],incorrect,['unknown::None']
51612,help1.3,help1.3:incorrect:['cross outs::CROSS_OUT'],incorrect,['cross outs::CROSS_OUT']
65046,help1.3,help1.3:incorrect:['transitives::OPENING'],incorrect,['transitives::OPENING']
65637,help2.1,help2.1:start:['start'],start,['start']
