Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
94314,20633,e1_kf,0,success,insight,correct,APPLY_IS,,
20633,79990,e1_kf,1,success,insight,correct,APPLY_OR,,
79990,41088,e1_kf,2,success,insight,correct,APPLY_BEFORE_N_SPOTS,,
41088,35841,e1_kf,3,success,insight,correct,OPENING,,
35841,79926,e1_kf,4,success,,,,,
47968,68807,e1_kf,0,success,insight,correct,SIMPLE_OR_SAME_CAT,,
68807,73207,e1_kf,1,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
73207,73207,e1_kf,2,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
73207,29791,e1_kf,3,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
29791,29791,e1_kf,4,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
29791,76632,e1_kf,5,success,insight,correct,OPENING,,
76632,80369,e1_kf,6,success,insight,correct,CROSS_OUT,,
80369,80369,e1_kf,7,success,insight,correct,CROSS_OUT,,
80369,80369,e1_kf,8,success,insight,correct,CROSS_OUT,,
80369,77214,e1_kf,9,success,insight,correct,OPENING,,
77214,62672,e1_kf,10,success,insight,correct,OPENING,,
62672,62672,e1_kf,11,success,insight,correct,OPENING,,
62672,80530,e1_kf,12,success,,,,,
71865,36598,e1_kf,0,success,insight,correct,APPLY_IS,,
36598,93742,e1_kf,1,success,insight,correct,CROSS_OUT,,
93742,93742,e1_kf,2,success,insight,correct,CROSS_OUT,,
93742,93742,e1_kf,3,success,insight,correct,CROSS_OUT,,
93742,93742,e1_kf,4,success,insight,correct,CROSS_OUT,,
93742,93742,e1_kf,5,success,insight,correct,CROSS_OUT,,
93742,93742,e1_kf,6,success,insight,correct,CROSS_OUT,,
93742,53855,e1_kf,7,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
53855,80905,e1_kf,8,success,insight,correct,OPENING,,
80905,35791,e1_kf,9,success,insight,correct,CROSS_OUT,,
35791,35791,e1_kf,10,success,insight,correct,CROSS_OUT,,
35791,80537,e1_kf,11,success,insight,correct,OPENING,,
80537,41756,e1_kf,12,success,insight,correct,OPENING,,
41756,97643,e1_kf,13,success,,,,,
23432,14302,e1_kf,0,success,insight,correct,APPLY_IS,,
14302,35335,e1_kf,1,success,insight,correct,CROSS_OUT,,
35335,35335,e1_kf,2,success,insight,correct,CROSS_OUT,,
35335,35335,e1_kf,3,success,insight,correct,CROSS_OUT,,
35335,35335,e1_kf,4,success,insight,correct,CROSS_OUT,,
35335,35335,e1_kf,5,success,insight,correct,CROSS_OUT,,
35335,35335,e1_kf,6,success,insight,correct,CROSS_OUT,,
35335,13564,e1_kf,7,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
13564,77028,e1_kf,8,success,insight,correct,OPENING,,
77028,23444,e1_kf,9,success,insight,correct,CROSS_OUT,,
23444,64568,e1_kf,10,success,insight,correct,OPENING,,
64568,23444,e1_kf,11,success,insight,correct,CROSS_OUT,,
23444,23444,e1_kf,12,success,insight,correct,CROSS_OUT,,
23444,55093,e1_kf,13,success,insight,correct,OPENING,,
55093,11191,e1_kf,14,success,,,,,
29233,49314,e1_kf,0,success,insight,correct,APPLY_IS,,
49314,67612,e1_kf,1,success,unknown-correct,correct,,,
67612,93221,e1_kf,2,success,insight,correct,OPENING,,
93221,66538,e1_kf,3,success,insight,correct,OPENING,,
66538,17585,e1_kf,4,success,,,,,
52984,78568,e1_kf,0,success,insight,correct,APPLY_IS,,
78568,63386,e1_kf,1,success,insight,correct,APPLY_OR,,
63386,46219,e1_kf,2,success,insight,correct,OPENING,,
46219,80883,e1_kf,3,success,insight,correct,OPENING,,
80883,51419,e1_kf,4,success,,,,,
58792,80445,e1_kf,0,success,insight,correct,APPLY_IS,,
80445,68400,e1_kf,1,success,insight,correct,CROSS_OUT,,
68400,68400,e1_kf,2,success,insight,correct,CROSS_OUT,,
68400,68400,e1_kf,3,success,insight,correct,CROSS_OUT,,
68400,68400,e1_kf,4,success,insight,correct,CROSS_OUT,,
68400,68400,e1_kf,5,success,insight,correct,CROSS_OUT,,
68400,68400,e1_kf,6,success,insight,correct,CROSS_OUT,,
68400,39332,e1_kf,7,success,unknown-correct,correct,,,
39332,45472,e1_kf,8,success,insight,correct,OPENING,,
45472,45472,e1_kf,9,success,insight,correct,OPENING,,
45472,68400,e1_kf,10,success,insight,correct,CROSS_OUT,,
68400,68400,e1_kf,11,success,insight,correct,CROSS_OUT,,
68400,68400,e1_kf,12,success,insight,correct,CROSS_OUT,,
68400,26718,e1_kf,13,success,insight,correct,OPENING,,
26718,68400,e1_kf,14,success,insight,correct,CROSS_OUT,,
68400,68400,e1_kf,15,success,insight,correct,CROSS_OUT,,
68400,74363,e1_kf,16,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
74363,74363,e1_kf,17,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
74363,74363,e1_kf,18,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
74363,74363,e1_kf,19,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
74363,87789,e1_kf,20,success,unknown-correct,correct,,,
87789,19751,e1_kf,21,success,insight,correct,OPENING,,
19751,61950,e1_kf,22,success,insight,correct,CROSS_OUT,,
61950,61950,e1_kf,23,success,insight,correct,CROSS_OUT,,
61950,19239,e1_kf,24,success,unknown-incorrect,incorrect,,,
19239,44432,e1_kf,25,success,insight,correct,OPENING,,
44432,44432,e1_kf,26,success,insight,incorrect,OPENING,,
44432,93539,e1_kf,27,success,insight,correct,OPENING,,
93539,36026,e1_kf,28,success,insight,correct,BEFORE_N_SPOTS_SHIFT,,
36026,43928,e1_kf,29,success,unknown-correct,correct,,,
43928,47943,e1_kf,30,success,insight,correct,OPENING,,
47943,50305,e1_kf,31,success,,,,,
39442,50484,e1_kf,0,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
50484,50484,e1_kf,1,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
50484,54612,e1_kf,2,success,insight,correct,SIMPLE_OR_DIFF_CAT,,
54612,29858,e1_kf,3,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
29858,29858,e1_kf,4,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
29858,29858,e1_kf,5,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
29858,29858,e1_kf,6,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
29858,56941,e1_kf,7,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
