Id,PuzzleId,State,GridValue,MoveIds
75090,spoke_sunlight,spoke_sunlight:start:['start'],start,['start']
31689,spoke_sunlight,spoke_sunlight:success:['success'],success,['success']
87991,spoke_sunlight,spoke_sunlight:failure:['failure'],failure,['failure']
38047,spoke_sunlight,spoke_sunlight:partial:['partial'],partial,['partial']
63197,spoke_sunlight,spoke_sunlight:correct:['unknown::None'],correct,['unknown::None']
94873,spoke_sunlight,spoke_sunlight:correct:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO'],correct,['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO']
85975,spoke_sunlight,"spoke_sunlight:correct:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO', 'unknown::None']",correct,"['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO', 'unknown::None']"
36884,spoke_sunlight,"spoke_sunlight:correct:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']",correct,"['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']"
19961,spoke_sunlight,"spoke_sunlight:correct:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:OPENING', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']",correct,"['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:OPENING', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']"
93602,spoke_sunlight,"spoke_sunlight:correct:['cross outs::CROSS_OUT', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']",correct,"['cross outs::CROSS_OUT', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']"
78367,spoke_sunlight,"spoke_sunlight:correct:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']",correct,"['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']"
82744,spoke_sunlight,"spoke_sunlight:correct:['cross outs::CROSS_OUT', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']",correct,"['cross outs::CROSS_OUT', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']"
