Id,PuzzleId,State,GridValue,MoveIds
17612,spoke_sunlight,spoke_sunlight:start:['start'],start,['start']
92560,spoke_sunlight,spoke_sunlight:success:['success'],success,['success']
57057,spoke_sunlight,spoke_sunlight:failure:['failure'],failure,['failure']
24113,spoke_sunlight,spoke_sunlight:partial:['partial'],partial,['partial']
10297,spoke_sunlight,spoke_sunlight:correct:['hint:The plants Tomato is the hours 2hr:APPLY_IS'],correct,['hint:The plants Tomato is the hours 2hr:APPLY_IS']
75398,spoke_sunlight,"spoke_sunlight:correct:['cross outs::CROSS_OUT', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']",correct,"['cross outs::CROSS_OUT', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']"
31969,spoke_sunlight,"spoke_sunlight:correct:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:APPLY_BEFORE_N_SPOTS', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']",correct,"['hint:The plants Tomato is 2 hourss before the plants Cauliflower:APPLY_BEFORE_N_SPOTS', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']"
54585,spoke_sunlight,"spoke_sunlight:correct:['cross outs::CROSS_OUT', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:APPLY_BEFORE_N_SPOTS', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']",correct,"['cross outs::CROSS_OUT', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:APPLY_BEFORE_N_SPOTS', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']"
78062,spoke_sunlight,"spoke_sunlight:correct:['hint:Either the plants Spinach is the hours 4hr or the plants Tomato is the hours 6hr:APPLY_OR', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:APPLY_BEFORE_N_SPOTS', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']",correct,"['hint:Either the plants Spinach is the hours 4hr or the plants Tomato is the hours 6hr:APPLY_OR', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:APPLY_BEFORE_N_SPOTS', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']"
22834,spoke_sunlight,"spoke_sunlight:correct:['cross outs::CROSS_OUT', 'hint:Either the plants Spinach is the hours 4hr or the plants Tomato is the hours 6hr:APPLY_OR', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:APPLY_BEFORE_N_SPOTS', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']",correct,"['cross outs::CROSS_OUT', 'hint:Either the plants Spinach is the hours 4hr or the plants Tomato is the hours 6hr:APPLY_OR', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:APPLY_BEFORE_N_SPOTS', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']"
