Id,PuzzleId,State,GridValue,MoveIds
88781,help1.1,help1.1:start:['start'],start,['start']
36319,help1.1,help1.1:success:['success'],success,['success']
81734,help1.1,help1.1:failure:['failure'],failure,['failure']
30644,help1.1,help1.1:partial:['partial'],partial,['partial']
62328,help1.1,help1.1:correct:['unknown::None'],correct,['unknown::None']
46015,help1.1,help1.1:incorrect:['unknown::None'],incorrect,['unknown::None']
88243,help1.1,help1.1:incorrect:['cross outs::CROSS_OUT'],incorrect,['cross outs::CROSS_OUT']
72548,help1.1,help1.1:incorrect:['hint:The sauce Alfredo is the shape Bowtie:APPLY_IS'],incorrect,['hint:The sauce Alfredo is the shape Bowtie:APPLY_IS']
77199,help1.1,"help1.1:incorrect:['cross outs::CROSS_OUT', 'hint:The sauce Alfredo is the shape Bowtie:APPLY_IS']",incorrect,"['cross outs::CROSS_OUT', 'hint:The sauce Alfredo is the shape Bowtie:APPLY_IS']"
69788,help1.1,"help1.1:incorrect:['hint:The sauce Alfredo is the shape Bowtie:APPLY_IS', 'unknown::None']",incorrect,"['hint:The sauce Alfredo is the shape Bowtie:APPLY_IS', 'unknown::None']"
43122,help1.1,"help1.1:incorrect:['hint:The sauce Alfredo is the shape Bowtie:APPLY_IS', 'transitives::OPENING']",incorrect,"['hint:The sauce Alfredo is the shape Bowtie:APPLY_IS', 'transitives::OPENING']"
88162,help1.2,help1.2:start:['start'],start,['start']
31389,help1.2,help1.2:success:['success'],success,['success']
72286,help1.2,help1.2:failure:['failure'],failure,['failure']
36035,help1.2,help1.2:partial:['partial'],partial,['partial']
29568,help1.2,help1.2:incorrect:['unknown::None'],incorrect,['unknown::None']
19675,help1.2,help1.2:incorrect:['transitives::OPENING'],incorrect,['transitives::OPENING']
75312,help1.2,help1.2:incorrect:['cross outs::CROSS_OUT'],incorrect,['cross outs::CROSS_OUT']
33446,help1.2,help1.2:incorrect:['hint:The shape Bowtie is the sauce Alfredo:APPLY_IS'],incorrect,['hint:The shape Bowtie is the sauce Alfredo:APPLY_IS']
41985,help1.2,"help1.2:incorrect:['cross outs::CROSS_OUT', 'hint:The shape Bowtie is the sauce Alfredo:APPLY_IS']",incorrect,"['cross outs::CROSS_OUT', 'hint:The shape Bowtie is the sauce Alfredo:APPLY_IS']"
63683,help1.2,"help1.2:incorrect:['hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'hint:The shape Linguine was not the sauce Carbonara:APPLY_NOT']",incorrect,"['hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'hint:The shape Linguine was not the sauce Carbonara:APPLY_NOT']"
25702,help1.2,"help1.2:incorrect:['hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'hint:The shape Linguine was not the sauce Carbonara:APPLY_NOT', 'transitives::OPENING']",incorrect,"['hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'hint:The shape Linguine was not the sauce Carbonara:APPLY_NOT', 'transitives::OPENING']"
83520,help1.2,"help1.2:incorrect:['cross outs::CROSS_OUT', 'hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'hint:The shape Linguine was not the sauce Carbonara:APPLY_NOT']",incorrect,"['cross outs::CROSS_OUT', 'hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'hint:The shape Linguine was not the sauce Carbonara:APPLY_NOT']"
19874,help1.3,help1.3:start:['start'],start,['start']
25760,help1.3,help1.3:success:['success'],success,['success']
66475,help1.3,help1.3:failure:['failure'],failure,['failure']
14354,help1.3,help1.3:partial:['partial'],partial,['partial']
92298,help1.3,help1.3:incorrect:['unknown::None'],incorrect,['unknown::None']
77770,help1.3,help1.3:incorrect:['cross outs::CROSS_OUT'],incorrect,['cross outs::CROSS_OUT']
49097,help1.3,help1.3:incorrect:['transitives::OPENING'],incorrect,['transitives::OPENING']
63086,help2.1,help2.1:start:['start'],start,['start']
44116,help2.1,help2.1:success:['success'],success,['success']
87746,help2.1,help2.1:failure:['failure'],failure,['failure']
61586,help2.1,help2.1:partial:['partial'],partial,['partial']
50508,help2.1,help2.1:incorrect:['unknown::None'],incorrect,['unknown::None']
85805,help2.1,help2.1:incorrect:['cross outs::CROSS_OUT'],incorrect,['cross outs::CROSS_OUT']
59646,help2.1,help2.1:incorrect:['transitives::OPENING'],incorrect,['transitives::OPENING']
26702,help2.2,help2.2:start:['start'],start,['start']
26504,help2.2,help2.2:success:['success'],success,['success']
17079,help2.2,help2.2:failure:['failure'],failure,['failure']
43095,help2.2,help2.2:partial:['partial'],partial,['partial']
12987,help2.2,help2.2:correct:['unknown::None'],correct,['unknown::None']
66998,help2.2,help2.2:correct:['hint:Either the light Full Shade or the light Partial Sun is the plant Potatoes:SIMPLE_OR_SAME_CAT'],correct,['hint:Either the light Full Shade or the light Partial Sun is the plant Potatoes:SIMPLE_OR_SAME_CAT']
19238,help2.2,"help2.2:correct:['hint:Either the light Full Shade or the light Partial Sun is the plant Potatoes:SIMPLE_OR_SAME_CAT', 'unknown::None']",correct,"['hint:Either the light Full Shade or the light Partial Sun is the plant Potatoes:SIMPLE_OR_SAME_CAT', 'unknown::None']"
70897,help2.2,"help2.2:correct:['hint:Either the light Full Shade or the light Partial Sun is the plant Potatoes:SIMPLE_OR_SAME_CAT', 'transitives::OPENING']",correct,"['hint:Either the light Full Shade or the light Partial Sun is the plant Potatoes:SIMPLE_OR_SAME_CAT', 'transitives::OPENING']"
90961,help2.2,"help2.2:correct:['cross outs::CROSS_OUT', 'hint:Either the light Full Shade or the light Partial Sun is the plant Potatoes:SIMPLE_OR_SAME_CAT']",correct,"['cross outs::CROSS_OUT', 'hint:Either the light Full Shade or the light Partial Sun is the plant Potatoes:SIMPLE_OR_SAME_CAT']"
39639,help2.2,"help2.2:incorrect:['hint:Either the light Full Shade or the light Partial Sun is the plant Potatoes:SIMPLE_OR_SAME_CAT', 'unknown::None']",incorrect,"['hint:Either the light Full Shade or the light Partial Sun is the plant Potatoes:SIMPLE_OR_SAME_CAT', 'unknown::None']"
