Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
85203,76006,689b59c9a86babb31d8ead7f,0,success,insight,,APPLY_NOT,none,not_scaffolded
76006,60377,689b59c9a86babb31d8ead7f,1,success,insight,,APPLY_IS,none,not_scaffolded
60377,61931,689b59c9a86babb31d8ead7f,2,success,insight,,CROSS_OUT,none,not_scaffolded
61931,61931,689b59c9a86babb31d8ead7f,3,success,insight,,CROSS_OUT,none,not_scaffolded
61931,61931,689b59c9a86babb31d8ead7f,4,success,insight,,CROSS_OUT,none,not_scaffolded
61931,80747,689b59c9a86babb31d8ead7f,5,success,insight,,SIMPLE_OR_SAME_CAT,none,not_scaffolded
80747,80747,689b59c9a86babb31d8ead7f,6,success,insight,,SIMPLE_OR_SAME_CAT,none,not_scaffolded
80747,11468,689b59c9a86babb31d8ead7f,7,success,insight,,OPENING,none,not_scaffolded
11468,10823,689b59c9a86babb31d8ead7f,8,success,insight,,CROSS_OUT,none,not_scaffolded
10823,10823,689b59c9a86babb31d8ead7f,9,success,insight,,CROSS_OUT,none,not_scaffolded
10823,10823,689b59c9a86babb31d8ead7f,10,success,insight,,CROSS_OUT,none,not_scaffolded
10823,11468,689b59c9a86babb31d8ead7f,11,success,insight,,OPENING,none,not_scaffolded
11468,65174,689b59c9a86babb31d8ead7f,12,success,insight,,,none,not_scaffolded
65174,32190,689b59c9a86babb31d8ead7f,13,success,insight,,,none,not_scaffolded
32190,32190,689b59c9a86babb31d8ead7f,14,success,insight,,,none,not_scaffolded
32190,33624,689b59c9a86babb31d8ead7f,15,success,,,,none,not_scaffolded
16372,80251,689b59c9a86babb31d8ead7f,0,failure,insight,,SIMPLE_OR_SAME_CAT,none,not_scaffolded
80251,80251,689b59c9a86babb31d8ead7f,1,failure,insight,,SIMPLE_OR_SAME_CAT,none,not_scaffolded
80251,96895,689b59c9a86babb31d8ead7f,2,failure,insight,,,none,not_scaffolded
96895,96895,689b59c9a86babb31d8ead7f,3,failure,insight,,,none,not_scaffolded
96895,84476,689b59c9a86babb31d8ead7f,4,failure,insight,,SIMPLE_OR_SAME_CAT,none,not_scaffolded
84476,14056,689b59c9a86babb31d8ead7f,5,failure,insight,,,none,not_scaffolded
14056,14056,689b59c9a86babb31d8ead7f,6,failure,insight,,,none,not_scaffolded
14056,14056,689b59c9a86babb31d8ead7f,7,failure,insight,,,none,not_scaffolded
14056,14056,689b59c9a86babb31d8ead7f,8,failure,insight,,,none,not_scaffolded
14056,27264,689b59c9a86babb31d8ead7f,9,failure,insight,,OPENING,none,not_scaffolded
27264,14056,689b59c9a86babb31d8ead7f,10,failure,insight,,,none,not_scaffolded
14056,41980,689b59c9a86babb31d8ead7f,11,failure,insight,,CROSS_OUT,none,not_scaffolded
41980,14056,689b59c9a86babb31d8ead7f,12,failure,insight,,,none,not_scaffolded
14056,14056,689b59c9a86babb31d8ead7f,13,failure,insight,,,none,not_scaffolded
14056,14056,689b59c9a86babb31d8ead7f,14,failure,insight,,,none,not_scaffolded
14056,47638,689b59c9a86babb31d8ead7f,15,failure,insight,,APPLY_OR,none,not_scaffolded
47638,50482,689b59c9a86babb31d8ead7f,16,failure,insight,,CROSS_OUT,none,not_scaffolded
50482,20006,689b59c9a86babb31d8ead7f,17,failure,insight,,,none,not_scaffolded
20006,20006,689b59c9a86babb31d8ead7f,18,failure,insight,,,none,not_scaffolded
20006,50482,689b59c9a86babb31d8ead7f,19,failure,insight,,CROSS_OUT,none,not_scaffolded
50482,20006,689b59c9a86babb31d8ead7f,20,failure,insight,,,none,not_scaffolded
20006,50482,689b59c9a86babb31d8ead7f,21,failure,insight,,CROSS_OUT,none,not_scaffolded
50482,20799,689b59c9a86babb31d8ead7f,22,failure,insight,,OPENING,none,not_scaffolded
20799,50482,689b59c9a86babb31d8ead7f,23,failure,insight,,CROSS_OUT,none,not_scaffolded
50482,50482,689b59c9a86babb31d8ead7f,24,failure,insight,,CROSS_OUT,none,not_scaffolded
50482,50482,689b59c9a86babb31d8ead7f,25,failure,insight,,CROSS_OUT,none,not_scaffolded
50482,39666,689b59c9a86babb31d8ead7f,26,failure,insight,,,none,not_scaffolded
39666,39666,689b59c9a86babb31d8ead7f,27,failure,insight,,,none,not_scaffolded
39666,91999,689b59c9a86babb31d8ead7f,28,failure,,,,none,not_scaffolded
70321,64676,689b59c9a86babb31d8ead7f,0,failure,insight,,,none,not_scaffolded
64676,64676,689b59c9a86babb31d8ead7f,1,failure,insight,,,none,not_scaffolded
64676,40848,689b59c9a86babb31d8ead7f,2,failure,insight,,,none,not_scaffolded
40848,40848,689b59c9a86babb31d8ead7f,3,failure,insight,,,none,not_scaffolded
40848,64676,689b59c9a86babb31d8ead7f,4,failure,insight,,,none,not_scaffolded
64676,40848,689b59c9a86babb31d8ead7f,5,failure,insight,,,none,not_scaffolded
40848,60601,689b59c9a86babb31d8ead7f,6,failure,insight,,APPLY_IS,none,not_scaffolded
60601,42962,689b59c9a86babb31d8ead7f,7,failure,insight,,APPLY_IS,none,not_scaffolded
42962,46736,689b59c9a86babb31d8ead7f,8,failure,insight,,APPLY_IS,none,not_scaffolded
46736,91504,689b59c9a86babb31d8ead7f,9,failure,insight,,TRANS_ABC_TRUE,none,not_scaffolded
91504,87182,689b59c9a86babb31d8ead7f,10,failure,insight,,CROSS_OUT,none,not_scaffolded
87182,87182,689b59c9a86babb31d8ead7f,11,failure,insight,,CROSS_OUT,none,not_scaffolded
87182,87182,689b59c9a86babb31d8ead7f,12,failure,insight,,CROSS_OUT,none,not_scaffolded
87182,87182,689b59c9a86babb31d8ead7f,13,failure,insight,,CROSS_OUT,none,not_scaffolded
87182,87182,689b59c9a86babb31d8ead7f,14,failure,insight,,CROSS_OUT,none,not_scaffolded
87182,87182,689b59c9a86babb31d8ead7f,15,failure,insight,,CROSS_OUT,none,not_scaffolded
87182,87182,689b59c9a86babb31d8ead7f,16,failure,insight,,CROSS_OUT,none,not_scaffolded
87182,87182,689b59c9a86babb31d8ead7f,17,failure,insight,,CROSS_OUT,none,not_scaffolded
87182,87182,689b59c9a86babb31d8ead7f,18,failure,insight,,CROSS_OUT,none,not_scaffolded
87182,87522,689b59c9a86babb31d8ead7f,19,failure,insight,,,none,not_scaffolded
87522,47895,689b59c9a86babb31d8ead7f,20,failure,insight,,TRANS_ABC_TRUE,none,not_scaffolded
47895,99120,689b59c9a86babb31d8ead7f,21,failure,insight,,CROSS_OUT,none,not_scaffolded
99120,99120,689b59c9a86babb31d8ead7f,22,failure,insight,,CROSS_OUT,none,not_scaffolded
99120,99120,689b59c9a86babb31d8ead7f,23,failure,insight,,CROSS_OUT,none,not_scaffolded
99120,99120,689b59c9a86babb31d8ead7f,24,failure,insight,,CROSS_OUT,none,not_scaffolded
