Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
99403,96230,689b59c9a86babb31d8ead7f,0,success,insight,correct,APPLY_NOT,none,not_scaffolded
96230,73371,689b59c9a86babb31d8ead7f,1,success,insight,correct,APPLY_IS,none,not_scaffolded
73371,47810,689b59c9a86babb31d8ead7f,2,success,insight,correct,CROSS_OUT,none,not_scaffolded
47810,47810,689b59c9a86babb31d8ead7f,3,success,insight,correct,CROSS_OUT,none,not_scaffolded
47810,47810,689b59c9a86babb31d8ead7f,4,success,insight,correct,CROSS_OUT,none,not_scaffolded
47810,40853,689b59c9a86babb31d8ead7f,5,success,insight,correct,SIMPLE_OR_SAME_CAT,none,not_scaffolded
40853,40853,689b59c9a86babb31d8ead7f,6,success,insight,correct,SIMPLE_OR_SAME_CAT,none,not_scaffolded
40853,36074,689b59c9a86babb31d8ead7f,7,success,insight,correct,CROSS_OUT,none,not_scaffolded
36074,36074,689b59c9a86babb31d8ead7f,8,success,insight,correct,CROSS_OUT,none,not_scaffolded
36074,36074,689b59c9a86babb31d8ead7f,9,success,insight,correct,CROSS_OUT,none,not_scaffolded
36074,36074,689b59c9a86babb31d8ead7f,10,success,insight,correct,CROSS_OUT,none,not_scaffolded
36074,36074,689b59c9a86babb31d8ead7f,11,success,insight,correct,CROSS_OUT,none,not_scaffolded
36074,69482,689b59c9a86babb31d8ead7f,12,success,unknown-incorrect,incorrect,,none,not_scaffolded
69482,41003,689b59c9a86babb31d8ead7f,13,success,unknown-correct,correct,,none,not_scaffolded
41003,36074,689b59c9a86babb31d8ead7f,14,success,insight,correct,CROSS_OUT,none,not_scaffolded
36074,22195,689b59c9a86babb31d8ead7f,15,success,,,,none,not_scaffolded
18974,33014,689b59c9a86babb31d8ead7f,0,failure,insight,correct,SIMPLE_OR_SAME_CAT,none,not_scaffolded
33014,33014,689b59c9a86babb31d8ead7f,1,failure,insight,correct,SIMPLE_OR_SAME_CAT,none,not_scaffolded
33014,77421,689b59c9a86babb31d8ead7f,2,failure,unknown-incorrect,incorrect,,none,not_scaffolded
77421,77421,689b59c9a86babb31d8ead7f,3,failure,unknown-correct,correct,,none,not_scaffolded
77421,71822,689b59c9a86babb31d8ead7f,4,failure,insight,correct,SIMPLE_OR_SAME_CAT,none,not_scaffolded
71822,92286,689b59c9a86babb31d8ead7f,5,failure,unknown-correct,correct,,none,not_scaffolded
92286,92286,689b59c9a86babb31d8ead7f,6,failure,unknown-correct,correct,,none,not_scaffolded
92286,92286,689b59c9a86babb31d8ead7f,7,failure,unknown-correct,correct,,none,not_scaffolded
92286,92286,689b59c9a86babb31d8ead7f,8,failure,unknown-correct,correct,,none,not_scaffolded
92286,15521,689b59c9a86babb31d8ead7f,9,failure,insight,correct,OPENING,none,not_scaffolded
15521,92286,689b59c9a86babb31d8ead7f,10,failure,unknown-incorrect,incorrect,,none,not_scaffolded
92286,31362,689b59c9a86babb31d8ead7f,11,failure,insight,incorrect,CROSS_OUT,none,not_scaffolded
31362,92286,689b59c9a86babb31d8ead7f,12,failure,unknown-incorrect,incorrect,,none,not_scaffolded
92286,92286,689b59c9a86babb31d8ead7f,13,failure,unknown-correct,correct,,none,not_scaffolded
92286,92286,689b59c9a86babb31d8ead7f,14,failure,unknown-incorrect,incorrect,,none,not_scaffolded
92286,54088,689b59c9a86babb31d8ead7f,15,failure,insight,incorrect,APPLY_OR,none,not_scaffolded
54088,85460,689b59c9a86babb31d8ead7f,16,failure,insight,incorrect,CROSS_OUT,none,not_scaffolded
85460,40285,689b59c9a86babb31d8ead7f,17,failure,unknown-correct,correct,,none,not_scaffolded
40285,40285,689b59c9a86babb31d8ead7f,18,failure,unknown-correct,correct,,none,not_scaffolded
40285,85460,689b59c9a86babb31d8ead7f,19,failure,insight,correct,CROSS_OUT,none,not_scaffolded
85460,40285,689b59c9a86babb31d8ead7f,20,failure,unknown-incorrect,incorrect,,none,not_scaffolded
40285,85460,689b59c9a86babb31d8ead7f,21,failure,insight,correct,CROSS_OUT,none,not_scaffolded
85460,85460,689b59c9a86babb31d8ead7f,22,failure,insight,correct,CROSS_OUT,none,not_scaffolded
85460,85460,689b59c9a86babb31d8ead7f,23,failure,insight,correct,CROSS_OUT,none,not_scaffolded
85460,85460,689b59c9a86babb31d8ead7f,24,failure,insight,correct,CROSS_OUT,none,not_scaffolded
85460,85460,689b59c9a86babb31d8ead7f,25,failure,insight,correct,CROSS_OUT,none,not_scaffolded
85460,96960,689b59c9a86babb31d8ead7f,26,failure,unknown-incorrect,incorrect,,none,not_scaffolded
96960,38773,689b59c9a86babb31d8ead7f,27,failure,insight,incorrect,OPENING,none,not_scaffolded
38773,51498,689b59c9a86babb31d8ead7f,28,failure,,,,none,not_scaffolded
99066,80184,689b59c9a86babb31d8ead7f,0,failure,unknown-incorrect,incorrect,,none,not_scaffolded
80184,80184,689b59c9a86babb31d8ead7f,1,failure,unknown-correct,correct,,none,not_scaffolded
80184,68292,689b59c9a86babb31d8ead7f,2,failure,unknown-correct,correct,,none,not_scaffolded
68292,68292,689b59c9a86babb31d8ead7f,3,failure,unknown-incorrect,incorrect,,none,not_scaffolded
68292,80184,689b59c9a86babb31d8ead7f,4,failure,unknown-incorrect,incorrect,,none,not_scaffolded
80184,68292,689b59c9a86babb31d8ead7f,5,failure,unknown-correct,correct,,none,not_scaffolded
68292,23420,689b59c9a86babb31d8ead7f,6,failure,insight,correct,APPLY_IS,none,not_scaffolded
23420,33648,689b59c9a86babb31d8ead7f,7,failure,insight,correct,APPLY_IS,none,not_scaffolded
33648,48577,689b59c9a86babb31d8ead7f,8,failure,insight,correct,APPLY_IS,none,not_scaffolded
48577,45364,689b59c9a86babb31d8ead7f,9,failure,insight,correct,TRANS_ABC_TRUE,none,not_scaffolded
45364,77719,689b59c9a86babb31d8ead7f,10,failure,insight,correct,CROSS_OUT,none,not_scaffolded
77719,77719,689b59c9a86babb31d8ead7f,11,failure,insight,correct,CROSS_OUT,none,not_scaffolded
77719,77719,689b59c9a86babb31d8ead7f,12,failure,insight,correct,CROSS_OUT,none,not_scaffolded
77719,77719,689b59c9a86babb31d8ead7f,13,failure,insight,correct,CROSS_OUT,none,not_scaffolded
77719,77719,689b59c9a86babb31d8ead7f,14,failure,insight,correct,CROSS_OUT,none,not_scaffolded
77719,77719,689b59c9a86babb31d8ead7f,15,failure,insight,correct,CROSS_OUT,none,not_scaffolded
77719,77719,689b59c9a86babb31d8ead7f,16,failure,insight,correct,CROSS_OUT,none,not_scaffolded
77719,77719,689b59c9a86babb31d8ead7f,17,failure,insight,correct,CROSS_OUT,none,not_scaffolded
77719,77719,689b59c9a86babb31d8ead7f,18,failure,insight,correct,CROSS_OUT,none,not_scaffolded
77719,10034,689b59c9a86babb31d8ead7f,19,failure,unknown-incorrect,incorrect,,none,not_scaffolded
10034,36256,689b59c9a86babb31d8ead7f,20,failure,insight,incorrect,TRANS_ABC_TRUE,none,not_scaffolded
36256,11023,689b59c9a86babb31d8ead7f,21,failure,insight,incorrect,CROSS_OUT,none,not_scaffolded
11023,11023,689b59c9a86babb31d8ead7f,22,failure,insight,correct,CROSS_OUT,none,not_scaffolded
11023,11023,689b59c9a86babb31d8ead7f,23,failure,insight,correct,CROSS_OUT,none,not_scaffolded
11023,11023,689b59c9a86babb31d8ead7f,24,failure,insight,correct,CROSS_OUT,none,not_scaffolded
11023,11023,689b59c9a86babb31d8ead7f,25,failure,insight,correct,CROSS_OUT,none,not_scaffolded
11023,11023,689b59c9a86babb31d8ead7f,26,failure,insight,correct,CROSS_OUT,none,not_scaffolded
11023,11023,689b59c9a86babb31d8ead7f,27,failure,insight,correct,CROSS_OUT,none,not_scaffolded
11023,11023,689b59c9a86babb31d8ead7f,28,failure,insight,incorrect,CROSS_OUT,none,not_scaffolded
