Id,PuzzleId,State,GridValue,MoveIds
94314,spoke_sunlight,spoke_sunlight:start:['start'],start,['start']
79926,spoke_sunlight,spoke_sunlight:success:['success'],success,['success']
96714,spoke_sunlight,spoke_sunlight:failure:['failure'],failure,['failure']
41171,spoke_sunlight,spoke_sunlight:partial:['partial'],partial,['partial']
20633,spoke_sunlight,spoke_sunlight:correct:['hint:The plants Tomato is the hours 2hr:APPLY_IS'],correct,['hint:The plants Tomato is the hours 2hr:APPLY_IS']
79990,spoke_sunlight,"spoke_sunlight:correct:['hint:Either the plants Spinach is the hours 4hr or the plants Tomato is the hours 6hr:APPLY_OR', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']",correct,"['hint:Either the plants Spinach is the hours 4hr or the plants Tomato is the hours 6hr:APPLY_OR', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']"
41088,spoke_sunlight,"spoke_sunlight:correct:['hint:Either the plants Spinach is the hours 4hr or the plants Tomato is the hours 6hr:APPLY_OR', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:APPLY_BEFORE_N_SPOTS', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']",correct,"['hint:Either the plants Spinach is the hours 4hr or the plants Tomato is the hours 6hr:APPLY_OR', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:APPLY_BEFORE_N_SPOTS', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']"
35841,spoke_sunlight,"spoke_sunlight:correct:['hint:Either the plants Spinach is the hours 4hr or the plants Tomato is the hours 6hr:APPLY_OR', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:APPLY_BEFORE_N_SPOTS', 'hint:The plants Tomato is the hours 2hr:APPLY_IS', 'transitives::OPENING']",correct,"['hint:Either the plants Spinach is the hours 4hr or the plants Tomato is the hours 6hr:APPLY_OR', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:APPLY_BEFORE_N_SPOTS', 'hint:The plants Tomato is the hours 2hr:APPLY_IS', 'transitives::OPENING']"
47968,spoke_sunlight_alt,spoke_sunlight_alt:start:['start'],start,['start']
80530,spoke_sunlight_alt,spoke_sunlight_alt:success:['success'],success,['success']
72332,spoke_sunlight_alt,spoke_sunlight_alt:failure:['failure'],failure,['failure']
95256,spoke_sunlight_alt,spoke_sunlight_alt:partial:['partial'],partial,['partial']
68807,spoke_sunlight_alt,spoke_sunlight_alt:correct:['hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:SIMPLE_OR_SAME_CAT'],correct,['hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:SIMPLE_OR_SAME_CAT']
73207,spoke_sunlight_alt,"spoke_sunlight_alt:correct:['hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:SIMPLE_OR_SAME_CAT', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO']",correct,"['hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:SIMPLE_OR_SAME_CAT', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO']"
29791,spoke_sunlight_alt,"spoke_sunlight_alt:correct:['hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:SIMPLE_OR_SAME_CAT', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO']",correct,"['hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:SIMPLE_OR_SAME_CAT', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO']"
76632,spoke_sunlight_alt,"spoke_sunlight_alt:correct:['hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:SIMPLE_OR_SAME_CAT', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO', 'transitives::OPENING']",correct,"['hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:SIMPLE_OR_SAME_CAT', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO', 'transitives::OPENING']"
80369,spoke_sunlight_alt,"spoke_sunlight_alt:correct:['cross outs::CROSS_OUT', 'hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:SIMPLE_OR_SAME_CAT', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO']",correct,"['cross outs::CROSS_OUT', 'hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:SIMPLE_OR_SAME_CAT', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO']"
77214,spoke_sunlight_alt,"spoke_sunlight_alt:correct:['hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:SIMPLE_OR_SAME_CAT', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:OPENING', 'hint:The plants Tomato is 2 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO']",correct,"['hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:SIMPLE_OR_SAME_CAT', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:OPENING', 'hint:The plants Tomato is 2 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO']"
62672,spoke_sunlight_alt,"spoke_sunlight_alt:correct:['cross outs::OPENING', 'hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:SIMPLE_OR_SAME_CAT', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO']",correct,"['cross outs::OPENING', 'hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:SIMPLE_OR_SAME_CAT', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is 2 hourss before the plants Spinach:BEFORE_N_SPOTS_NOINFO']"
71865,spoke_harvest,spoke_harvest:start:['start'],start,['start']
97643,spoke_harvest,spoke_harvest:success:['success'],success,['success']
31144,spoke_harvest,spoke_harvest:failure:['failure'],failure,['failure']
27621,spoke_harvest,spoke_harvest:partial:['partial'],partial,['partial']
36598,spoke_harvest,spoke_harvest:correct:['hint:The plant Eggplant is the days 60:APPLY_IS'],correct,['hint:The plant Eggplant is the days 60:APPLY_IS']
93742,spoke_harvest,"spoke_harvest:correct:['cross outs::CROSS_OUT', 'hint:The plant Eggplant is the days 60:APPLY_IS']",correct,"['cross outs::CROSS_OUT', 'hint:The plant Eggplant is the days 60:APPLY_IS']"
53855,spoke_harvest,"spoke_harvest:correct:['hint:The plant Eggplant is the days 60:APPLY_IS', 'hint:The plant Green Onions is at least 1 days before the plant Eggplant:BEFORE_N_SPOTS_NOINFO']",correct,"['hint:The plant Eggplant is the days 60:APPLY_IS', 'hint:The plant Green Onions is at least 1 days before the plant Eggplant:BEFORE_N_SPOTS_NOINFO']"
80905,spoke_harvest,"spoke_harvest:correct:['hint:The plant Eggplant is the days 60:APPLY_IS', 'hint:The plant Green Onions is at least 1 days before the plant Eggplant:BEFORE_N_SPOTS_NOINFO', 'hint:The plant Green Onions is at least 1 days before the plant Eggplant:OPENING']",correct,"['hint:The plant Eggplant is the days 60:APPLY_IS', 'hint:The plant Green Onions is at least 1 days before the plant Eggplant:BEFORE_N_SPOTS_NOINFO', 'hint:The plant Green Onions is at least 1 days before the plant Eggplant:OPENING']"
35791,spoke_harvest,"spoke_harvest:correct:['cross outs::CROSS_OUT', 'hint:The plant Eggplant is the days 60:APPLY_IS', 'hint:The plant Green Onions is at least 1 days before the plant Eggplant:BEFORE_N_SPOTS_NOINFO']",correct,"['cross outs::CROSS_OUT', 'hint:The plant Eggplant is the days 60:APPLY_IS', 'hint:The plant Green Onions is at least 1 days before the plant Eggplant:BEFORE_N_SPOTS_NOINFO']"
80537,spoke_harvest,"spoke_harvest:correct:['hint:Either the plant Green Onions or the plant Potatoes is the days 120:OPENING', 'hint:The plant Eggplant is the days 60:APPLY_IS', 'hint:The plant Green Onions is at least 1 days before the plant Eggplant:BEFORE_N_SPOTS_NOINFO']",correct,"['hint:Either the plant Green Onions or the plant Potatoes is the days 120:OPENING', 'hint:The plant Eggplant is the days 60:APPLY_IS', 'hint:The plant Green Onions is at least 1 days before the plant Eggplant:BEFORE_N_SPOTS_NOINFO']"
41756,spoke_harvest,"spoke_harvest:correct:['cross outs::OPENING', 'hint:The plant Eggplant is the days 60:APPLY_IS', 'hint:The plant Green Onions is at least 1 days before the plant Eggplant:BEFORE_N_SPOTS_NOINFO']",correct,"['cross outs::OPENING', 'hint:The plant Eggplant is the days 60:APPLY_IS', 'hint:The plant Green Onions is at least 1 days before the plant Eggplant:BEFORE_N_SPOTS_NOINFO']"
23432,spoke_water,spoke_water:start:['start'],start,['start']
11191,spoke_water,spoke_water:success:['success'],success,['success']
