Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
65642,80118,RandomProb_0,0,failure,unknown-incorrect,incorrect,,,
80118,80118,RandomProb_0,1,failure,unknown-correct,correct,,,
80118,80118,RandomProb_0,2,failure,unknown-incorrect,incorrect,,,
80118,80118,RandomProb_0,3,failure,unknown-incorrect,incorrect,,,
80118,80118,RandomProb_0,4,failure,unknown-correct,correct,,,
80118,80118,RandomProb_0,5,failure,unknown-correct,correct,,,
80118,80118,RandomProb_0,6,failure,unknown-correct,correct,,,
80118,80118,RandomProb_0,7,failure,unknown-incorrect,incorrect,,,
80118,80118,RandomProb_0,8,failure,unknown-correct,correct,,,
80118,80118,RandomProb_0,9,failure,unknown-incorrect,incorrect,,,
80118,47631,RandomProb_0,10,failure,insight,correct,CROSS_OUT,,
47631,47631,RandomProb_0,11,failure,insight,incorrect,CROSS_OUT,,
47631,47631,RandomProb_0,12,failure,insight,correct,CROSS_OUT,,
47631,47631,RandomProb_0,13,failure,insight,correct,CROSS_OUT,,
47631,80118,RandomProb_0,14,failure,unknown-incorrect,incorrect,,,
80118,47631,RandomProb_0,15,failure,insight,incorrect,CROSS_OUT,,
47631,70082,RandomProb_0,16,failure,,,,,
60106,70756,RandomProb_0,0,failure,unknown-incorrect,incorrect,,,
70756,23841,RandomProb_0,1,failure,insight,incorrect,CROSS_OUT,,
23841,70756,RandomProb_0,2,failure,unknown-correct,correct,,,
70756,70756,RandomProb_0,3,failure,unknown-incorrect,incorrect,,,
70756,70756,RandomProb_0,4,failure,unknown-incorrect,incorrect,,,
70756,70756,RandomProb_0,5,failure,unknown-incorrect,incorrect,,,
70756,70756,RandomProb_0,6,failure,unknown-correct,correct,,,
70756,99434,RandomProb_0,7,failure,insight,correct,APPLY_OR,,
99434,22293,RandomProb_0,8,failure,insight,correct,CROSS_OUT,,
22293,22293,RandomProb_0,9,failure,insight,correct,CROSS_OUT,,
22293,22293,RandomProb_0,10,failure,insight,correct,CROSS_OUT,,
22293,22293,RandomProb_0,11,failure,insight,incorrect,CROSS_OUT,,
22293,22293,RandomProb_0,12,failure,insight,correct,CROSS_OUT,,
22293,22293,RandomProb_0,13,failure,insight,incorrect,CROSS_OUT,,
22293,91277,RandomProb_0,14,failure,unknown-incorrect,incorrect,,,
91277,22293,RandomProb_0,15,failure,insight,correct,CROSS_OUT,,
22293,29176,RandomProb_0,16,failure,,,,,
88676,74755,RandomProb_0,0,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
74755,71494,RandomProb_0,1,failure,unknown-correct,correct,,,
71494,74755,RandomProb_0,2,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
