Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
75090,63197,RandomCorrect,0,failure,unknown-correct,correct,,,
63197,94873,RandomCorrect,1,failure,insight,correct,BEFORE_NOINFO,,
94873,85975,RandomCorrect,2,failure,unknown-correct,correct,,,
85975,36884,RandomCorrect,3,failure,insight,correct,APPLY_IS,,
36884,19961,RandomCorrect,4,failure,insight,correct,OPENING,,
19961,93602,RandomCorrect,5,failure,insight,correct,CROSS_OUT,,
93602,93602,RandomCorrect,6,failure,insight,correct,CROSS_OUT,,
93602,93602,RandomCorrect,7,failure,insight,correct,CROSS_OUT,,
93602,93602,RandomCorrect,8,failure,insight,correct,CROSS_OUT,,
93602,93602,RandomCorrect,9,failure,insight,correct,CROSS_OUT,,
93602,78367,RandomCorrect,10,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
78367,78367,RandomCorrect,11,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
78367,82744,RandomCorrect,12,failure,insight,correct,CROSS_OUT,,
82744,82744,RandomCorrect,13,failure,insight,correct,CROSS_OUT,,
82744,75429,RandomCorrect,14,failure,insight,correct,OPENING,,
75429,82744,RandomCorrect,15,failure,insight,correct,CROSS_OUT,,
82744,87991,RandomCorrect,16,failure,,,,,
40350,51657,RandomCorrect,0,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
51657,14175,RandomCorrect,1,failure,unknown-correct,correct,,,
14175,14175,RandomCorrect,2,failure,unknown-correct,correct,,,
14175,20761,RandomCorrect,3,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
20761,20761,RandomCorrect,4,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
20761,57816,RandomCorrect,5,failure,insight,correct,OPENING,,
57816,20761,RandomCorrect,6,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
20761,84850,RandomCorrect,7,failure,insight,correct,CROSS_OUT,,
84850,32251,RandomCorrect,8,failure,insight,correct,OPENING,,
32251,84850,RandomCorrect,9,failure,insight,correct,CROSS_OUT,,
84850,84850,RandomCorrect,10,failure,insight,correct,CROSS_OUT,,
84850,76087,RandomCorrect,11,failure,insight,correct,OPENING,,
76087,84850,RandomCorrect,12,failure,insight,correct,CROSS_OUT,,
84850,84850,RandomCorrect,13,failure,insight,correct,CROSS_OUT,,
84850,76087,RandomCorrect,14,failure,insight,correct,OPENING,,
76087,84850,RandomCorrect,15,failure,insight,correct,CROSS_OUT,,
84850,88108,RandomCorrect,16,failure,,,,,
87329,22694,RandomCorrect,0,failure,unknown-correct,correct,,,
22694,83007,RandomCorrect,1,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
83007,43211,RandomCorrect,2,failure,insight,correct,APPLY_IS,,
43211,39318,RandomCorrect,3,failure,unknown-correct,correct,,,
39318,30474,RandomCorrect,4,failure,insight,correct,OPENING,,
30474,18936,RandomCorrect,5,failure,insight,correct,CROSS_OUT,,
18936,34728,RandomCorrect,6,failure,insight,correct,OPENING,,
34728,18936,RandomCorrect,7,failure,insight,correct,CROSS_OUT,,
18936,18936,RandomCorrect,8,failure,insight,correct,CROSS_OUT,,
18936,18936,RandomCorrect,9,failure,insight,correct,CROSS_OUT,,
18936,18936,RandomCorrect,10,failure,insight,correct,CROSS_OUT,,
18936,18936,RandomCorrect,11,failure,insight,correct,CROSS_OUT,,
18936,18936,RandomCorrect,12,failure,insight,correct,CROSS_OUT,,
18936,18936,RandomCorrect,13,failure,insight,correct,CROSS_OUT,,
18936,47133,RandomCorrect,14,failure,insight,correct,OPENING,,
47133,18936,RandomCorrect,15,failure,insight,correct,CROSS_OUT,,
18936,51102,RandomCorrect,16,failure,,,,,
44246,50201,RandomCorrect,0,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
50201,96113,RandomCorrect,1,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
96113,33624,RandomCorrect,2,failure,unknown-correct,correct,,,
33624,33624,RandomCorrect,3,failure,unknown-correct,correct,,,
33624,33624,RandomCorrect,4,failure,unknown-correct,correct,,,
33624,97724,RandomCorrect,5,failure,insight,correct,OPENING,,
97724,33624,RandomCorrect,6,failure,unknown-correct,correct,,,
33624,66526,RandomCorrect,7,failure,insight,correct,CROSS_OUT,,
66526,77297,RandomCorrect,8,failure,insight,correct,APPLY_IS,,
77297,66624,RandomCorrect,9,failure,insight,correct,CROSS_OUT,,
66624,66624,RandomCorrect,10,failure,insight,correct,CROSS_OUT,,
66624,66624,RandomCorrect,11,failure,insight,correct,CROSS_OUT,,
66624,66624,RandomCorrect,12,failure,insight,correct,CROSS_OUT,,
66624,66624,RandomCorrect,13,failure,insight,correct,CROSS_OUT,,
66624,66624,RandomCorrect,14,failure,insight,correct,CROSS_OUT,,
66624,46879,RandomCorrect,15,failure,insight,correct,OPENING,,
46879,78651,RandomCorrect,16,failure,,,,,
35655,34044,RandomCorrect,0,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
34044,86196,RandomCorrect,1,failure,unknown-correct,correct,,,
86196,86196,RandomCorrect,2,failure,unknown-correct,correct,,,
86196,86196,RandomCorrect,3,failure,unknown-correct,correct,,,
86196,98562,RandomCorrect,4,failure,insight,correct,BEFORE_N_SPOTS_SHIFT,,
98562,61585,RandomCorrect,5,failure,insight,correct,CROSS_OUT,,
61585,61585,RandomCorrect,6,failure,insight,correct,CROSS_OUT,,
61585,61585,RandomCorrect,7,failure,insight,correct,CROSS_OUT,,
61585,61585,RandomCorrect,8,failure,insight,correct,CROSS_OUT,,
61585,71898,RandomCorrect,9,failure,insight,correct,BEFORE_N_SPOTS_CROSSCHECK,,
71898,19106,RandomCorrect,10,failure,insight,correct,OPENING,,
19106,61981,RandomCorrect,11,failure,insight,correct,CROSS_OUT,,
61981,61981,RandomCorrect,12,failure,insight,correct,CROSS_OUT,,
61981,61981,RandomCorrect,13,failure,insight,correct,CROSS_OUT,,
61981,19106,RandomCorrect,14,failure,insight,correct,OPENING,,
19106,10602,RandomCorrect,15,failure,insight,correct,APPLY_IS,,
10602,29220,RandomCorrect,16,failure,,,,,
14424,60552,RandomCorrect,0,failure,unknown-correct,correct,,,
60552,60552,RandomCorrect,1,failure,unknown-correct,correct,,,
60552,60552,RandomCorrect,2,failure,unknown-correct,correct,,,
60552,24078,RandomCorrect,3,failure,insight,correct,CROSS_OUT,,
24078,60552,RandomCorrect,4,failure,unknown-correct,correct,,,
60552,60552,RandomCorrect,5,failure,unknown-correct,correct,,,
60552,24078,RandomCorrect,6,failure,insight,correct,CROSS_OUT,,
24078,24078,RandomCorrect,7,failure,insight,correct,CROSS_OUT,,
24078,60552,RandomCorrect,8,failure,unknown-correct,correct,,,
60552,24078,RandomCorrect,9,failure,insight,correct,CROSS_OUT,,
24078,60552,RandomCorrect,10,failure,unknown-correct,correct,,,
60552,76484,RandomCorrect,11,failure,insight,correct,APPLY_IS,,
76484,56256,RandomCorrect,12,failure,insight,correct,CROSS_OUT,,
56256,60100,RandomCorrect,13,failure,insight,correct,OPENING,,
60100,56256,RandomCorrect,14,failure,insight,correct,CROSS_OUT,,
56256,60100,RandomCorrect,15,failure,insight,correct,OPENING,,
60100,83487,RandomCorrect,16,failure,,,,,
39067,88602,RandomCorrect,0,failure,unknown-correct,correct,,,
88602,88602,RandomCorrect,1,failure,unknown-correct,correct,,,
88602,88602,RandomCorrect,2,failure,unknown-correct,correct,,,
88602,57285,RandomCorrect,3,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
57285,66524,RandomCorrect,4,failure,unknown-correct,correct,,,
66524,66524,RandomCorrect,5,failure,unknown-correct,correct,,,
66524,83981,RandomCorrect,6,failure,insight,correct,APPLY_BEFORE_N_SPOTS,,
83981,85932,RandomCorrect,7,failure,insight,correct,OPENING,,
85932,37269,RandomCorrect,8,failure,unknown-correct,correct,,,
37269,37269,RandomCorrect,9,failure,unknown-correct,correct,,,
37269,83981,RandomCorrect,10,failure,insight,correct,BEFORE_N_SPOTS_NOINFO,,
83981,26617,RandomCorrect,11,failure,insight,correct,CROSS_OUT,,
26617,26617,RandomCorrect,12,failure,insight,correct,CROSS_OUT,,
26617,37269,RandomCorrect,13,failure,unknown-correct,correct,,,
37269,26617,RandomCorrect,14,failure,insight,correct,CROSS_OUT,,
26617,37269,RandomCorrect,15,failure,unknown-correct,correct,,,
37269,14822,RandomCorrect,16,failure,insight,correct,OPENING,,
14822,87041,RandomCorrect,17,failure,insight,correct,TRANS_SETS,,
87041,62918,RandomCorrect,18,failure,unknown-correct,correct,,,
62918,87041,RandomCorrect,19,failure,insight,correct,TRANS_SETS,,
87041,74184,RandomCorrect,20,failure,insight,correct,CROSS_OUT,,
74184,74184,RandomCorrect,21,failure,insight,correct,CROSS_OUT,,
74184,18935,RandomCorrect,22,failure,insight,correct,OPENING,,
18935,74184,RandomCorrect,23,failure,insight,correct,CROSS_OUT,,
74184,39155,RandomCorrect,24,failure,insight,correct,TRANS_ABC_FALSE,,
39155,79720,RandomCorrect,25,failure,insight,correct,CROSS_OUT,,
79720,79720,RandomCorrect,26,failure,insight,correct,CROSS_OUT,,
79720,90005,RandomCorrect,27,failure,insight,correct,BEFORE_NOINFO,,
90005,74379,RandomCorrect,28,failure,insight,correct,CROSS_OUT,,
74379,90005,RandomCorrect,29,failure,insight,correct,TRANS_ABC_FALSE,,
90005,91663,RandomCorrect,30,failure,insight,correct,OPENING,,
91663,74379,RandomCorrect,31,failure,insight,correct,CROSS_OUT,,
74379,74379,RandomCorrect,32,failure,insight,correct,CROSS_OUT,,
74379,74379,RandomCorrect,33,failure,insight,correct,CROSS_OUT,,
74379,74379,RandomCorrect,34,failure,insight,correct,CROSS_OUT,,
74379,74379,RandomCorrect,35,failure,insight,correct,CROSS_OUT,,
74379,56997,RandomCorrect,36,failure,insight,correct,APPLY_IS,,
56997,56997,RandomCorrect,37,failure,insight,correct,TRANS_ABC_FALSE,,
56997,56997,RandomCorrect,38,failure,insight,correct,TRANS_ABC_FALSE,,
56997,66696,RandomCorrect,39,failure,insight,correct,OPENING,,
66696,56123,RandomCorrect,40,failure,insight,correct,CROSS_OUT,,
56123,57044,RandomCorrect,41,failure,insight,correct,OPENING,,
57044,57044,RandomCorrect,42,failure,insight,correct,OPENING,,
57044,57044,RandomCorrect,43,failure,insight,correct,OPENING,,
