Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
15360,58506,RandomProb_0,0,failure,unknown-incorrect,incorrect,,,
58506,58506,RandomProb_0,1,failure,unknown-correct,correct,,,
58506,58506,RandomProb_0,2,failure,unknown-incorrect,incorrect,,,
58506,58506,RandomProb_0,3,failure,unknown-incorrect,incorrect,,,
58506,58506,RandomProb_0,4,failure,unknown-correct,correct,,,
58506,58506,RandomProb_0,5,failure,unknown-correct,correct,,,
58506,58506,RandomProb_0,6,failure,unknown-correct,correct,,,
58506,58506,RandomProb_0,7,failure,unknown-incorrect,incorrect,,,
58506,58506,RandomProb_0,8,failure,unknown-correct,correct,,,
58506,58506,RandomProb_0,9,failure,unknown-incorrect,incorrect,,,
58506,58506,RandomProb_0,10,failure,unknown-correct,correct,,,
58506,13597,RandomProb_0,11,failure,insight,incorrect,CROSS_OUT,,
13597,13597,RandomProb_0,12,failure,insight,correct,CROSS_OUT,,
13597,13597,RandomProb_0,13,failure,insight,correct,CROSS_OUT,,
13597,58506,RandomProb_0,14,failure,unknown-incorrect,incorrect,,,
58506,13597,RandomProb_0,15,failure,insight,incorrect,CROSS_OUT,,
13597,30591,RandomProb_0,16,failure,,,,,
69190,22815,RandomProb_0,0,failure,unknown-incorrect,incorrect,,,
22815,22815,RandomProb_0,1,failure,unknown-incorrect,incorrect,,,
22815,22815,RandomProb_0,2,failure,unknown-correct,correct,,,
22815,22815,RandomProb_0,3,failure,unknown-incorrect,incorrect,,,
22815,22815,RandomProb_0,4,failure,unknown-incorrect,incorrect,,,
22815,22815,RandomProb_0,5,failure,unknown-incorrect,incorrect,,,
22815,22815,RandomProb_0,6,failure,unknown-correct,correct,,,
22815,59808,RandomProb_0,7,failure,insight,correct,APPLY_OR,,
59808,73201,RandomProb_0,8,failure,unknown-correct,correct,,,
73201,73201,RandomProb_0,9,failure,unknown-correct,correct,,,
73201,73201,RandomProb_0,10,failure,unknown-correct,correct,,,
73201,96208,RandomProb_0,11,failure,insight,incorrect,CROSS_OUT,,
96208,73201,RandomProb_0,12,failure,unknown-correct,correct,,,
73201,96208,RandomProb_0,13,failure,insight,incorrect,CROSS_OUT,,
96208,73201,RandomProb_0,14,failure,unknown-incorrect,incorrect,,,
73201,96208,RandomProb_0,15,failure,insight,correct,CROSS_OUT,,
96208,12558,RandomProb_0,16,failure,,,,,
34975,53683,RandomProb_0,0,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
53683,74806,RandomProb_0,1,failure,unknown-correct,correct,,,
74806,53683,RandomProb_0,2,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
53683,20335,RandomProb_0,3,failure,unknown-incorrect,incorrect,,,
20335,20335,RandomProb_0,4,failure,unknown-correct,correct,,,
20335,20335,RandomProb_0,5,failure,unknown-correct,correct,,,
20335,20335,RandomProb_0,6,failure,unknown-incorrect,incorrect,,,
20335,77313,RandomProb_0,7,failure,insight,incorrect,CROSS_OUT,,
77313,20335,RandomProb_0,8,failure,unknown-correct,correct,,,
20335,20335,RandomProb_0,9,failure,unknown-incorrect,incorrect,,,
20335,77313,RandomProb_0,10,failure,insight,incorrect,CROSS_OUT,,
77313,20335,RandomProb_0,11,failure,unknown-incorrect,incorrect,,,
