Id,PuzzleId,State,GridValue,MoveIds
65642,help1.1,help1.1:start:['start'],start,['start']
71752,help1.1,help1.1:success:['success'],success,['success']
70082,help1.1,help1.1:failure:['failure'],failure,['failure']
68734,help1.1,help1.1:partial:['partial'],partial,['partial']
80118,help1.1,help1.1:incorrect:['unknown::None'],incorrect,['unknown::None']
47631,help1.1,help1.1:incorrect:['cross outs::CROSS_OUT'],incorrect,['cross outs::CROSS_OUT']
60106,help1.2,help1.2:start:['start'],start,['start']
93995,help1.2,help1.2:success:['success'],success,['success']
29176,help1.2,help1.2:failure:['failure'],failure,['failure']
68645,help1.2,help1.2:partial:['partial'],partial,['partial']
70756,help1.2,help1.2:incorrect:['unknown::None'],incorrect,['unknown::None']
23841,help1.2,help1.2:incorrect:['cross outs::CROSS_OUT'],incorrect,['cross outs::CROSS_OUT']
99434,help1.2,help1.2:incorrect:['hint:Either the shape Elbow is the sauce Pesto or the shape Bowtie is the sauce Tomato:APPLY_OR'],incorrect,['hint:Either the shape Elbow is the sauce Pesto or the shape Bowtie is the sauce Tomato:APPLY_OR']
22293,help1.2,"help1.2:incorrect:['cross outs::CROSS_OUT', 'hint:Either the shape Elbow is the sauce Pesto or the shape Bowtie is the sauce Tomato:APPLY_OR']",incorrect,"['cross outs::CROSS_OUT', 'hint:Either the shape Elbow is the sauce Pesto or the shape Bowtie is the sauce Tomato:APPLY_OR']"
91277,help1.2,"help1.2:incorrect:['hint:Either the shape Elbow is the sauce Pesto or the shape Bowtie is the sauce Tomato:APPLY_OR', 'unknown::None']",incorrect,"['hint:Either the shape Elbow is the sauce Pesto or the shape Bowtie is the sauce Tomato:APPLY_OR', 'unknown::None']"
88676,help1.3,help1.3:start:['start'],start,['start']
29721,help1.3,help1.3:success:['success'],success,['success']
30337,help1.3,help1.3:failure:['failure'],failure,['failure']
30537,help1.3,help1.3:partial:['partial'],partial,['partial']
74755,help1.3,help1.3:correct:['hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:SIMPLE_OR_SAME_CAT'],correct,['hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:SIMPLE_OR_SAME_CAT']
71494,help1.3,"help1.3:correct:['hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:SIMPLE_OR_SAME_CAT', 'unknown::None']",correct,"['hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:SIMPLE_OR_SAME_CAT', 'unknown::None']"
79628,help1.3,"help1.3:incorrect:['hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:SIMPLE_OR_SAME_CAT', 'unknown::None']",incorrect,"['hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:SIMPLE_OR_SAME_CAT', 'unknown::None']"
27780,help1.3,"help1.3:incorrect:['cross outs::CROSS_OUT', 'hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:SIMPLE_OR_SAME_CAT']",incorrect,"['cross outs::CROSS_OUT', 'hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:SIMPLE_OR_SAME_CAT']"
95555,help2.1,help2.1:start:['start'],start,['start']
89692,help2.1,help2.1:success:['success'],success,['success']
78180,help2.1,help2.1:failure:['failure'],failure,['failure']
67020,help2.1,help2.1:partial:['partial'],partial,['partial']
27665,help2.1,help2.1:correct:['hint:Either the plant Green Onions or the plant Eggplant is the light Partial Sun:SIMPLE_OR_SAME_CAT'],correct,['hint:Either the plant Green Onions or the plant Eggplant is the light Partial Sun:SIMPLE_OR_SAME_CAT']
90744,help2.1,"help2.1:correct:['hint:Either the light Full Sun or the light Partial Shade is the plant Green Onions:SIMPLE_OR_SAME_CAT', 'hint:Either the plant Green Onions or the plant Eggplant is the light Partial Sun:SIMPLE_OR_SAME_CAT']",correct,"['hint:Either the light Full Sun or the light Partial Shade is the plant Green Onions:SIMPLE_OR_SAME_CAT', 'hint:Either the plant Green Onions or the plant Eggplant is the light Partial Sun:SIMPLE_OR_SAME_CAT']"
26022,help2.1,"help2.1:incorrect:['hint:Either the light Full Sun or the light Partial Shade is the plant Green Onions:SIMPLE_OR_SAME_CAT', 'hint:Either the plant Green Onions or the plant Eggplant is the light Partial Sun:SIMPLE_OR_SAME_CAT', 'unknown::None']",incorrect,"['hint:Either the light Full Sun or the light Partial Shade is the plant Green Onions:SIMPLE_OR_SAME_CAT', 'hint:Either the plant Green Onions or the plant Eggplant is the light Partial Sun:SIMPLE_OR_SAME_CAT', 'unknown::None']"
