Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
80367,56743,689b59c9a86babb31d8ead7f,0,success,insight,correct,APPLY_NOT,none,not_scaffolded
56743,70254,689b59c9a86babb31d8ead7f,1,success,insight,correct,APPLY_IS,none,not_scaffolded
70254,11281,689b59c9a86babb31d8ead7f,2,success,insight,correct,CROSS_OUT,none,not_scaffolded
11281,11281,689b59c9a86babb31d8ead7f,3,success,insight,correct,CROSS_OUT,none,not_scaffolded
11281,11281,689b59c9a86babb31d8ead7f,4,success,insight,correct,CROSS_OUT,none,not_scaffolded
11281,93418,689b59c9a86babb31d8ead7f,5,success,insight,correct,SIMPLE_OR_SAME_CAT,none,not_scaffolded
93418,93418,689b59c9a86babb31d8ead7f,6,success,insight,correct,SIMPLE_OR_SAME_CAT,none,not_scaffolded
93418,86581,689b59c9a86babb31d8ead7f,7,success,insight,correct,OPENING,none,not_scaffolded
86581,54890,689b59c9a86babb31d8ead7f,8,success,insight,correct,CROSS_OUT,none,not_scaffolded
54890,54890,689b59c9a86babb31d8ead7f,9,success,insight,correct,CROSS_OUT,none,not_scaffolded
54890,54890,689b59c9a86babb31d8ead7f,10,success,insight,correct,CROSS_OUT,none,not_scaffolded
54890,86581,689b59c9a86babb31d8ead7f,11,success,insight,correct,OPENING,none,not_scaffolded
86581,67311,689b59c9a86babb31d8ead7f,12,success,unknown-incorrect,incorrect,,none,not_scaffolded
67311,62485,689b59c9a86babb31d8ead7f,13,success,unknown-correct,correct,,none,not_scaffolded
62485,86581,689b59c9a86babb31d8ead7f,14,success,insight,correct,OPENING,none,not_scaffolded
86581,83867,689b59c9a86babb31d8ead7f,15,success,,,,none,not_scaffolded
11107,75747,689b59c9a86babb31d8ead7f,0,failure,insight,correct,SIMPLE_OR_SAME_CAT,none,not_scaffolded
75747,75747,689b59c9a86babb31d8ead7f,1,failure,insight,correct,SIMPLE_OR_SAME_CAT,none,not_scaffolded
75747,86592,689b59c9a86babb31d8ead7f,2,failure,unknown-incorrect,incorrect,,none,not_scaffolded
86592,86592,689b59c9a86babb31d8ead7f,3,failure,unknown-correct,correct,,none,not_scaffolded
86592,68400,689b59c9a86babb31d8ead7f,4,failure,insight,correct,SIMPLE_OR_SAME_CAT,none,not_scaffolded
68400,42862,689b59c9a86babb31d8ead7f,5,failure,unknown-correct,correct,,none,not_scaffolded
42862,42862,689b59c9a86babb31d8ead7f,6,failure,unknown-correct,correct,,none,not_scaffolded
42862,42862,689b59c9a86babb31d8ead7f,7,failure,unknown-correct,correct,,none,not_scaffolded
42862,42862,689b59c9a86babb31d8ead7f,8,failure,unknown-correct,correct,,none,not_scaffolded
42862,28534,689b59c9a86babb31d8ead7f,9,failure,insight,correct,OPENING,none,not_scaffolded
28534,42862,689b59c9a86babb31d8ead7f,10,failure,unknown-incorrect,incorrect,,none,not_scaffolded
42862,64263,689b59c9a86babb31d8ead7f,11,failure,insight,incorrect,CROSS_OUT,none,not_scaffolded
64263,42862,689b59c9a86babb31d8ead7f,12,failure,unknown-incorrect,incorrect,,none,not_scaffolded
42862,42862,689b59c9a86babb31d8ead7f,13,failure,unknown-correct,correct,,none,not_scaffolded
42862,42862,689b59c9a86babb31d8ead7f,14,failure,unknown-incorrect,incorrect,,none,not_scaffolded
42862,36826,689b59c9a86babb31d8ead7f,15,failure,insight,incorrect,APPLY_OR,none,not_scaffolded
36826,72234,689b59c9a86babb31d8ead7f,16,failure,insight,incorrect,CROSS_OUT,none,not_scaffolded
72234,51265,689b59c9a86babb31d8ead7f,17,failure,unknown-correct,correct,,none,not_scaffolded
51265,51265,689b59c9a86babb31d8ead7f,18,failure,unknown-correct,correct,,none,not_scaffolded
51265,72234,689b59c9a86babb31d8ead7f,19,failure,insight,correct,CROSS_OUT,none,not_scaffolded
72234,51265,689b59c9a86babb31d8ead7f,20,failure,unknown-incorrect,incorrect,,none,not_scaffolded
51265,72234,689b59c9a86babb31d8ead7f,21,failure,insight,correct,CROSS_OUT,none,not_scaffolded
