Id,PuzzleId,State,GridValue,MoveIds
15360,help1.1,help1.1:start:['start'],start,['start']
30591,help1.1,help1.1:failure:['failure'],failure,['failure']
58506,help1.1,help1.1:incorrect:['unknown::None'],incorrect,['unknown::None']
13597,help1.1,help1.1:incorrect:['cross outs::CROSS_OUT'],incorrect,['cross outs::CROSS_OUT']
69190,help1.2,help1.2:start:['start'],start,['start']
12558,help1.2,help1.2:failure:['failure'],failure,['failure']
22815,help1.2,help1.2:incorrect:['unknown::None'],incorrect,['unknown::None']
59808,help1.2,help1.2:incorrect:['hint:Either the shape Elbow is the sauce Pesto or the shape Bowtie is the sauce Tomato:APPLY_OR'],incorrect,['hint:Either the shape Elbow is the sauce Pesto or the shape Bowtie is the sauce Tomato:APPLY_OR']
73201,help1.2,"help1.2:incorrect:['hint:Either the shape Elbow is the sauce Pesto or the shape Bowtie is the sauce Tomato:APPLY_OR', 'unknown::None']",incorrect,"['hint:Either the shape Elbow is the sauce Pesto or the shape Bowtie is the sauce Tomato:APPLY_OR', 'unknown::None']"
96208,help1.2,"help1.2:incorrect:['cross outs::CROSS_OUT', 'hint:Either the shape Elbow is the sauce Pesto or the shape Bowtie is the sauce Tomato:APPLY_OR']",incorrect,"['cross outs::CROSS_OUT', 'hint:Either the shape Elbow is the sauce Pesto or the shape Bowtie is the sauce Tomato:APPLY_OR']"
34975,help1.3,help1.3:start:['start'],start,['start']
34400,help1.3,help1.3:failure:['failure'],failure,['failure']
53683,help1.3,help1.3:correct:['hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:SIMPLE_OR_SAME_CAT'],correct,['hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:SIMPLE_OR_SAME_CAT']
74806,help1.3,"help1.3:correct:['hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:SIMPLE_OR_SAME_CAT', 'unknown::None']",correct,"['hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:SIMPLE_OR_SAME_CAT', 'unknown::None']"
