Id,PuzzleId,State,GridValue,MoveIds
54921,help1.1,help1.1:start:['start'],start,['start']
38315,help1.1,help1.1:success:['success'],success,['success']
41835,help1.1,help1.1:failure:['failure'],failure,['failure']
19616,help1.1,help1.1:partial:['partial'],partial,['partial']
86363,help1.1,help1.1:correct:['hint:The shape Shell was not the sauce Tomato:APPLY_NOT'],correct,['hint:The shape Shell was not the sauce Tomato:APPLY_NOT']
39049,help1.1,"help1.1:correct:['hint:The sauce Alfredo is the shape Bowtie:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']",correct,"['hint:The sauce Alfredo is the shape Bowtie:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']"
37056,help1.1,"help1.1:correct:['cross outs::CROSS_OUT', 'hint:The sauce Alfredo is the shape Bowtie:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']",correct,"['cross outs::CROSS_OUT', 'hint:The sauce Alfredo is the shape Bowtie:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']"
43323,help1.1,"help1.1:correct:['hint:Either the shape Elbow is the sauce Carbonara or the shape Shell is the sauce Alfredo:APPLY_OR', 'hint:The sauce Alfredo is the shape Bowtie:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']",correct,"['hint:Either the shape Elbow is the sauce Carbonara or the shape Shell is the sauce Alfredo:APPLY_OR', 'hint:The sauce Alfredo is the shape Bowtie:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']"
23975,help1.1,"help1.1:correct:['cross outs::CROSS_OUT', 'hint:Either the shape Elbow is the sauce Carbonara or the shape Shell is the sauce Alfredo:APPLY_OR', 'hint:The sauce Alfredo is the shape Bowtie:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']",correct,"['cross outs::CROSS_OUT', 'hint:Either the shape Elbow is the sauce Carbonara or the shape Shell is the sauce Alfredo:APPLY_OR', 'hint:The sauce Alfredo is the shape Bowtie:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']"
73181,help1.2,help1.2:start:['start'],start,['start']
28511,help1.2,help1.2:success:['success'],success,['success']
43965,help1.2,help1.2:failure:['failure'],failure,['failure']
18781,help1.2,help1.2:partial:['partial'],partial,['partial']
32507,help1.2,help1.2:correct:['hint:The shape Bowtie is the sauce Alfredo:APPLY_IS'],correct,['hint:The shape Bowtie is the sauce Alfredo:APPLY_IS']
93123,help1.2,"help1.2:correct:['cross outs::CROSS_OUT', 'hint:The shape Bowtie is the sauce Alfredo:APPLY_IS']",correct,"['cross outs::CROSS_OUT', 'hint:The shape Bowtie is the sauce Alfredo:APPLY_IS']"
91365,help1.2,"help1.2:correct:['hint:Either the shape Elbow is the sauce Pesto or the shape Bowtie is the sauce Tomato:APPLY_OR', 'hint:The shape Bowtie is the sauce Alfredo:APPLY_IS']",correct,"['hint:Either the shape Elbow is the sauce Pesto or the shape Bowtie is the sauce Tomato:APPLY_OR', 'hint:The shape Bowtie is the sauce Alfredo:APPLY_IS']"
27457,help1.2,"help1.2:correct:['cross outs::CROSS_OUT', 'hint:Either the shape Elbow is the sauce Pesto or the shape Bowtie is the sauce Tomato:APPLY_OR', 'hint:The shape Bowtie is the sauce Alfredo:APPLY_IS']",correct,"['cross outs::CROSS_OUT', 'hint:Either the shape Elbow is the sauce Pesto or the shape Bowtie is the sauce Tomato:APPLY_OR', 'hint:The shape Bowtie is the sauce Alfredo:APPLY_IS']"
90527,help1.2,"help1.2:correct:['hint:Either the shape Elbow is the sauce Pesto or the shape Bowtie is the sauce Tomato:APPLY_OR', 'hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'hint:The shape Linguine was not the sauce Carbonara:APPLY_NOT']",correct,"['hint:Either the shape Elbow is the sauce Pesto or the shape Bowtie is the sauce Tomato:APPLY_OR', 'hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'hint:The shape Linguine was not the sauce Carbonara:APPLY_NOT']"
91613,help1.2,"help1.2:correct:['hint:Either the shape Elbow is the sauce Pesto or the shape Bowtie is the sauce Tomato:APPLY_OR', 'hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'hint:The shape Linguine was not the sauce Carbonara:APPLY_NOT', 'transitives::OPENING']",correct,"['hint:Either the shape Elbow is the sauce Pesto or the shape Bowtie is the sauce Tomato:APPLY_OR', 'hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'hint:The shape Linguine was not the sauce Carbonara:APPLY_NOT', 'transitives::OPENING']"
12452,help1.2,"help1.2:correct:['cross outs::CROSS_OUT', 'hint:Either the shape Elbow is the sauce Pesto or the shape Bowtie is the sauce Tomato:APPLY_OR', 'hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'hint:The shape Linguine was not the sauce Carbonara:APPLY_NOT']",correct,"['cross outs::CROSS_OUT', 'hint:Either the shape Elbow is the sauce Pesto or the shape Bowtie is the sauce Tomato:APPLY_OR', 'hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'hint:The shape Linguine was not the sauce Carbonara:APPLY_NOT']"
23144,help1.3,help1.3:start:['start'],start,['start']
47157,help1.3,help1.3:success:['success'],success,['success']
37770,help1.3,help1.3:failure:['failure'],failure,['failure']
85259,help1.3,help1.3:partial:['partial'],partial,['partial']
94478,help1.3,help1.3:correct:['hint:The sauce Alfredo is the shape Elbow:APPLY_IS'],correct,['hint:The sauce Alfredo is the shape Elbow:APPLY_IS']
18432,help1.3,"help1.3:correct:['cross outs::CROSS_OUT', 'hint:The sauce Alfredo is the shape Elbow:APPLY_IS']",correct,"['cross outs::CROSS_OUT', 'hint:The sauce Alfredo is the shape Elbow:APPLY_IS']"
84435,help1.3,"help1.3:correct:['hint:The sauce Alfredo is the shape Elbow:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']",correct,"['hint:The sauce Alfredo is the shape Elbow:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']"
55046,help1.3,"help1.3:correct:['cross outs::CROSS_OUT', 'hint:The sauce Alfredo is the shape Elbow:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']",correct,"['cross outs::CROSS_OUT', 'hint:The sauce Alfredo is the shape Elbow:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']"
16155,help1.3,"help1.3:correct:['hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:APPLY_OR', 'hint:The sauce Alfredo is the shape Elbow:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']",correct,"['hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:APPLY_OR', 'hint:The sauce Alfredo is the shape Elbow:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']"
81180,help1.3,"help1.3:correct:['cross outs::CROSS_OUT', 'hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:APPLY_OR', 'hint:The sauce Alfredo is the shape Elbow:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']",correct,"['cross outs::CROSS_OUT', 'hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:APPLY_OR', 'hint:The sauce Alfredo is the shape Elbow:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']"
88891,help1.3,"help1.3:correct:['hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:APPLY_OR', 'hint:The sauce Alfredo is the shape Elbow:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT', 'transitives::OPENING']",correct,"['hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:APPLY_OR', 'hint:The sauce Alfredo is the shape Elbow:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT', 'transitives::OPENING']"
79504,help2.1,help2.1:start:['start'],start,['start']
96157,help2.1,help2.1:success:['success'],success,['success']
71667,help2.1,help2.1:failure:['failure'],failure,['failure']
14704,help2.1,help2.1:partial:['partial'],partial,['partial']
