Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
16186,87243,RandomCorrect_0,0,success,unknown-correct,correct,,,
87243,87243,RandomCorrect_0,1,success,unknown-correct,correct,,,
87243,87243,RandomCorrect_0,2,success,unknown-correct,correct,,,
87243,66773,RandomCorrect_0,3,success,insight,correct,CROSS_OUT,,
66773,66773,RandomCorrect_0,4,success,insight,correct,CROSS_OUT,,
66773,66773,RandomCorrect_0,5,success,insight,correct,CROSS_OUT,,
66773,87243,RandomCorrect_0,6,success,unknown-correct,correct,,,
87243,66773,RandomCorrect_0,7,success,insight,correct,CROSS_OUT,,
66773,66773,RandomCorrect_0,8,success,insight,correct,CROSS_OUT,,
66773,66773,RandomCorrect_0,9,success,insight,correct,CROSS_OUT,,
66773,87243,RandomCorrect_0,10,success,unknown-correct,correct,,,
87243,66773,RandomCorrect_0,11,success,insight,correct,CROSS_OUT,,
66773,66773,RandomCorrect_0,12,success,insight,correct,CROSS_OUT,,
66773,94077,RandomCorrect_0,13,success,insight,correct,APPLY_IS,,
94077,60760,RandomCorrect_0,14,success,insight,correct,CROSS_OUT,,
60760,60760,RandomCorrect_0,15,success,insight,correct,CROSS_OUT,,
60760,70562,RandomCorrect_0,16,success,,,,,
43640,70122,RandomCorrect_0,0,success,unknown-correct,correct,,,
70122,70122,RandomCorrect_0,1,success,unknown-correct,correct,,,
70122,97540,RandomCorrect_0,2,success,insight,correct,APPLY_IS,,
97540,99059,RandomCorrect_0,3,success,insight,correct,CROSS_OUT,,
99059,99493,RandomCorrect_0,4,success,unknown-correct,correct,,,
99493,99059,RandomCorrect_0,5,success,insight,correct,CROSS_OUT,,
99059,99493,RandomCorrect_0,6,success,unknown-correct,correct,,,
99493,99059,RandomCorrect_0,7,success,insight,correct,CROSS_OUT,,
99059,61733,RandomCorrect_0,8,success,insight,correct,APPLY_NOT,,
61733,12664,RandomCorrect_0,9,success,unknown-correct,correct,,,
