Id,PuzzleId,State,GridValue,MoveIds
17243,spoke_sunlight,spoke_sunlight:start:['start'],start,['start']
29589,spoke_sunlight,spoke_sunlight:success:['success'],success,['success']
20973,spoke_sunlight,spoke_sunlight:failure:['failure'],failure,['failure']
34841,spoke_sunlight,spoke_sunlight:partial:['partial'],partial,['partial']
53415,spoke_sunlight,spoke_sunlight:correct:['hint:The plants Tomato is the hours 2hr:APPLY_IS'],correct,['hint:The plants Tomato is the hours 2hr:APPLY_IS']
79352,spoke_sunlight,"spoke_sunlight:correct:['cross outs::CROSS_OUT', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']",correct,"['cross outs::CROSS_OUT', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']"
32693,spoke_sunlight,"spoke_sunlight:correct:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:APPLY_BEFORE_N_SPOTS', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']",correct,"['hint:The plants Tomato is 2 hourss before the plants Cauliflower:APPLY_BEFORE_N_SPOTS', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']"
47053,spoke_sunlight,"spoke_sunlight:correct:['cross outs::CROSS_OUT', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:APPLY_BEFORE_N_SPOTS', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']",correct,"['cross outs::CROSS_OUT', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:APPLY_BEFORE_N_SPOTS', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']"
99702,spoke_sunlight,"spoke_sunlight:correct:['hint:Either the plants Spinach is the hours 4hr or the plants Tomato is the hours 6hr:APPLY_OR', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:APPLY_BEFORE_N_SPOTS', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']",correct,"['hint:Either the plants Spinach is the hours 4hr or the plants Tomato is the hours 6hr:APPLY_OR', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:APPLY_BEFORE_N_SPOTS', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']"
65490,spoke_sunlight,"spoke_sunlight:correct:['cross outs::CROSS_OUT', 'hint:Either the plants Spinach is the hours 4hr or the plants Tomato is the hours 6hr:APPLY_OR', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:APPLY_BEFORE_N_SPOTS', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']",correct,"['cross outs::CROSS_OUT', 'hint:Either the plants Spinach is the hours 4hr or the plants Tomato is the hours 6hr:APPLY_OR', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:APPLY_BEFORE_N_SPOTS', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']"
42260,spoke_sunlight,"spoke_sunlight:correct:['hint:Either the plants Spinach is the hours 4hr or the plants Tomato is the hours 6hr:APPLY_OR', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:APPLY_BEFORE_N_SPOTS', 'hint:The plants Tomato is the hours 2hr:APPLY_IS', 'transitives::OPENING']",correct,"['hint:Either the plants Spinach is the hours 4hr or the plants Tomato is the hours 6hr:APPLY_OR', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:APPLY_BEFORE_N_SPOTS', 'hint:The plants Tomato is the hours 2hr:APPLY_IS', 'transitives::OPENING']"
91421,spoke_sunlight_alt,spoke_sunlight_alt:start:['start'],start,['start']
56228,spoke_sunlight_alt,spoke_sunlight_alt:success:['success'],success,['success']
54474,spoke_sunlight_alt,spoke_sunlight_alt:failure:['failure'],failure,['failure']
24633,spoke_sunlight_alt,spoke_sunlight_alt:partial:['partial'],partial,['partial']
29268,spoke_sunlight_alt,spoke_sunlight_alt:correct:['unknown::None'],correct,['unknown::None']
78558,spoke_sunlight_alt,spoke_sunlight_alt:incorrect:['unknown::None'],incorrect,['unknown::None']
27863,spoke_sunlight_alt,spoke_sunlight_alt:incorrect:['hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:APPLY_OR'],incorrect,['hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:APPLY_OR']
18133,spoke_sunlight_alt,"spoke_sunlight_alt:incorrect:['cross outs::CROSS_OUT', 'hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:APPLY_OR']",incorrect,"['cross outs::CROSS_OUT', 'hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:APPLY_OR']"
83173,spoke_sunlight_alt,"spoke_sunlight_alt:incorrect:['hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:APPLY_OR', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:APPLY_BEFORE_ONE_SPOT']",incorrect,"['hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:APPLY_OR', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:APPLY_BEFORE_ONE_SPOT']"
37129,spoke_sunlight_alt,"spoke_sunlight_alt:incorrect:['cross outs::CROSS_OUT', 'hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:APPLY_OR', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:APPLY_BEFORE_ONE_SPOT']",incorrect,"['cross outs::CROSS_OUT', 'hint:Either the plants Pumpkin or the plants Cauliflower is the hours 2hr:APPLY_OR', 'hint:The plants Pumpkin is 1 hourss before the plants Spinach:APPLY_BEFORE_ONE_SPOT']"
