Id,PuzzleId,State,GridValue,MoveIds
13338,spoke_sunlight,spoke_sunlight:start:['start'],start,['start']
59956,spoke_sunlight,spoke_sunlight:success:['success'],success,['success']
78634,spoke_sunlight,spoke_sunlight:failure:['failure'],failure,['failure']
15428,spoke_sunlight,spoke_sunlight:partial:['partial'],partial,['partial']
17967,spoke_sunlight,spoke_sunlight:correct:['unknown::None'],correct,['unknown::None']
61558,spoke_sunlight,spoke_sunlight:correct:['hint:The plants Tomato is the hours 2hr:APPLY_IS'],correct,['hint:The plants Tomato is the hours 2hr:APPLY_IS']
40558,spoke_sunlight,"spoke_sunlight:correct:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:OPENING', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']",correct,"['hint:The plants Tomato is 2 hourss before the plants Cauliflower:OPENING', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']"
52311,spoke_sunlight,"spoke_sunlight:correct:['cross outs::CROSS_OUT', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']",correct,"['cross outs::CROSS_OUT', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']"
62011,spoke_sunlight,"spoke_sunlight:correct:['hint:The plants Tomato is the hours 2hr:APPLY_IS', 'unknown::None']",correct,"['hint:The plants Tomato is the hours 2hr:APPLY_IS', 'unknown::None']"
90095,spoke_sunlight,"spoke_sunlight:correct:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']",correct,"['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']"
37340,spoke_sunlight,"spoke_sunlight:correct:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is the hours 2hr:APPLY_IS', 'unknown::None']",correct,"['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_N_SPOTS_NOINFO', 'hint:The plants Tomato is the hours 2hr:APPLY_IS', 'unknown::None']"
