Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
40707,34826,GridRulesOnly_0,0,failure,unknown-correct,correct,,,
34826,34826,GridRulesOnly_0,1,failure,unknown-correct,correct,,,
34826,58791,GridRulesOnly_0,2,failure,unknown-incorrect,incorrect,,,
58791,42871,GridRulesOnly_0,3,failure,insight,incorrect,CROSS_OUT,,
42871,42871,GridRulesOnly_0,4,failure,insight,incorrect,CROSS_OUT,,
42871,58791,GridRulesOnly_0,5,failure,unknown-correct,correct,,,
58791,45457,GridRulesOnly_0,6,failure,insight,correct,APPLY_IS,,
45457,24997,GridRulesOnly_0,7,failure,insight,correct,CROSS_OUT,,
24997,98535,GridRulesOnly_0,8,failure,unknown-correct,correct,,,
98535,40080,GridRulesOnly_0,9,failure,insight,incorrect,OPENING,,
40080,24997,GridRulesOnly_0,10,failure,insight,incorrect,CROSS_OUT,,
24997,24997,GridRulesOnly_0,11,failure,insight,incorrect,CROSS_OUT,,
24997,60694,GridRulesOnly_0,12,failure,,,,,
55605,49059,GridRulesOnly_0,0,failure,unknown-incorrect,incorrect,,,
49059,49059,GridRulesOnly_0,1,failure,unknown-incorrect,incorrect,,,
49059,49059,GridRulesOnly_0,2,failure,unknown-correct,correct,,,
49059,49059,GridRulesOnly_0,3,failure,unknown-correct,correct,,,
49059,96008,GridRulesOnly_0,4,failure,insight,incorrect,OPENING,,
96008,67394,GridRulesOnly_0,5,failure,insight,correct,CROSS_OUT,,
67394,93303,GridRulesOnly_0,6,failure,insight,correct,APPLY_IS,,
93303,84866,GridRulesOnly_0,7,failure,insight,correct,CROSS_OUT,,
84866,84866,GridRulesOnly_0,8,failure,insight,correct,CROSS_OUT,,
84866,89271,GridRulesOnly_0,9,failure,insight,correct,APPLY_NOT,,
89271,64453,GridRulesOnly_0,10,failure,insight,correct,OPENING,,
64453,92428,GridRulesOnly_0,11,failure,insight,correct,CROSS_OUT,,
92428,64453,GridRulesOnly_0,12,failure,insight,incorrect,OPENING,,
64453,56073,GridRulesOnly_0,13,failure,,,,,
55869,71222,GridRulesOnly_0,0,failure,unknown-incorrect,incorrect,,,
71222,51612,GridRulesOnly_0,1,failure,insight,incorrect,CROSS_OUT,,
51612,51612,GridRulesOnly_0,2,failure,insight,incorrect,CROSS_OUT,,
51612,71222,GridRulesOnly_0,3,failure,unknown-correct,correct,,,
71222,71222,GridRulesOnly_0,4,failure,unknown-incorrect,incorrect,,,
71222,65046,GridRulesOnly_0,5,failure,insight,incorrect,OPENING,,
65046,51612,GridRulesOnly_0,6,failure,insight,incorrect,CROSS_OUT,,
51612,71222,GridRulesOnly_0,7,failure,unknown-correct,correct,,,
71222,65046,GridRulesOnly_0,8,failure,insight,incorrect,OPENING,,
65046,51612,GridRulesOnly_0,9,failure,insight,correct,CROSS_OUT,,
51612,65046,GridRulesOnly_0,10,failure,insight,incorrect,OPENING,,
65046,78050,GridRulesOnly_0,11,failure,,,,,
65637,42261,GridRulesOnly_0,0,failure,unknown-incorrect,incorrect,,,
42261,42261,GridRulesOnly_0,1,failure,unknown-correct,correct,,,
42261,42261,GridRulesOnly_0,2,failure,unknown-correct,correct,,,
42261,50682,GridRulesOnly_0,3,failure,insight,correct,CROSS_OUT,,
50682,50682,GridRulesOnly_0,4,failure,insight,correct,CROSS_OUT,,
50682,42261,GridRulesOnly_0,5,failure,unknown-correct,correct,,,
42261,42261,GridRulesOnly_0,6,failure,unknown-correct,correct,,,
42261,44385,GridRulesOnly_0,7,failure,insight,incorrect,OPENING,,
44385,50682,GridRulesOnly_0,8,failure,insight,correct,CROSS_OUT,,
50682,50682,GridRulesOnly_0,9,failure,insight,incorrect,CROSS_OUT,,
50682,50682,GridRulesOnly_0,10,failure,insight,incorrect,CROSS_OUT,,
50682,50682,GridRulesOnly_0,11,failure,insight,correct,CROSS_OUT,,
50682,10351,GridRulesOnly_0,12,failure,,,,,
41307,29435,GridRulesOnly_0,0,failure,unknown-correct,correct,,,
29435,29435,GridRulesOnly_0,1,failure,unknown-correct,correct,,,
29435,78769,GridRulesOnly_0,2,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
78769,64219,GridRulesOnly_0,3,failure,unknown-correct,correct,,,
64219,97776,GridRulesOnly_0,4,failure,insight,correct,OPENING,,
97776,14477,GridRulesOnly_0,5,failure,insight,correct,CROSS_OUT,,
14477,44453,GridRulesOnly_0,6,failure,unknown-incorrect,incorrect,,,
44453,64280,GridRulesOnly_0,7,failure,insight,incorrect,CROSS_OUT,,
64280,64280,GridRulesOnly_0,8,failure,insight,incorrect,CROSS_OUT,,
64280,44453,GridRulesOnly_0,9,failure,unknown-incorrect,incorrect,,,
44453,72566,GridRulesOnly_0,10,failure,insight,incorrect,OPENING,,
72566,64280,GridRulesOnly_0,11,failure,insight,correct,CROSS_OUT,,
64280,72566,GridRulesOnly_0,12,failure,insight,incorrect,OPENING,,
72566,43471,GridRulesOnly_0,13,failure,,,,,
11551,90005,GridRulesOnly_0,0,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
90005,84468,GridRulesOnly_0,1,failure,unknown-incorrect,incorrect,,,
84468,71292,GridRulesOnly_0,2,failure,insight,incorrect,CROSS_OUT,,
71292,71292,GridRulesOnly_0,3,failure,insight,incorrect,CROSS_OUT,,
71292,19846,GridRulesOnly_0,4,failure,insight,correct,SIMPLE_OR_SAME_CAT,,
19846,12417,GridRulesOnly_0,5,failure,unknown-incorrect,incorrect,,,
12417,58162,GridRulesOnly_0,6,failure,insight,incorrect,OPENING,,
58162,83602,GridRulesOnly_0,7,failure,insight,correct,CROSS_OUT,,
83602,58162,GridRulesOnly_0,8,failure,insight,incorrect,OPENING,,
58162,83602,GridRulesOnly_0,9,failure,insight,incorrect,CROSS_OUT,,
83602,58162,GridRulesOnly_0,10,failure,insight,incorrect,OPENING,,
58162,80387,GridRulesOnly_0,11,failure,,,,,
11604,93150,GridRulesOnly_0,0,failure,unknown-correct,correct,,,
93150,93150,GridRulesOnly_0,1,failure,unknown-correct,correct,,,
93150,93150,GridRulesOnly_0,2,failure,unknown-correct,correct,,,
93150,73724,GridRulesOnly_0,3,failure,unknown-incorrect,incorrect,,,
73724,48811,GridRulesOnly_0,4,failure,insight,incorrect,CROSS_OUT,,
48811,48811,GridRulesOnly_0,5,failure,insight,incorrect,CROSS_OUT,,
48811,19237,GridRulesOnly_0,6,failure,insight,correct,OPENING,,
19237,48811,GridRulesOnly_0,7,failure,insight,correct,CROSS_OUT,,
48811,73724,GridRulesOnly_0,8,failure,unknown-correct,correct,,,
73724,73724,GridRulesOnly_0,9,failure,unknown-incorrect,incorrect,,,
73724,53775,GridRulesOnly_0,10,failure,insight,correct,BEFORE_N_SPOTS_CROSSCHECK,,
53775,23970,GridRulesOnly_0,11,failure,unknown-correct,correct,,,
23970,23970,GridRulesOnly_0,12,failure,unknown-incorrect,incorrect,,,
23970,81351,GridRulesOnly_0,13,failure,insight,incorrect,CROSS_OUT,,
81351,39309,GridRulesOnly_0,14,failure,insight,incorrect,TRANS_ABC_TRUE,,
39309,78634,GridRulesOnly_0,15,failure,insight,incorrect,CROSS_OUT,,
78634,78634,GridRulesOnly_0,16,failure,insight,incorrect,CROSS_OUT,,
78634,78634,GridRulesOnly_0,17,failure,insight,incorrect,CROSS_OUT,,
78634,82011,GridRulesOnly_0,18,failure,insight,correct,OPENING,,
82011,78634,GridRulesOnly_0,19,failure,insight,correct,CROSS_OUT,,
78634,92339,GridRulesOnly_0,20,failure,unknown-incorrect,incorrect,,,
