Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
45478,96089,e1_kf,0,success,insight,correct,APPLY_NOT,,
96089,17997,e1_kf,1,success,insight,correct,APPLY_IS,,
17997,81225,e1_kf,2,success,insight,correct,CROSS_OUT,,
81225,81225,e1_kf,3,success,insight,correct,CROSS_OUT,,
81225,81225,e1_kf,4,success,insight,correct,CROSS_OUT,,
81225,81225,e1_kf,5,success,insight,correct,CROSS_OUT,,
81225,81225,e1_kf,6,success,insight,correct,CROSS_OUT,,
81225,81225,e1_kf,7,success,insight,correct,CROSS_OUT,,
81225,56030,e1_kf,8,success,insight,correct,APPLY_OR,,
56030,68186,e1_kf,9,success,insight,correct,OPENING,,
68186,68186,e1_kf,10,success,insight,correct,OPENING,,
68186,59705,e1_kf,11,success,,,,,
55723,23306,e1_kf,0,success,insight,correct,APPLY_NOT,,
23306,36074,e1_kf,1,success,insight,correct,APPLY_IS,,
36074,54570,e1_kf,2,success,insight,correct,CROSS_OUT,,
54570,23028,e1_kf,3,success,insight,correct,APPLY_OR,,
23028,96095,e1_kf,4,success,insight,correct,CROSS_OUT,,
96095,96095,e1_kf,5,success,insight,correct,CROSS_OUT,,
96095,96095,e1_kf,6,success,insight,correct,CROSS_OUT,,
96095,96095,e1_kf,7,success,insight,correct,CROSS_OUT,,
96095,96095,e1_kf,8,success,insight,correct,CROSS_OUT,,
96095,96095,e1_kf,9,success,insight,correct,CROSS_OUT,,
96095,96095,e1_kf,10,success,insight,correct,CROSS_OUT,,
96095,90732,e1_kf,11,success,insight,correct,OPENING,,
90732,10268,e1_kf,12,success,insight,correct,OPENING,,
10268,95969,e1_kf,13,success,,,,,
44931,49276,e1_kf,0,success,insight,correct,APPLY_IS,,
49276,82709,e1_kf,1,success,insight,correct,APPLY_NOT,,
82709,63008,e1_kf,2,success,insight,correct,CROSS_OUT,,
63008,63008,e1_kf,3,success,insight,correct,CROSS_OUT,,
63008,63008,e1_kf,4,success,insight,correct,CROSS_OUT,,
63008,63008,e1_kf,5,success,insight,correct,CROSS_OUT,,
63008,63008,e1_kf,6,success,insight,correct,CROSS_OUT,,
63008,63008,e1_kf,7,success,insight,correct,CROSS_OUT,,
63008,87172,e1_kf,8,success,insight,correct,APPLY_OR,,
87172,20267,e1_kf,9,success,insight,correct,CROSS_OUT,,
20267,20267,e1_kf,10,success,insight,correct,CROSS_OUT,,
20267,20212,e1_kf,11,success,insight,correct,OPENING,,
20212,38956,e1_kf,12,success,insight,correct,OPENING,,
38956,97161,e1_kf,13,success,,,,,
97664,15002,e1_kf,0,success,insight,correct,SIMPLE_OR_SAME_CAT,,
15002,15002,e1_kf,1,success,insight,correct,SIMPLE_OR_SAME_CAT,,
15002,23176,e1_kf,2,success,insight,correct,APPLY_OR,,
23176,96693,e1_kf,3,success,insight,correct,CROSS_OUT,,
96693,96693,e1_kf,4,success,insight,correct,CROSS_OUT,,
96693,96693,e1_kf,5,success,insight,correct,CROSS_OUT,,
96693,96693,e1_kf,6,success,insight,correct,CROSS_OUT,,
96693,96693,e1_kf,7,success,insight,correct,CROSS_OUT,,
96693,19888,e1_kf,8,success,insight,correct,APPLY_OR,,
19888,89081,e1_kf,9,success,insight,correct,CROSS_OUT,,
89081,89081,e1_kf,10,success,insight,correct,CROSS_OUT,,
89081,34055,e1_kf,11,success,insight,correct,OPENING,,
34055,61626,e1_kf,12,success,insight,correct,OPENING,,
61626,47804,e1_kf,13,success,,,,,
21047,52013,e1_kf,0,success,insight,correct,APPLY_IS,,
52013,79842,e1_kf,1,success,insight,correct,CROSS_OUT,,
79842,79842,e1_kf,2,success,insight,correct,CROSS_OUT,,
79842,79842,e1_kf,3,success,insight,correct,CROSS_OUT,,
79842,79842,e1_kf,4,success,insight,correct,CROSS_OUT,,
79842,79842,e1_kf,5,success,insight,correct,CROSS_OUT,,
79842,79842,e1_kf,6,success,insight,correct,CROSS_OUT,,
79842,80746,e1_kf,7,success,insight,correct,SIMPLE_OR_SAME_CAT,,
80746,30295,e1_kf,8,success,insight,correct,SIMPLE_OR_SAME_CAT,,
30295,53393,e1_kf,9,success,insight,correct,OPENING,,
53393,44621,e1_kf,10,success,insight,correct,CROSS_OUT,,
44621,85781,e1_kf,11,success,insight,correct,OPENING,,
85781,79450,e1_kf,12,success,insight,correct,OPENING,,
79450,31254,e1_kf,13,success,,,,,
51652,60872,e1_kf,0,success,insight,correct,APPLY_IS,,
60872,77600,e1_kf,1,success,insight,correct,CROSS_OUT,,
77600,77600,e1_kf,2,success,insight,correct,CROSS_OUT,,
77600,77600,e1_kf,3,success,insight,correct,CROSS_OUT,,
77600,77600,e1_kf,4,success,insight,correct,CROSS_OUT,,
77600,77600,e1_kf,5,success,insight,correct,CROSS_OUT,,
77600,77600,e1_kf,6,success,insight,correct,CROSS_OUT,,
77600,25775,e1_kf,7,success,insight,correct,SIMPLE_OR_SAME_CAT,,
25775,72415,e1_kf,8,success,insight,correct,OPENING,,
72415,50084,e1_kf,9,success,insight,correct,SIMPLE_OR_SAME_CAT,,
50084,74810,e1_kf,10,success,insight,correct,OPENING,,
74810,65264,e1_kf,11,success,insight,correct,CROSS_OUT,,
65264,65264,e1_kf,12,success,insight,correct,CROSS_OUT,,
65264,48955,e1_kf,13,success,insight,correct,OPENING,,
48955,34183,e1_kf,14,success,,,,,
40055,86337,e1_kf,0,success,insight,correct,APPLY_IS,,
86337,68153,e1_kf,1,success,insight,correct,CROSS_OUT,,
68153,68153,e1_kf,2,success,insight,correct,CROSS_OUT,,
68153,68153,e1_kf,3,success,insight,correct,CROSS_OUT,,
68153,14691,e1_kf,4,success,unknown-correct,correct,,,
14691,14691,e1_kf,5,success,unknown-correct,correct,,,
14691,69544,e1_kf,6,success,unknown-incorrect,incorrect,,,
69544,69544,e1_kf,7,success,unknown-incorrect,incorrect,,,
69544,69544,e1_kf,8,success,unknown-incorrect,incorrect,,,
69544,14691,e1_kf,9,success,unknown-correct,correct,,,
14691,68153,e1_kf,10,success,insight,correct,CROSS_OUT,,
68153,68153,e1_kf,11,success,insight,correct,CROSS_OUT,,
68153,68153,e1_kf,12,success,insight,correct,CROSS_OUT,,
68153,43520,e1_kf,13,success,insight,correct,SIMPLE_OR_SAME_CAT,,
43520,43520,e1_kf,14,success,insight,correct,SIMPLE_OR_SAME_CAT,,
43520,86066,e1_kf,15,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
86066,86066,e1_kf,16,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
86066,86066,e1_kf,17,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
86066,86066,e1_kf,18,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
86066,52244,e1_kf,19,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
52244,52244,e1_kf,20,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
52244,70881,e1_kf,21,success,insight,correct,TRANS_SETS,,
70881,99563,e1_kf,22,success,insight,correct,OPENING,,
99563,42474,e1_kf,23,success,insight,correct,CROSS_OUT,,
42474,42474,e1_kf,24,success,insight,correct,CROSS_OUT,,
42474,46754,e1_kf,25,success,insight,correct,TRANS_ABC_TRUE,,
46754,88362,e1_kf,26,success,insight,correct,CROSS_OUT,,
88362,88362,e1_kf,27,success,insight,correct,CROSS_OUT,,
88362,88362,e1_kf,28,success,insight,correct,CROSS_OUT,,
88362,88362,e1_kf,29,success,insight,correct,CROSS_OUT,,
88362,94771,e1_kf,30,success,insight,correct,APPLY_OR,,
94771,33164,e1_kf,31,success,insight,correct,CROSS_OUT,,
33164,33164,e1_kf,32,success,insight,correct,CROSS_OUT,,
33164,33164,e1_kf,33,success,insight,correct,CROSS_OUT,,
33164,33164,e1_kf,34,success,insight,correct,CROSS_OUT,,
33164,12324,e1_kf,35,success,insight,correct,APPLY_BEFORE_N_SPOTS,,
12324,46181,e1_kf,36,success,insight,correct,CROSS_OUT,,
46181,46181,e1_kf,37,success,insight,correct,CROSS_OUT,,
46181,46181,e1_kf,38,success,insight,correct,CROSS_OUT,,
46181,12324,e1_kf,39,success,insight,correct,TRANS_SETS,,
12324,16537,e1_kf,40,success,insight,correct,OPENING,,
16537,46181,e1_kf,41,success,insight,correct,CROSS_OUT,,
46181,31233,e1_kf,42,success,insight,correct,OPENING,,
31233,46181,e1_kf,43,success,insight,correct,CROSS_OUT,,
46181,46181,e1_kf,44,success,insight,correct,CROSS_OUT,,
46181,16537,e1_kf,45,success,insight,correct,OPENING,,
16537,64109,e1_kf,46,success,insight,correct,OPENING,,
64109,32398,e1_kf,47,success,insight,correct,OPENING,,
32398,65158,e1_kf,48,success,,,,,
53395,98370,e1_kf,0,success,insight,correct,APPLY_IS,,
98370,59972,e1_kf,1,success,insight,correct,APPLY_IS,,
59972,83903,e1_kf,2,success,insight,correct,APPLY_IS,,
83903,96075,e1_kf,3,success,insight,correct,CROSS_OUT,,
96075,96075,e1_kf,4,success,insight,correct,CROSS_OUT,,
96075,96075,e1_kf,5,success,insight,correct,CROSS_OUT,,
96075,96075,e1_kf,6,success,insight,correct,CROSS_OUT,,
96075,96075,e1_kf,7,success,insight,correct,CROSS_OUT,,
96075,96075,e1_kf,8,success,insight,correct,CROSS_OUT,,
96075,96075,e1_kf,9,success,insight,correct,CROSS_OUT,,
96075,96075,e1_kf,10,success,insight,correct,CROSS_OUT,,
96075,96075,e1_kf,11,success,insight,correct,CROSS_OUT,,
96075,96075,e1_kf,12,success,insight,correct,CROSS_OUT,,
96075,96075,e1_kf,13,success,insight,correct,CROSS_OUT,,
96075,96075,e1_kf,14,success,insight,correct,CROSS_OUT,,
96075,96075,e1_kf,15,success,insight,correct,CROSS_OUT,,
96075,96075,e1_kf,16,success,insight,correct,CROSS_OUT,,
96075,96075,e1_kf,17,success,insight,correct,CROSS_OUT,,
96075,96075,e1_kf,18,success,insight,correct,CROSS_OUT,,
96075,96075,e1_kf,19,success,insight,correct,CROSS_OUT,,
96075,96075,e1_kf,20,success,insight,correct,CROSS_OUT,,
96075,19620,e1_kf,21,success,insight,correct,BEFORE_N_SPOTS_SHIFT,,
19620,79581,e1_kf,22,success,insight,correct,BEFORE_NOINFO,,
79581,95017,e1_kf,23,success,insight,correct,BEFORE_N_SPOTS_SHIFT,,
95017,84411,e1_kf,24,success,insight,correct,BEFORE_NOINFO,,
84411,53174,e1_kf,25,success,insight,correct,TRANS_ABC_TRUE,,
53174,50171,e1_kf,26,success,insight,correct,CROSS_OUT,,
50171,50171,e1_kf,27,success,insight,correct,CROSS_OUT,,
50171,50171,e1_kf,28,success,insight,correct,CROSS_OUT,,
50171,50171,e1_kf,29,success,insight,correct,CROSS_OUT,,
50171,87066,e1_kf,30,success,insight,correct,TRANS_SETS,,
87066,39509,e1_kf,31,success,insight,correct,OPENING,,
39509,17075,e1_kf,32,success,insight,correct,CROSS_OUT,,
17075,17075,e1_kf,33,success,insight,correct,CROSS_OUT,,
17075,39509,e1_kf,34,success,insight,correct,OPENING,,
39509,17075,e1_kf,35,success,insight,correct,CROSS_OUT,,
17075,39509,e1_kf,36,success,insight,correct,OPENING,,
39509,87066,e1_kf,37,success,insight,correct,TRANS_SETS,,
87066,39509,e1_kf,38,success,insight,correct,OPENING,,
39509,17075,e1_kf,39,success,insight,correct,CROSS_OUT,,
17075,39509,e1_kf,40,success,insight,correct,OPENING,,
39509,84606,e1_kf,41,success,,,,,
74347,39593,e1_kf,0,success,insight,correct,APPLY_IS,,
39593,90913,e1_kf,1,success,insight,correct,APPLY_IS,,
90913,84399,e1_kf,2,success,insight,correct,APPLY_IS,,
84399,65152,e1_kf,3,success,insight,correct,CROSS_OUT,,
65152,65152,e1_kf,4,success,insight,correct,CROSS_OUT,,
65152,65152,e1_kf,5,success,insight,correct,CROSS_OUT,,
65152,65152,e1_kf,6,success,insight,correct,CROSS_OUT,,
65152,65152,e1_kf,7,success,insight,correct,CROSS_OUT,,
65152,65152,e1_kf,8,success,insight,correct,CROSS_OUT,,
65152,65152,e1_kf,9,success,insight,correct,CROSS_OUT,,
65152,65152,e1_kf,10,success,insight,correct,CROSS_OUT,,
65152,65152,e1_kf,11,success,insight,correct,CROSS_OUT,,
65152,65152,e1_kf,12,success,insight,correct,CROSS_OUT,,
65152,65152,e1_kf,13,success,insight,correct,CROSS_OUT,,
65152,65152,e1_kf,14,success,insight,correct,CROSS_OUT,,
65152,65152,e1_kf,15,success,insight,correct,CROSS_OUT,,
65152,65152,e1_kf,16,success,insight,correct,CROSS_OUT,,
65152,65152,e1_kf,17,success,insight,correct,CROSS_OUT,,
65152,65152,e1_kf,18,success,insight,correct,CROSS_OUT,,
65152,65709,e1_kf,19,success,insight,correct,BEFORE_DIFF_CAT,,
65709,62835,e1_kf,20,success,insight,correct,APPLY_BEFORE_ONE_SPOT,,
62835,23900,e1_kf,21,success,insight,correct,CROSS_OUT,,
23900,23900,e1_kf,22,success,insight,correct,CROSS_OUT,,
23900,23900,e1_kf,23,success,insight,correct,CROSS_OUT,,
23900,23900,e1_kf,24,success,insight,correct,CROSS_OUT,,
