Id,PuzzleId,State,GridValue,MoveIds
34750,spoke_sunlight,spoke_sunlight:start:['start'],start,['start']
12591,spoke_sunlight,spoke_sunlight:success:['success'],success,['success']
79639,spoke_sunlight,spoke_sunlight:failure:['failure'],failure,['failure']
36863,spoke_sunlight,spoke_sunlight:partial:['partial'],partial,['partial']
71492,spoke_sunlight,spoke_sunlight:correct:['unknown::None'],correct,['unknown::None']
93314,spoke_sunlight,spoke_sunlight:correct:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO'],correct,['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO']
65478,spoke_sunlight,"spoke_sunlight:correct:['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO', 'unknown::None']",correct,"['hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO', 'unknown::None']"
80809,spoke_sunlight,"spoke_sunlight:correct:['hint:Either the plants Spinach is the hours 4hr or the plants Tomato is the hours 6hr:APPLY_OR', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO']",correct,"['hint:Either the plants Spinach is the hours 4hr or the plants Tomato is the hours 6hr:APPLY_OR', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO']"
97556,spoke_sunlight,"spoke_sunlight:correct:['hint:Either the plants Spinach is the hours 4hr or the plants Tomato is the hours 6hr:APPLY_OR', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO', 'unknown::None']",correct,"['hint:Either the plants Spinach is the hours 4hr or the plants Tomato is the hours 6hr:APPLY_OR', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO', 'unknown::None']"
55200,spoke_sunlight,"spoke_sunlight:correct:['hint:Either the plants Spinach is the hours 4hr or the plants Tomato is the hours 6hr:APPLY_OR', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']",correct,"['hint:Either the plants Spinach is the hours 4hr or the plants Tomato is the hours 6hr:APPLY_OR', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO', 'hint:The plants Tomato is the hours 2hr:APPLY_IS']"
56846,spoke_sunlight,"spoke_sunlight:correct:['hint:Either the plants Spinach is the hours 4hr or the plants Tomato is the hours 6hr:APPLY_OR', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO', 'hint:The plants Tomato is the hours 2hr:APPLY_IS', 'unknown::None']",correct,"['hint:Either the plants Spinach is the hours 4hr or the plants Tomato is the hours 6hr:APPLY_OR', 'hint:The plants Tomato is 2 hourss before the plants Cauliflower:BEFORE_NOINFO', 'hint:The plants Tomato is the hours 2hr:APPLY_IS', 'unknown::None']"
