Id,PuzzleId,State,GridValue,MoveIds
29308,help1.1,help1.1:start:['start'],start,['start']
33664,help1.1,help1.1:success:['success'],success,['success']
49758,help1.1,help1.1:failure:['failure'],failure,['failure']
87365,help1.1,help1.1:correct:['unknown::None'],correct,['unknown::None']
17059,help1.1,help1.1:incorrect:['unknown::None'],incorrect,['unknown::None']
20722,help1.1,help1.1:incorrect:['cross outs::CROSS_OUT'],incorrect,['cross outs::CROSS_OUT']
70009,help1.1,help1.1:incorrect:['transitives::OPENING'],incorrect,['transitives::OPENING']
58426,help1.2,help1.2:start:['start'],start,['start']
71853,help1.2,help1.2:success:['success'],success,['success']
17266,help1.2,help1.2:failure:['failure'],failure,['failure']
91119,help1.2,help1.2:correct:['unknown::None'],correct,['unknown::None']
42784,help1.2,help1.2:incorrect:['unknown::None'],incorrect,['unknown::None']
14423,help1.2,help1.2:incorrect:['cross outs::CROSS_OUT'],incorrect,['cross outs::CROSS_OUT']
88411,help1.2,help1.2:incorrect:['transitives::OPENING'],incorrect,['transitives::OPENING']
52543,help1.3,help1.3:start:['start'],start,['start']
78271,help1.3,help1.3:success:['success'],success,['success']
63702,help1.3,help1.3:failure:['failure'],failure,['failure']
49007,help1.3,help1.3:correct:['unknown::None'],correct,['unknown::None']
33438,help1.3,help1.3:correct:['hint:The shape Shell was not the sauce Tomato:APPLY_NOT'],correct,['hint:The shape Shell was not the sauce Tomato:APPLY_NOT']
16603,help1.3,"help1.3:correct:['hint:The sauce Alfredo is the shape Elbow:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']",correct,"['hint:The sauce Alfredo is the shape Elbow:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']"
63247,help1.3,"help1.3:correct:['cross outs::CROSS_OUT', 'hint:The sauce Alfredo is the shape Elbow:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']",correct,"['cross outs::CROSS_OUT', 'hint:The sauce Alfredo is the shape Elbow:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']"
84912,help1.3,"help1.3:incorrect:['hint:The sauce Alfredo is the shape Elbow:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT', 'unknown::None']",incorrect,"['hint:The sauce Alfredo is the shape Elbow:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT', 'unknown::None']"
22557,help1.3,"help1.3:incorrect:['cross outs::CROSS_OUT', 'hint:The sauce Alfredo is the shape Elbow:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']",incorrect,"['cross outs::CROSS_OUT', 'hint:The sauce Alfredo is the shape Elbow:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']"
84243,help1.3,"help1.3:incorrect:['hint:The sauce Alfredo is the shape Elbow:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT', 'transitives::OPENING']",incorrect,"['hint:The sauce Alfredo is the shape Elbow:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT', 'transitives::OPENING']"
84721,help2.1,help2.1:start:['start'],start,['start']
90207,help2.1,help2.1:success:['success'],success,['success']
46801,help2.1,help2.1:failure:['failure'],failure,['failure']
35289,help2.1,help2.1:incorrect:['unknown::None'],incorrect,['unknown::None']
60993,help2.1,help2.1:incorrect:['cross outs::CROSS_OUT'],incorrect,['cross outs::CROSS_OUT']
94576,help2.1,help2.1:incorrect:['hint:Either the plant Green Onions or the plant Eggplant is the light Partial Sun:SIMPLE_OR_SAME_CAT'],incorrect,['hint:Either the plant Green Onions or the plant Eggplant is the light Partial Sun:SIMPLE_OR_SAME_CAT']
