Id,PuzzleId,State,GridValue,MoveIds
31956,help1.1,help1.1:start:['start'],start,['start']
86267,help1.1,help1.1:success:['success'],success,['success']
88167,help1.1,help1.1:correct:['unknown::None'],correct,['unknown::None']
65123,help1.1,help1.1:correct:['cross outs::CROSS_OUT'],correct,['cross outs::CROSS_OUT']
91299,help1.1,help1.1:correct:['hint:The shape Shell was not the sauce Tomato:APPLY_NOT'],correct,['hint:The shape Shell was not the sauce Tomato:APPLY_NOT']
71438,help1.1,"help1.1:correct:['hint:The shape Shell was not the sauce Tomato:APPLY_NOT', 'unknown::None']",correct,"['hint:The shape Shell was not the sauce Tomato:APPLY_NOT', 'unknown::None']"
40844,help1.1,"help1.1:correct:['cross outs::CROSS_OUT', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']",correct,"['cross outs::CROSS_OUT', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']"
86732,help1.1,"help1.1:correct:['hint:The sauce Alfredo is the shape Bowtie:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']",correct,"['hint:The sauce Alfredo is the shape Bowtie:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']"
88443,help1.1,"help1.1:correct:['cross outs::CROSS_OUT', 'hint:The sauce Alfredo is the shape Bowtie:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']",correct,"['cross outs::CROSS_OUT', 'hint:The sauce Alfredo is the shape Bowtie:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']"
29808,help1.2,help1.2:start:['start'],start,['start']
82381,help1.2,help1.2:success:['success'],success,['success']
97342,help1.2,help1.2:correct:['unknown::None'],correct,['unknown::None']
78076,help1.2,help1.2:correct:['hint:The shape Bowtie is the sauce Alfredo:APPLY_IS'],correct,['hint:The shape Bowtie is the sauce Alfredo:APPLY_IS']
67308,help1.2,"help1.2:correct:['hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'unknown::None']",correct,"['hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'unknown::None']"
53853,help1.2,"help1.2:correct:['hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'hint:The shape Linguine was not the sauce Carbonara:APPLY_NOT']",correct,"['hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'hint:The shape Linguine was not the sauce Carbonara:APPLY_NOT']"
87665,help1.2,"help1.2:correct:['hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'hint:The shape Linguine was not the sauce Carbonara:APPLY_NOT', 'unknown::None']",correct,"['hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'hint:The shape Linguine was not the sauce Carbonara:APPLY_NOT', 'unknown::None']"
50051,help1.2,"help1.2:correct:['cross outs::CROSS_OUT', 'hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'hint:The shape Linguine was not the sauce Carbonara:APPLY_NOT']",correct,"['cross outs::CROSS_OUT', 'hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'hint:The shape Linguine was not the sauce Carbonara:APPLY_NOT']"
41009,help1.2,"help1.2:correct:['hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'hint:The shape Linguine was not the sauce Carbonara:APPLY_NOT', 'transitives::OPENING']",correct,"['hint:The shape Bowtie is the sauce Alfredo:APPLY_IS', 'hint:The shape Linguine was not the sauce Carbonara:APPLY_NOT', 'transitives::OPENING']"
56807,help1.3,help1.3:start:['start'],start,['start']
19388,help1.3,help1.3:success:['success'],success,['success']
92690,help1.3,help1.3:correct:['hint:The sauce Alfredo is the shape Elbow:APPLY_IS'],correct,['hint:The sauce Alfredo is the shape Elbow:APPLY_IS']
72834,help1.3,"help1.3:correct:['hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:SIMPLE_OR_SAME_CAT', 'hint:The sauce Alfredo is the shape Elbow:APPLY_IS']",correct,"['hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:SIMPLE_OR_SAME_CAT', 'hint:The sauce Alfredo is the shape Elbow:APPLY_IS']"
73643,help1.3,"help1.3:correct:['hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:SIMPLE_OR_SAME_CAT', 'hint:The sauce Alfredo is the shape Elbow:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']",correct,"['hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:SIMPLE_OR_SAME_CAT', 'hint:The sauce Alfredo is the shape Elbow:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']"
19316,help1.3,"help1.3:correct:['hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:APPLY_OR', 'hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:SIMPLE_OR_SAME_CAT', 'hint:The sauce Alfredo is the shape Elbow:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']",correct,"['hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:APPLY_OR', 'hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:SIMPLE_OR_SAME_CAT', 'hint:The sauce Alfredo is the shape Elbow:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT']"
98193,help1.3,"help1.3:correct:['hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:APPLY_OR', 'hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:SIMPLE_OR_SAME_CAT', 'hint:The sauce Alfredo is the shape Elbow:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT', 'unknown::None']",correct,"['hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:APPLY_OR', 'hint:Either the shape Linguine or the shape Elbow is the sauce Carbonara:SIMPLE_OR_SAME_CAT', 'hint:The sauce Alfredo is the shape Elbow:APPLY_IS', 'hint:The shape Shell was not the sauce Tomato:APPLY_NOT', 'unknown::None']"
