Source,Target,UserId,MoveNumber,UserSuccess,SolverValue,MoveValue,LabeledInsight,PromptMode,LevelMode
78501,82756,e1_kf,0,success,insight,correct,APPLY_NOT,,
82756,36438,e1_kf,1,success,insight,correct,APPLY_IS,,
36438,28341,e1_kf,2,success,insight,correct,CROSS_OUT,,
28341,28341,e1_kf,3,success,insight,correct,CROSS_OUT,,
28341,28341,e1_kf,4,success,insight,correct,CROSS_OUT,,
28341,28341,e1_kf,5,success,insight,correct,CROSS_OUT,,
28341,28341,e1_kf,6,success,insight,correct,CROSS_OUT,,
28341,28341,e1_kf,7,success,insight,correct,CROSS_OUT,,
28341,15297,e1_kf,8,success,insight,correct,APPLY_OR,,
15297,65982,e1_kf,9,success,insight,correct,CROSS_OUT,,
65982,65982,e1_kf,10,success,insight,correct,CROSS_OUT,,
65982,71171,e1_kf,11,success,,,,,
25605,54765,e1_kf,0,success,insight,correct,APPLY_NOT,,
54765,86481,e1_kf,1,success,insight,correct,APPLY_IS,,
86481,89261,e1_kf,2,success,unknown-correct,correct,,,
89261,12367,e1_kf,3,success,insight,correct,APPLY_OR,,
12367,88442,e1_kf,4,success,insight,correct,CROSS_OUT,,
88442,88442,e1_kf,5,success,insight,correct,CROSS_OUT,,
88442,88442,e1_kf,6,success,insight,correct,CROSS_OUT,,
88442,88442,e1_kf,7,success,insight,correct,CROSS_OUT,,
88442,88442,e1_kf,8,success,insight,correct,CROSS_OUT,,
88442,88442,e1_kf,9,success,insight,correct,CROSS_OUT,,
88442,88442,e1_kf,10,success,insight,correct,CROSS_OUT,,
88442,88442,e1_kf,11,success,insight,correct,CROSS_OUT,,
88442,88442,e1_kf,12,success,insight,correct,CROSS_OUT,,
88442,88132,e1_kf,13,success,,,,,
74891,60628,e1_kf,0,success,insight,correct,APPLY_IS,,
60628,86073,e1_kf,1,success,insight,correct,APPLY_NOT,,
86073,38292,e1_kf,2,success,insight,correct,CROSS_OUT,,
38292,38292,e1_kf,3,success,insight,correct,CROSS_OUT,,
38292,38292,e1_kf,4,success,insight,correct,CROSS_OUT,,
38292,38292,e1_kf,5,success,insight,correct,CROSS_OUT,,
38292,38292,e1_kf,6,success,insight,correct,CROSS_OUT,,
38292,38292,e1_kf,7,success,insight,correct,CROSS_OUT,,
38292,39118,e1_kf,8,success,insight,correct,APPLY_OR,,
39118,52114,e1_kf,9,success,insight,correct,CROSS_OUT,,
52114,52114,e1_kf,10,success,insight,correct,CROSS_OUT,,
52114,52114,e1_kf,11,success,insight,correct,CROSS_OUT,,
52114,52114,e1_kf,12,success,insight,correct,CROSS_OUT,,
52114,83053,e1_kf,13,success,,,,,
69711,56409,e1_kf,0,success,insight,correct,SIMPLE_OR_SAME_CAT,,
56409,56409,e1_kf,1,success,insight,correct,SIMPLE_OR_SAME_CAT,,
56409,46801,e1_kf,2,success,insight,correct,APPLY_OR,,
46801,54172,e1_kf,3,success,insight,correct,CROSS_OUT,,
54172,54172,e1_kf,4,success,insight,correct,CROSS_OUT,,
54172,54172,e1_kf,5,success,insight,correct,CROSS_OUT,,
54172,54172,e1_kf,6,success,insight,correct,CROSS_OUT,,
54172,54172,e1_kf,7,success,insight,correct,CROSS_OUT,,
54172,61223,e1_kf,8,success,insight,correct,APPLY_OR,,
61223,92379,e1_kf,9,success,insight,correct,CROSS_OUT,,
92379,92379,e1_kf,10,success,insight,correct,CROSS_OUT,,
92379,92379,e1_kf,11,success,insight,correct,CROSS_OUT,,
92379,92379,e1_kf,12,success,insight,correct,CROSS_OUT,,
92379,57507,e1_kf,13,success,,,,,
45772,71740,e1_kf,0,success,insight,correct,APPLY_IS,,
71740,88213,e1_kf,1,success,insight,correct,CROSS_OUT,,
88213,88213,e1_kf,2,success,insight,correct,CROSS_OUT,,
88213,88213,e1_kf,3,success,insight,correct,CROSS_OUT,,
88213,88213,e1_kf,4,success,insight,correct,CROSS_OUT,,
88213,88213,e1_kf,5,success,insight,correct,CROSS_OUT,,
88213,88213,e1_kf,6,success,insight,correct,CROSS_OUT,,
88213,19453,e1_kf,7,success,insight,correct,SIMPLE_OR_SAME_CAT,,
19453,85907,e1_kf,8,success,insight,correct,SIMPLE_OR_SAME_CAT,,
85907,74980,e1_kf,9,success,insight,correct,APPLY_OR,,
74980,18769,e1_kf,10,success,insight,correct,CROSS_OUT,,
18769,18769,e1_kf,11,success,insight,correct,CROSS_OUT,,
18769,18769,e1_kf,12,success,insight,correct,CROSS_OUT,,
18769,98670,e1_kf,13,success,,,,,
89745,80790,e1_kf,0,success,insight,correct,APPLY_IS,,
80790,12349,e1_kf,1,success,insight,correct,CROSS_OUT,,
12349,12349,e1_kf,2,success,insight,correct,CROSS_OUT,,
12349,12349,e1_kf,3,success,insight,correct,CROSS_OUT,,
12349,12349,e1_kf,4,success,insight,correct,CROSS_OUT,,
12349,12349,e1_kf,5,success,insight,correct,CROSS_OUT,,
12349,12349,e1_kf,6,success,insight,correct,CROSS_OUT,,
12349,52340,e1_kf,7,success,insight,correct,SIMPLE_OR_SAME_CAT,,
52340,60988,e1_kf,8,success,insight,correct,SIMPLE_OR_SAME_CAT,,
60988,60988,e1_kf,9,success,insight,correct,SIMPLE_OR_SAME_CAT,,
60988,56658,e1_kf,10,success,insight,correct,CROSS_OUT,,
56658,56658,e1_kf,11,success,insight,correct,CROSS_OUT,,
56658,71917,e1_kf,12,success,unknown-correct,correct,,,
71917,56658,e1_kf,13,success,insight,correct,CROSS_OUT,,
56658,69983,e1_kf,14,success,,,,,
96534,12638,e1_kf,0,success,insight,correct,APPLY_IS,,
12638,31920,e1_kf,1,success,insight,correct,CROSS_OUT,,
31920,31920,e1_kf,2,success,insight,correct,CROSS_OUT,,
31920,31920,e1_kf,3,success,insight,correct,CROSS_OUT,,
31920,39054,e1_kf,4,success,unknown-correct,correct,,,
39054,39054,e1_kf,5,success,unknown-correct,correct,,,
39054,56493,e1_kf,6,success,unknown-incorrect,incorrect,,,
56493,56493,e1_kf,7,success,unknown-incorrect,incorrect,,,
56493,56493,e1_kf,8,success,unknown-incorrect,incorrect,,,
56493,39054,e1_kf,9,success,unknown-correct,correct,,,
39054,31920,e1_kf,10,success,insight,correct,CROSS_OUT,,
31920,31920,e1_kf,11,success,insight,correct,CROSS_OUT,,
31920,31920,e1_kf,12,success,insight,correct,CROSS_OUT,,
31920,45891,e1_kf,13,success,insight,correct,SIMPLE_OR_SAME_CAT,,
45891,45891,e1_kf,14,success,insight,correct,SIMPLE_OR_SAME_CAT,,
45891,47018,e1_kf,15,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
47018,47018,e1_kf,16,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
47018,47018,e1_kf,17,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
47018,47018,e1_kf,18,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
47018,42964,e1_kf,19,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
42964,42964,e1_kf,20,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
42964,31788,e1_kf,21,success,insight,correct,TRANS_SETS,,
31788,38019,e1_kf,22,success,insight,correct,OPENING,,
38019,17986,e1_kf,23,success,insight,correct,CROSS_OUT,,
17986,17986,e1_kf,24,success,insight,correct,CROSS_OUT,,
17986,63302,e1_kf,25,success,insight,correct,TRANS_ABC_TRUE,,
63302,53945,e1_kf,26,success,insight,correct,CROSS_OUT,,
53945,53945,e1_kf,27,success,insight,correct,CROSS_OUT,,
53945,53945,e1_kf,28,success,insight,correct,CROSS_OUT,,
53945,53945,e1_kf,29,success,insight,correct,CROSS_OUT,,
53945,75883,e1_kf,30,success,insight,correct,APPLY_OR,,
75883,94597,e1_kf,31,success,insight,correct,CROSS_OUT,,
94597,94597,e1_kf,32,success,insight,correct,CROSS_OUT,,
94597,94597,e1_kf,33,success,insight,correct,CROSS_OUT,,
94597,94597,e1_kf,34,success,insight,correct,CROSS_OUT,,
94597,56017,e1_kf,35,success,insight,correct,APPLY_BEFORE_N_SPOTS,,
56017,11100,e1_kf,36,success,insight,correct,CROSS_OUT,,
11100,11100,e1_kf,37,success,insight,correct,CROSS_OUT,,
11100,11100,e1_kf,38,success,insight,correct,CROSS_OUT,,
11100,56017,e1_kf,39,success,insight,correct,TRANS_SETS,,
56017,15961,e1_kf,40,success,insight,correct,OPENING,,
15961,11100,e1_kf,41,success,insight,correct,CROSS_OUT,,
11100,56017,e1_kf,42,success,insight,correct,TRANS_ABC_TRUE,,
56017,11100,e1_kf,43,success,insight,correct,CROSS_OUT,,
11100,11100,e1_kf,44,success,insight,correct,CROSS_OUT,,
11100,15961,e1_kf,45,success,insight,correct,OPENING,,
15961,79998,e1_kf,46,success,insight,correct,BEFORE_N_SPOTS_SHIFT,,
79998,66612,e1_kf,47,success,insight,correct,CROSS_OUT,,
66612,52277,e1_kf,48,success,,,,,
45817,59227,e1_kf,0,success,insight,correct,APPLY_IS,,
59227,75434,e1_kf,1,success,insight,correct,APPLY_IS,,
75434,89565,e1_kf,2,success,insight,correct,APPLY_IS,,
89565,27982,e1_kf,3,success,insight,correct,CROSS_OUT,,
27982,27982,e1_kf,4,success,insight,correct,CROSS_OUT,,
27982,27982,e1_kf,5,success,insight,correct,CROSS_OUT,,
27982,27982,e1_kf,6,success,insight,correct,CROSS_OUT,,
27982,27982,e1_kf,7,success,insight,correct,CROSS_OUT,,
27982,27982,e1_kf,8,success,insight,correct,CROSS_OUT,,
27982,27982,e1_kf,9,success,insight,correct,CROSS_OUT,,
27982,27982,e1_kf,10,success,insight,correct,CROSS_OUT,,
27982,27982,e1_kf,11,success,insight,correct,CROSS_OUT,,
27982,27982,e1_kf,12,success,insight,correct,CROSS_OUT,,
27982,27982,e1_kf,13,success,insight,correct,CROSS_OUT,,
27982,27982,e1_kf,14,success,insight,correct,CROSS_OUT,,
27982,27982,e1_kf,15,success,insight,correct,CROSS_OUT,,
27982,27982,e1_kf,16,success,insight,correct,CROSS_OUT,,
27982,27982,e1_kf,17,success,insight,correct,CROSS_OUT,,
27982,27982,e1_kf,18,success,insight,correct,CROSS_OUT,,
27982,27982,e1_kf,19,success,insight,correct,CROSS_OUT,,
27982,27982,e1_kf,20,success,insight,correct,CROSS_OUT,,
27982,74192,e1_kf,21,success,insight,correct,BEFORE_N_SPOTS_SHIFT,,
74192,74646,e1_kf,22,success,insight,correct,BEFORE_NOINFO,,
74646,53030,e1_kf,23,success,insight,correct,BEFORE_N_SPOTS_SHIFT,,
53030,60522,e1_kf,24,success,insight,correct,BEFORE_NOINFO,,
60522,55029,e1_kf,25,success,insight,correct,TRANS_ABC_TRUE,,
55029,89847,e1_kf,26,success,insight,correct,CROSS_OUT,,
89847,89847,e1_kf,27,success,insight,correct,CROSS_OUT,,
89847,89847,e1_kf,28,success,insight,correct,CROSS_OUT,,
89847,89847,e1_kf,29,success,insight,correct,CROSS_OUT,,
89847,91144,e1_kf,30,success,insight,correct,TRANS_SETS,,
91144,10187,e1_kf,31,success,insight,correct,OPENING,,
10187,50379,e1_kf,32,success,insight,correct,CROSS_OUT,,
50379,50379,e1_kf,33,success,insight,correct,CROSS_OUT,,
50379,10187,e1_kf,34,success,insight,correct,OPENING,,
10187,50379,e1_kf,35,success,insight,correct,CROSS_OUT,,
50379,10187,e1_kf,36,success,insight,correct,OPENING,,
10187,91144,e1_kf,37,success,insight,correct,TRANS_SETS,,
91144,10187,e1_kf,38,success,insight,correct,OPENING,,
10187,50379,e1_kf,39,success,insight,correct,CROSS_OUT,,
50379,10187,e1_kf,40,success,insight,correct,OPENING,,
10187,64585,e1_kf,41,success,,,,,
40460,54521,e1_kf,0,success,insight,correct,APPLY_IS,,
54521,67725,e1_kf,1,success,insight,correct,APPLY_IS,,
67725,28204,e1_kf,2,success,insight,correct,APPLY_IS,,
28204,60835,e1_kf,3,success,insight,correct,CROSS_OUT,,
60835,60835,e1_kf,4,success,insight,correct,CROSS_OUT,,
60835,60835,e1_kf,5,success,insight,correct,CROSS_OUT,,
60835,60835,e1_kf,6,success,insight,correct,CROSS_OUT,,
60835,60835,e1_kf,7,success,insight,correct,CROSS_OUT,,
60835,60835,e1_kf,8,success,insight,correct,CROSS_OUT,,
60835,60835,e1_kf,9,success,insight,correct,CROSS_OUT,,
60835,60835,e1_kf,10,success,insight,correct,CROSS_OUT,,
60835,60835,e1_kf,11,success,insight,correct,CROSS_OUT,,
60835,60835,e1_kf,12,success,insight,correct,CROSS_OUT,,
60835,60835,e1_kf,13,success,insight,correct,CROSS_OUT,,
60835,60835,e1_kf,14,success,insight,correct,CROSS_OUT,,
60835,60835,e1_kf,15,success,insight,correct,CROSS_OUT,,
60835,60835,e1_kf,16,success,insight,correct,CROSS_OUT,,
60835,60835,e1_kf,17,success,insight,correct,CROSS_OUT,,
60835,60835,e1_kf,18,success,insight,correct,CROSS_OUT,,
60835,60661,e1_kf,19,success,insight,correct,BEFORE_DIFF_CAT,,
60661,89539,e1_kf,20,success,insight,correct,APPLY_BEFORE_ONE_SPOT,,
89539,11703,e1_kf,21,success,insight,correct,CROSS_OUT,,
11703,11703,e1_kf,22,success,insight,correct,CROSS_OUT,,
11703,11703,e1_kf,23,success,insight,correct,CROSS_OUT,,
11703,11703,e1_kf,24,success,insight,correct,CROSS_OUT,,
11703,11703,e1_kf,25,success,insight,correct,CROSS_OUT,,
11703,11703,e1_kf,26,success,insight,correct,CROSS_OUT,,
11703,26746,e1_kf,27,success,insight,correct,TRANS_ABC_TRUE,,
26746,66077,e1_kf,28,success,insight,correct,CROSS_OUT,,
66077,66077,e1_kf,29,success,insight,correct,CROSS_OUT,,
66077,66077,e1_kf,30,success,insight,correct,CROSS_OUT,,
66077,30262,e1_kf,31,success,insight,correct,APPLY_BEFORE_ONE_SPOT,,
30262,66775,e1_kf,32,success,insight,correct,CROSS_OUT,,
66775,66775,e1_kf,33,success,insight,correct,CROSS_OUT,,
66775,66775,e1_kf,34,success,insight,correct,CROSS_OUT,,
66775,66775,e1_kf,35,success,insight,correct,CROSS_OUT,,
66775,64923,e1_kf,36,success,insight,correct,TRANS_SETS,,
64923,81327,e1_kf,37,success,insight,correct,CROSS_OUT,,
81327,81327,e1_kf,38,success,insight,correct,CROSS_OUT,,
81327,81327,e1_kf,39,success,insight,correct,CROSS_OUT,,
81327,64923,e1_kf,40,success,insight,correct,TRANS_ABC_TRUE,,
64923,81327,e1_kf,41,success,insight,correct,CROSS_OUT,,
81327,16161,e1_kf,42,success,,,,,
69312,40667,e1_kf,0,success,insight,correct,APPLY_IS,,
40667,94273,e1_kf,1,success,insight,correct,APPLY_OR,,
94273,90489,e1_kf,2,success,insight,correct,APPLY_BEFORE_N_SPOTS,,
90489,33541,e1_kf,3,success,insight,correct,OPENING,,
33541,27943,e1_kf,4,success,,,,,
70926,50137,e1_kf,0,success,insight,correct,APPLY_IS,,
50137,78162,e1_kf,1,success,insight,correct,APPLY_BEFORE_N_SPOTS,,
78162,77825,e1_kf,2,success,insight,correct,APPLY_OR,,
77825,55291,e1_kf,3,success,insight,correct,OPENING,,
55291,55291,e1_kf,4,success,insight,correct,OPENING,,
55291,85051,e1_kf,5,success,,,,,
62264,45334,e1_kf,0,success,insight,correct,APPLY_IS,,
45334,53262,e1_kf,1,success,insight,correct,APPLY_OR,,
53262,23409,e1_kf,2,success,insight,correct,APPLY_BEFORE_N_SPOTS,,
23409,28523,e1_kf,3,success,insight,correct,OPENING,,
28523,33896,e1_kf,4,success,,,,,
95744,92749,e1_kf,0,success,insight,correct,APPLY_NOT,,
92749,73006,e1_kf,1,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
73006,76843,e1_kf,2,success,insight,correct,APPLY_BEFORE_N_SPOTS,,
76843,83813,e1_kf,3,success,insight,correct,APPLY_OR,,
83813,85138,e1_kf,4,success,insight,correct,OPENING,,
85138,71799,e1_kf,5,success,,,,,
31002,84921,e1_kf,0,success,unknown-correct,correct,,,
84921,36494,e1_kf,1,success,insight,correct,APPLY_OR,,
36494,35321,e1_kf,2,success,insight,correct,APPLY_OR,,
35321,28024,e1_kf,3,success,insight,correct,CROSS_OUT,,
28024,50299,e1_kf,4,success,insight,correct,APPLY_BEFORE_N_SPOTS,,
50299,74859,e1_kf,5,success,insight,correct,OPENING,,
74859,66321,e1_kf,6,success,,,,,
39526,27107,e1_kf,0,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
27107,27107,e1_kf,1,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
27107,27107,e1_kf,2,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
27107,27107,e1_kf,3,success,insight,correct,BEFORE_N_SPOTS_NOINFO,,
27107,31584,e1_kf,4,success,insight,correct,APPLY_OR,,
31584,38983,e1_kf,5,success,insight,correct,CROSS_OUT,,
38983,38983,e1_kf,6,success,insight,correct,CROSS_OUT,,
38983,38983,e1_kf,7,success,insight,correct,CROSS_OUT,,
38983,38983,e1_kf,8,success,insight,correct,CROSS_OUT,,
38983,38983,e1_kf,9,success,insight,correct,CROSS_OUT,,
38983,74391,e1_kf,10,success,insight,correct,OPENING,,
74391,38983,e1_kf,11,success,insight,correct,CROSS_OUT,,
38983,60093,e1_kf,12,success,insight,correct,APPLY_OR,,
60093,68504,e1_kf,13,success,insight,correct,CROSS_OUT,,
68504,64921,e1_kf,14,success,,,,,
